min_signals,medium_signal_threshold,strong_signal_threshold,n_signals,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
2,45,62,1970,95,78.9,24.16,0.39,1.46,0.254,14.36
2,45,70,1970,95,78.9,24.16,0.39,1.46,0.254,14.36
3,45,62,1970,95,78.9,24.16,0.39,1.46,0.254,14.36
3,45,70,1970,95,78.9,24.16,0.39,1.46,0.254,14.36
4,45,62,1917,95,78.9,23.91,0.39,1.46,0.252,14.6
4,45,70,1917,95,78.9,23.91,0.39,1.46,0.252,14.6
2,50,62,1238,83,77.1,16.46,0.4,1.34,0.198,15.82
2,50,70,1238,83,77.1,16.46,0.4,1.34,0.198,15.82
3,50,62,1238,83,77.1,16.46,0.4,1.34,0.198,15.82
3,50,70,1238,83,77.1,16.46,0.4,1.34,0.198,15.82
4,50,62,1238,83,77.1,16.46,0.4,1.34,0.198,15.82
4,50,70,1238,83,77.1,16.46,0.4,1.34,0.198,15.82
2,55,62,723,74,75.7,6.97,0.37,1.14,0.094,15.86
2,55,70,723,74,75.7,6.97,0.37,1.14,0.094,15.86
3,55,62,723,74,75.7,6.97,0.37,1.14,0.094,15.86
3,55,70,723,74,75.7,6.97,0.37,1.14,0.094,15.86
4,55,62,723,74,75.7,6.97,0.37,1.14,0.094,15.86
4,55,70,723,74,75.7,6.97,0.37,1.14,0.094,15.86
