min_signals,medium_signal_threshold,strong_signal_threshold,n_signals,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
2,50,62,1238,88,75.0,10.68,0.41,1.22,0.121,24.98
2,50,70,1238,88,75.0,10.68,0.41,1.22,0.121,24.98
3,50,62,1238,88,75.0,10.68,0.41,1.22,0.121,24.98
3,50,70,1238,88,75.0,10.68,0.41,1.22,0.121,24.98
4,50,62,1238,88,75.0,10.68,0.41,1.22,0.121,24.98
4,50,70,1238,88,75.0,10.68,0.41,1.22,0.121,24.98
4,45,62,1960,86,75.6,6.33,0.36,1.11,0.074,24.95
4,45,70,1960,86,75.6,6.33,0.36,1.11,0.074,24.95
2,45,62,2006,85,74.1,-3.7,0.33,0.94,-0.044,25.61
2,45,70,2006,85,74.1,-3.7,0.33,0.94,-0.044,25.61
2,55,62,794,67,76.1,-2.98,0.29,0.94,-0.044,20.56
2,55,70,794,67,76.1,-2.98,0.29,0.94,-0.044,20.56
3,45,62,2006,85,74.1,-3.7,0.33,0.94,-0.044,25.61
3,45,70,2006,85,74.1,-3.7,0.33,0.94,-0.044,25.61
3,55,62,794,67,76.1,-2.98,0.29,0.94,-0.044,20.56
3,55,70,794,67,76.1,-2.98,0.29,0.94,-0.044,20.56
4,55,62,794,67,76.1,-2.98,0.29,0.94,-0.044,20.56
4,55,70,794,67,76.1,-2.98,0.29,0.94,-0.044,20.56
