min_signals,medium_signal_threshold,strong_signal_threshold,n_signals,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
2,55,62,804,103,82.5,15.01,0.26,1.23,0.146,18.25
2,55,70,804,103,82.5,15.01,0.26,1.23,0.146,18.25
3,55,62,804,103,82.5,15.01,0.26,1.23,0.146,18.25
3,55,70,804,103,82.5,15.01,0.26,1.23,0.146,18.25
4,55,62,804,103,82.5,15.01,0.26,1.23,0.146,18.25
4,55,70,804,103,82.5,15.01,0.26,1.23,0.146,18.25
4,45,62,1953,130,78.5,14.88,0.32,1.18,0.114,19.88
4,45,70,1953,130,78.5,14.88,0.32,1.18,0.114,19.88
2,50,62,1304,130,78.5,12.66,0.32,1.15,0.097,18.75
2,50,70,1304,130,78.5,12.66,0.32,1.15,0.097,18.75
3,50,62,1304,130,78.5,12.66,0.32,1.15,0.097,18.75
3,50,70,1304,130,78.5,12.66,0.32,1.15,0.097,18.75
4,50,62,1304,130,78.5,12.66,0.32,1.15,0.097,18.75
4,50,70,1304,130,78.5,12.66,0.32,1.15,0.097,18.75
2,45,62,1997,133,76.7,8.65,0.33,1.1,0.065,19.88
2,45,70,1997,133,76.7,8.65,0.33,1.1,0.065,19.88
3,45,62,1997,133,76.7,8.65,0.33,1.1,0.065,19.88
3,45,70,1997,133,76.7,8.65,0.33,1.1,0.065,19.88
