min_signals,medium_signal_threshold,strong_signal_threshold,n_signals,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
2,50,62,1255,143,81.1,16.92,0.27,1.16,0.118,21.4
2,50,70,1255,143,81.1,16.92,0.27,1.16,0.118,21.4
3,50,62,1255,143,81.1,16.92,0.27,1.16,0.118,21.4
3,50,70,1255,143,81.1,16.92,0.27,1.16,0.118,21.4
4,50,62,1255,143,81.1,16.92,0.27,1.16,0.118,21.4
4,50,70,1255,143,81.1,16.92,0.27,1.16,0.118,21.4
2,55,62,820,115,80.9,12.83,0.27,1.15,0.112,16.51
2,55,70,820,115,80.9,12.83,0.27,1.15,0.112,16.51
3,55,62,820,115,80.9,12.83,0.27,1.15,0.112,16.51
3,55,70,820,115,80.9,12.83,0.27,1.15,0.112,16.51
4,55,62,820,115,80.9,12.83,0.27,1.15,0.112,16.51
4,55,70,820,115,80.9,12.83,0.27,1.15,0.112,16.51
2,45,62,1998,146,80.1,11.31,0.27,1.1,0.077,27.75
2,45,70,1998,146,80.1,11.31,0.27,1.1,0.077,27.75
3,45,62,1998,146,80.1,11.31,0.27,1.1,0.077,27.75
3,45,70,1998,146,80.1,11.31,0.27,1.1,0.077,27.75
4,45,62,1962,142,79.6,9.11,0.28,1.08,0.064,30.08
4,45,70,1962,142,79.6,9.11,0.28,1.08,0.064,30.08
