stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
2.0,1.5,2.5,3.0,0.8,2400,0.8,11,54.5,-0.08,0.81,0.97,-0.007,2.44
2.0,1.5,2.5,4.5,0.8,2400,0.8,11,54.5,-0.08,0.81,0.97,-0.007,2.44
2.0,0.7,1.5,3.0,0.4,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,1.5,3.0,0.6,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,1.5,3.0,0.8,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,1.5,4.5,0.4,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,1.5,4.5,0.6,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,1.5,4.5,0.8,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,2.5,3.0,0.4,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,2.5,3.0,0.6,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,2.5,3.0,0.8,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,2.5,4.5,0.4,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,2.5,4.5,0.6,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,0.7,2.5,4.5,0.8,2400,0.8,13,53.8,-0.12,0.82,0.96,-0.009,2.44
2.0,1.5,2.5,3.0,0.8,1200,0.8,12,33.3,-0.12,1.9,0.95,-0.01,2.3
2.0,1.5,2.5,4.5,0.8,1200,0.8,12,33.3,-0.12,1.9,0.95,-0.01,2.3
2.0,1.0,1.5,3.0,0.4,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,1.5,3.0,0.6,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,1.5,3.0,0.8,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,1.5,4.5,0.4,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,1.5,4.5,0.6,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,1.5,4.5,0.8,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,2.5,3.0,0.4,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,2.5,3.0,0.6,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,2.5,3.0,0.8,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,2.5,4.5,0.4,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,2.5,4.5,0.6,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,1.0,2.5,4.5,0.8,2400,0.8,12,50.0,-0.21,0.93,0.93,-0.017,2.44
2.0,0.7,1.5,3.0,0.4,1200,0.8,14,42.9,-0.37,1.15,0.86,-0.026,2.3
