stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
4.0,1.5,2.5,3.0,0.6,1200,0.2,9,77.8,5.45,0.68,2.36,0.606,4.0
4.0,1.5,2.5,3.0,0.8,1200,0.2,9,77.8,5.45,0.68,2.36,0.606,4.0
4.0,1.5,2.5,4.5,0.6,1200,0.2,9,77.8,5.45,0.68,2.36,0.606,4.0
4.0,1.5,2.5,4.5,0.8,1200,0.2,9,77.8,5.45,0.68,2.36,0.606,4.0
5.0,1.5,2.5,3.0,0.6,2400,0.2,9,88.9,5.06,0.25,2.01,0.562,5.0
5.0,1.5,2.5,3.0,0.6,3600,0.2,9,88.9,5.06,0.25,2.01,0.562,5.0
5.0,1.5,2.5,3.0,0.6,7200,0.2,9,88.9,5.06,0.25,2.01,0.562,5.0
5.0,1.5,2.5,3.0,0.6,14400,0.2,9,88.9,5.06,0.25,2.01,0.562,5.0
5.0,1.5,2.5,3.0,0.6,,0.4,9,88.9,5.06,0.25,2.01,0.562,5.0
5.0,1.5,2.5,4.5,0.6,2400,0.2,9,88.9,5.06,0.25,2.01,0.562,5.0
5.0,1.5,2.5,4.5,0.6,3600,0.2,9,88.9,5.06,0.25,2.01,0.562,5.0
5.0,1.5,2.5,4.5,0.6,7200,0.2,9,88.9,5.06,0.25,2.01,0.562,5.0
5.0,1.5,2.5,4.5,0.6,14400,0.2,9,88.9,5.06,0.25,2.01,0.562,5.0
5.0,1.5,2.5,4.5,0.6,,0.4,9,88.9,5.06,0.25,2.01,0.562,5.0
2.0,1.5,2.5,3.0,0.6,1200,0.2,11,72.7,6.06,0.94,2.51,0.551,2.0
2.0,1.5,2.5,4.5,0.6,1200,0.2,11,72.7,6.06,0.94,2.51,0.551,2.0
5.0,1.5,2.5,3.0,0.8,2400,0.2,9,88.9,4.86,0.25,1.97,0.54,5.0
5.0,1.5,2.5,3.0,0.8,3600,0.2,9,88.9,4.86,0.25,1.97,0.54,5.0
5.0,1.5,2.5,3.0,0.8,7200,0.2,9,88.9,4.86,0.25,1.97,0.54,5.0
5.0,1.5,2.5,3.0,0.8,14400,0.2,9,88.9,4.86,0.25,1.97,0.54,5.0
5.0,1.5,2.5,3.0,0.8,,0.4,9,88.9,4.86,0.25,1.97,0.54,5.0
5.0,1.5,2.5,4.5,0.8,2400,0.2,9,88.9,4.86,0.25,1.97,0.54,5.0
5.0,1.5,2.5,4.5,0.8,3600,0.2,9,88.9,4.86,0.25,1.97,0.54,5.0
5.0,1.5,2.5,4.5,0.8,7200,0.2,9,88.9,4.86,0.25,1.97,0.54,5.0
5.0,1.5,2.5,4.5,0.8,14400,0.2,9,88.9,4.86,0.25,1.97,0.54,5.0
5.0,1.5,2.5,4.5,0.8,,0.4,9,88.9,4.86,0.25,1.97,0.54,5.0
2.0,1.5,2.5,3.0,0.8,1200,0.2,11,72.7,5.86,0.92,2.46,0.533,2.0
2.0,1.5,2.5,4.5,0.8,1200,0.2,11,72.7,5.86,0.92,2.46,0.533,2.0
5.0,1.5,2.5,3.0,0.6,1200,0.2,9,77.8,4.45,0.54,1.89,0.494,5.0
5.0,1.5,2.5,3.0,0.8,1200,0.2,9,77.8,4.45,0.54,1.89,0.494,5.0
5.0,1.5,2.5,4.5,0.6,1200,0.2,9,77.8,4.45,0.54,1.89,0.494,5.0
