stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.8,1200,0.8,15,66.7,1.57,0.64,1.28,0.105,5.42
5.0,1.5,2.5,4.5,0.8,1200,0.8,15,66.7,1.12,0.6,1.2,0.075,5.42
3.0,1.5,2.5,3.0,0.8,1200,0.4,15,73.3,0.57,0.39,1.06,0.038,9.0
3.0,1.5,2.5,3.0,0.8,1200,0.8,16,62.5,0.57,0.65,1.09,0.036,6.42
2.0,1.5,2.5,3.0,0.8,1200,0.4,15,66.7,0.22,0.51,1.03,0.015,6.0
3.0,1.5,2.5,4.5,0.8,1200,0.4,15,73.3,0.12,0.37,1.01,0.008,9.0
3.0,1.5,2.5,4.5,0.8,1200,0.8,16,62.5,0.12,0.61,1.02,0.008,6.42
5.0,1.5,2.5,3.0,0.6,1200,0.8,15,66.7,-0.04,0.5,0.99,-0.003,5.42
5.0,1.5,2.5,4.5,0.6,1200,0.8,15,66.7,-0.04,0.5,0.99,-0.003,5.42
2.0,1.5,2.5,4.5,0.8,1200,0.4,15,66.7,-0.23,0.49,0.97,-0.015,6.0
5.0,1.5,2.5,3.0,0.4,1200,0.8,15,66.7,-0.37,0.47,0.93,-0.025,5.42
5.0,1.5,2.5,4.5,0.4,1200,0.8,15,66.7,-0.37,0.47,0.93,-0.025,5.42
5.0,1.5,2.5,3.0,0.8,1200,0.4,14,78.6,-0.43,0.26,0.96,-0.031,10.0
2.0,1.5,2.5,3.0,0.8,2400,0.4,14,64.3,-0.49,0.53,0.95,-0.035,6.65
5.0,1.0,1.5,3.0,0.4,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,1.5,3.0,0.6,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,1.5,3.0,0.8,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,1.5,4.5,0.4,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,1.5,4.5,0.6,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,1.5,4.5,0.8,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,2.5,3.0,0.4,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,2.5,3.0,0.6,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,2.5,3.0,0.8,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,2.5,4.5,0.4,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,2.5,4.5,0.6,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
5.0,1.0,2.5,4.5,0.8,1200,0.8,15,66.7,-0.66,0.44,0.88,-0.044,5.42
2.0,1.5,2.5,3.0,0.8,1200,0.8,16,56.2,-0.78,0.69,0.88,-0.049,4.83
3.0,0.7,1.5,3.0,0.4,1200,0.2,16,81.2,-0.81,0.21,0.91,-0.051,9.0
