stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
4.0,1.5,2.5,4.5,0.4,2400,0.2,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,2400,0.4,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,3600,0.2,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,3600,0.4,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,7200,0.2,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,7200,0.4,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,7200,0.8,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,14400,0.2,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,14400,0.4,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,14400,0.8,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.4,,0.4,73,80.8,24.18,0.34,1.43,0.331,11.95
4.0,1.5,2.5,4.5,0.6,2400,0.2,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,2400,0.4,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,3600,0.2,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,3600,0.4,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,7200,0.2,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,7200,0.4,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,7200,0.8,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,14400,0.2,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,14400,0.4,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,14400,0.8,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,4.5,0.6,,0.4,73,80.8,23.47,0.34,1.42,0.322,12.94
4.0,1.5,2.5,3.0,0.4,2400,0.2,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,2400,0.4,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,3600,0.2,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,3600,0.4,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,7200,0.2,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,7200,0.4,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,7200,0.8,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,14400,0.2,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,14400,0.4,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,14400,0.8,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,3.0,0.4,,0.4,73,80.8,22.83,0.33,1.41,0.313,11.5
4.0,1.5,2.5,4.5,0.4,1200,0.2,73,79.5,22.83,0.36,1.41,0.313,11.95
4.0,1.5,2.5,3.0,0.6,2400,0.2,73,80.8,22.12,0.33,1.4,0.303,12.49
4.0,1.5,2.5,3.0,0.6,2400,0.4,73,80.8,22.12,0.33,1.4,0.303,12.49
4.0,1.5,2.5,3.0,0.6,3600,0.2,73,80.8,22.12,0.33,1.4,0.303,12.49
4.0,1.5,2.5,3.0,0.6,3600,0.4,73,80.8,22.12,0.33,1.4,0.303,12.49
