stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.4,2400,0.4,54,88.9,20.92,0.21,1.7,0.387,7.12
5.0,1.5,2.5,4.5,0.4,2400,0.4,54,88.9,20.92,0.21,1.7,0.387,7.12
5.0,1.5,2.5,3.0,0.4,1200,0.2,54,87.0,20.53,0.25,1.68,0.38,7.12
5.0,1.5,2.5,4.5,0.4,1200,0.2,54,87.0,20.53,0.25,1.68,0.38,7.12
5.0,1.5,2.5,3.0,0.4,2400,0.2,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,3.0,0.4,3600,0.2,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,3.0,0.4,3600,0.4,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,3.0,0.4,7200,0.2,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,3.0,0.4,7200,0.4,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,3.0,0.4,14400,0.2,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,3.0,0.4,14400,0.4,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,3.0,0.4,,0.4,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,4.5,0.4,2400,0.2,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,4.5,0.4,3600,0.2,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,4.5,0.4,3600,0.4,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,4.5,0.4,7200,0.2,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,4.5,0.4,7200,0.4,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,4.5,0.4,14400,0.2,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,4.5,0.4,14400,0.4,53,88.7,20.03,0.21,1.67,0.378,7.12
5.0,1.5,2.5,4.5,0.4,,0.4,53,88.7,20.03,0.21,1.67,0.378,7.12
