stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
3.0,0.7,1.5,3.0,0.4,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,1.5,3.0,0.6,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,1.5,3.0,0.8,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,1.5,4.5,0.4,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,1.5,4.5,0.6,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,1.5,4.5,0.8,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,2.5,3.0,0.4,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,2.5,3.0,0.6,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,2.5,3.0,0.8,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,2.5,4.5,0.4,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,2.5,4.5,0.6,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,0.7,2.5,4.5,0.8,1200,0.8,75,60.0,-3.42,0.52,0.79,-0.046,9.14
3.0,1.5,2.5,3.0,0.4,1200,0.8,71,57.7,-5.45,0.52,0.71,-0.077,11.84
3.0,1.5,2.5,4.5,0.4,1200,0.8,71,57.7,-5.45,0.52,0.71,-0.077,11.84
2.0,1.5,2.5,3.0,0.4,1200,0.4,65,55.4,-5.07,0.63,0.79,-0.078,13.87
2.0,1.5,2.5,3.0,0.8,1200,0.8,73,54.8,-5.69,0.59,0.71,-0.078,9.8
2.0,1.5,2.5,4.5,0.4,1200,0.4,65,55.4,-5.07,0.63,0.79,-0.078,13.87
2.0,1.5,2.5,4.5,0.8,1200,0.8,73,54.8,-5.69,0.59,0.71,-0.078,9.8
2.0,0.7,1.5,3.0,0.4,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,1.5,3.0,0.6,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,1.5,3.0,0.8,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,1.5,4.5,0.4,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,1.5,4.5,0.6,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,1.5,4.5,0.8,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,2.5,3.0,0.4,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,2.5,3.0,0.6,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,2.5,3.0,0.8,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,2.5,4.5,0.4,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,2.5,4.5,0.6,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
2.0,0.7,2.5,4.5,0.8,1200,0.8,76,56.6,-6.02,0.51,0.66,-0.079,9.34
3.0,1.5,2.5,3.0,0.4,1200,0.4,56,58.9,-4.58,0.56,0.8,-0.082,14.72
3.0,1.5,2.5,3.0,0.8,1200,0.8,71,57.7,-5.85,0.5,0.69,-0.082,12.24
3.0,1.5,2.5,4.5,0.4,1200,0.4,56,58.9,-4.58,0.56,0.8,-0.082,14.72
3.0,1.5,2.5,4.5,0.8,1200,0.8,71,57.7,-5.85,0.5,0.69,-0.082,12.24
3.0,1.5,2.5,3.0,0.6,1200,0.8,71,57.7,-6.05,0.5,0.68,-0.085,12.04
3.0,1.5,2.5,4.5,0.6,1200,0.8,71,57.7,-6.05,0.5,0.68,-0.085,12.04
2.0,1.5,2.5,3.0,0.6,1200,0.8,73,54.8,-6.29,0.56,0.68,-0.086,9.8
2.0,1.5,2.5,4.5,0.6,1200,0.8,73,54.8,-6.29,0.56,0.68,-0.086,9.8
3.0,1.0,1.5,3.0,0.4,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,1.5,3.0,0.6,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,1.5,3.0,0.8,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,1.5,4.5,0.4,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,1.5,4.5,0.6,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,1.5,4.5,0.8,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,2.5,3.0,0.4,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,2.5,3.0,0.6,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,2.5,3.0,0.8,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,2.5,4.5,0.4,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,2.5,4.5,0.6,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
3.0,1.0,2.5,4.5,0.8,1200,0.8,74,58.1,-6.82,0.46,0.64,-0.092,12.15
2.0,1.5,2.5,3.0,0.4,1200,0.8,73,54.8,-6.81,0.54,0.65,-0.093,10.52
2.0,1.5,2.5,4.5,0.4,1200,0.8,73,54.8,-6.81,0.54,0.65,-0.093,10.52
3.0,0.7,1.5,3.0,0.4,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,1.5,3.0,0.6,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,1.5,3.0,0.8,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,1.5,4.5,0.4,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,1.5,4.5,0.6,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,1.5,4.5,0.8,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,2.5,3.0,0.4,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,2.5,3.0,0.6,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,2.5,3.0,0.8,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,2.5,4.5,0.4,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,2.5,4.5,0.6,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
3.0,0.7,2.5,4.5,0.8,1200,0.4,59,62.7,-5.85,0.42,0.7,-0.099,12.41
2.0,1.5,2.5,3.0,0.4,3600,0.8,64,48.4,-6.37,0.81,0.76,-0.1,15.19
2.0,1.5,2.5,4.5,0.4,3600,0.8,64,48.4,-6.37,0.81,0.76,-0.1,15.19
2.0,1.5,2.5,3.0,0.6,1200,0.4,64,54.7,-6.46,0.6,0.73,-0.101,13.27
2.0,1.5,2.5,4.5,0.6,1200,0.4,64,54.7,-6.46,0.6,0.73,-0.101,13.27
4.0,0.7,1.5,3.0,0.4,1200,0.8,73,58.9,-7.62,0.43,0.62,-0.104,13.34
4.0,0.7,1.5,3.0,0.6,1200,0.8,73,58.9,-7.62,0.43,0.62,-0.104,13.34
4.0,0.7,1.5,3.0,0.8,1200,0.8,73,58.9,-7.62,0.43,0.62,-0.104,13.34
4.0,0.7,1.5,4.5,0.4,1200,0.8,73,58.9,-7.62,0.43,0.62,-0.104,13.34
4.0,0.7,1.5,4.5,0.6,1200,0.8,73,58.9,-7.62,0.43,0.62,-0.104,13.34
