stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
2.0,1.5,2.5,3.0,0.4,2400,0.2,60,68.3,6.96,0.55,1.18,0.116,9.67
2.0,1.5,2.5,3.0,0.4,3600,0.2,60,68.3,6.96,0.55,1.18,0.116,9.67
2.0,1.5,2.5,3.0,0.4,7200,0.2,60,68.3,6.96,0.55,1.18,0.116,9.67
2.0,1.5,2.5,3.0,0.4,14400,0.2,60,68.3,6.96,0.55,1.18,0.116,9.67
2.0,1.5,2.5,3.0,0.4,14400,0.4,60,68.3,6.96,0.55,1.18,0.116,9.67
2.0,1.5,2.5,3.0,0.4,,0.4,60,68.3,6.96,0.55,1.18,0.116,9.67
2.0,1.5,2.5,3.0,0.4,2400,0.8,84,61.9,9.08,0.79,1.29,0.108,9.22
2.0,1.5,2.5,3.0,0.4,3600,0.8,77,64.9,8.3,0.67,1.24,0.108,9.18
2.0,1.5,2.5,4.5,0.4,2400,0.2,60,68.3,6.51,0.54,1.17,0.108,9.67
2.0,1.5,2.5,4.5,0.4,3600,0.2,60,68.3,6.51,0.54,1.17,0.108,9.67
2.0,1.5,2.5,4.5,0.4,7200,0.2,60,68.3,6.51,0.54,1.17,0.108,9.67
2.0,1.5,2.5,4.5,0.4,14400,0.2,60,68.3,6.51,0.54,1.17,0.108,9.67
2.0,1.5,2.5,4.5,0.4,14400,0.4,60,68.3,6.51,0.54,1.17,0.108,9.67
2.0,1.5,2.5,4.5,0.4,,0.4,60,68.3,6.51,0.54,1.17,0.108,9.67
2.0,1.5,2.5,4.5,0.4,2400,0.8,84,61.9,8.63,0.79,1.28,0.103,9.22
2.0,1.5,2.5,4.5,0.4,3600,0.8,77,64.9,7.85,0.66,1.23,0.102,9.18
2.0,1.5,2.5,3.0,0.4,3600,0.4,62,66.1,6.09,0.59,1.16,0.098,9.67
2.0,1.5,2.5,3.0,0.4,7200,0.4,60,66.7,5.88,0.58,1.15,0.098,9.67
2.0,1.5,2.5,3.0,0.4,7200,0.8,69,65.2,6.63,0.63,1.17,0.096,9.67
2.0,1.5,2.5,3.0,0.6,2400,0.8,84,61.9,7.82,0.77,1.25,0.093,10.12
2.0,1.5,2.5,3.0,0.4,1200,0.2,64,67.2,5.81,0.56,1.14,0.091,9.67
2.0,1.5,2.5,4.5,0.4,3600,0.4,62,66.1,5.64,0.59,1.15,0.091,9.67
2.0,1.5,2.5,3.0,0.8,2400,0.8,84,61.9,7.54,0.76,1.24,0.09,10.39
2.0,1.5,2.5,4.5,0.4,7200,0.4,60,66.7,5.43,0.57,1.14,0.09,9.67
2.0,1.5,2.5,4.5,0.4,7200,0.8,69,65.2,6.18,0.62,1.16,0.09,9.67
2.0,1.5,2.5,4.5,0.6,2400,0.8,84,61.9,7.37,0.76,1.24,0.088,10.12
2.0,0.7,1.5,3.0,0.4,2400,0.4,72,77.8,6.06,0.35,1.23,0.084,4.27
2.0,0.7,1.5,3.0,0.6,2400,0.4,72,77.8,6.06,0.35,1.23,0.084,4.27
2.0,0.7,1.5,3.0,0.8,2400,0.4,72,77.8,6.06,0.35,1.23,0.084,4.27
2.0,0.7,1.5,4.5,0.4,2400,0.4,72,77.8,6.06,0.35,1.23,0.084,4.27
2.0,0.7,1.5,4.5,0.6,2400,0.4,72,77.8,6.06,0.35,1.23,0.084,4.27
2.0,0.7,1.5,4.5,0.8,2400,0.4,72,77.8,6.06,0.35,1.23,0.084,4.27
2.0,1.5,2.5,3.0,0.6,3600,0.8,77,64.9,6.45,0.64,1.19,0.084,9.38
2.0,1.5,2.5,4.5,0.4,1200,0.2,64,67.2,5.36,0.55,1.13,0.084,9.67
2.0,1.5,2.5,4.5,0.8,2400,0.8,84,61.9,7.09,0.76,1.23,0.084,10.39
3.0,1.5,2.5,3.0,0.4,2400,0.8,81,66.7,6.82,0.6,1.19,0.084,11.52
2.0,1.5,2.5,3.0,0.4,2400,0.4,68,67.6,5.45,0.55,1.14,0.08,9.67
2.0,1.5,2.5,3.0,0.6,2400,0.2,60,68.3,4.82,0.52,1.13,0.08,10.67
2.0,1.5,2.5,3.0,0.6,3600,0.2,60,68.3,4.82,0.52,1.13,0.08,10.67
2.0,1.5,2.5,3.0,0.6,7200,0.2,60,68.3,4.82,0.52,1.13,0.08,10.67
2.0,1.5,2.5,3.0,0.6,14400,0.2,60,68.3,4.82,0.52,1.13,0.08,10.67
2.0,1.5,2.5,3.0,0.6,14400,0.4,60,68.3,4.82,0.52,1.13,0.08,10.67
2.0,1.5,2.5,3.0,0.6,,0.4,60,68.3,4.82,0.52,1.13,0.08,10.67
2.0,1.5,2.5,3.0,0.8,1200,0.2,64,67.2,5.13,0.55,1.13,0.08,10.94
3.0,1.5,2.5,4.5,0.4,2400,0.8,81,66.7,6.37,0.59,1.18,0.079,11.52
2.0,1.5,2.5,4.5,0.6,3600,0.8,77,64.9,6.0,0.63,1.18,0.078,9.38
2.0,0.7,2.5,3.0,0.4,2400,0.4,72,77.8,5.34,0.34,1.2,0.074,4.27
2.0,0.7,2.5,3.0,0.6,2400,0.4,72,77.8,5.34,0.34,1.2,0.074,4.27
2.0,0.7,2.5,3.0,0.8,2400,0.4,72,77.8,5.34,0.34,1.2,0.074,4.27
2.0,0.7,2.5,4.5,0.4,2400,0.4,72,77.8,5.34,0.34,1.2,0.074,4.27
2.0,0.7,2.5,4.5,0.6,2400,0.4,72,77.8,5.34,0.34,1.2,0.074,4.27
2.0,0.7,2.5,4.5,0.8,2400,0.4,72,77.8,5.34,0.34,1.2,0.074,4.27
2.0,1.5,2.5,4.5,0.4,2400,0.4,68,67.6,5.0,0.54,1.13,0.074,9.67
2.0,1.5,2.5,4.5,0.6,2400,0.2,60,68.3,4.37,0.52,1.12,0.073,10.67
2.0,1.5,2.5,4.5,0.6,3600,0.2,60,68.3,4.37,0.52,1.12,0.073,10.67
2.0,1.5,2.5,4.5,0.6,7200,0.2,60,68.3,4.37,0.52,1.12,0.073,10.67
2.0,1.5,2.5,4.5,0.6,14400,0.2,60,68.3,4.37,0.52,1.12,0.073,10.67
2.0,1.5,2.5,4.5,0.6,14400,0.4,60,68.3,4.37,0.52,1.12,0.073,10.67
2.0,1.5,2.5,4.5,0.6,,0.4,60,68.3,4.37,0.52,1.12,0.073,10.67
2.0,1.5,2.5,4.5,0.8,1200,0.2,64,67.2,4.68,0.55,1.12,0.073,10.94
2.0,1.5,2.5,3.0,0.8,3600,0.8,77,64.9,5.57,0.63,1.16,0.072,9.64
2.0,1.5,2.5,3.0,0.8,2400,0.2,60,68.3,4.15,0.51,1.11,0.069,10.94
2.0,1.5,2.5,3.0,0.8,3600,0.2,60,68.3,4.15,0.51,1.11,0.069,10.94
2.0,1.5,2.5,3.0,0.8,7200,0.2,60,68.3,4.15,0.51,1.11,0.069,10.94
2.0,1.5,2.5,3.0,0.8,14400,0.2,60,68.3,4.15,0.51,1.11,0.069,10.94
2.0,1.5,2.5,3.0,0.8,14400,0.4,60,68.3,4.15,0.51,1.11,0.069,10.94
2.0,1.5,2.5,3.0,0.8,,0.4,60,68.3,4.15,0.51,1.11,0.069,10.94
2.0,0.7,1.5,3.0,0.4,1200,0.4,83,73.5,5.63,0.44,1.21,0.068,4.96
2.0,0.7,1.5,3.0,0.6,1200,0.4,83,73.5,5.63,0.44,1.21,0.068,4.96
2.0,0.7,1.5,3.0,0.8,1200,0.4,83,73.5,5.63,0.44,1.21,0.068,4.96
2.0,0.7,1.5,4.5,0.4,1200,0.4,83,73.5,5.63,0.44,1.21,0.068,4.96
2.0,0.7,1.5,4.5,0.6,1200,0.4,83,73.5,5.63,0.44,1.21,0.068,4.96
2.0,0.7,1.5,4.5,0.8,1200,0.4,83,73.5,5.63,0.44,1.21,0.068,4.96
2.0,1.5,2.5,3.0,0.6,7200,0.8,69,65.2,4.69,0.6,1.12,0.068,10.67
2.0,1.5,2.5,4.5,0.8,3600,0.8,77,64.9,5.12,0.62,1.15,0.066,9.64
3.0,1.5,2.5,3.0,0.6,2400,0.8,81,66.7,5.24,0.57,1.15,0.065,12.36
2.0,0.7,1.5,3.0,0.4,1200,0.2,66,77.3,4.2,0.34,1.15,0.064,6.11
2.0,0.7,1.5,3.0,0.4,3600,0.8,80,71.2,5.16,0.48,1.2,0.064,4.48
2.0,0.7,1.5,3.0,0.6,1200,0.2,66,77.3,4.2,0.34,1.15,0.064,6.11
2.0,0.7,1.5,3.0,0.6,3600,0.8,80,71.2,5.16,0.48,1.2,0.064,4.48
2.0,0.7,1.5,3.0,0.8,1200,0.2,66,77.3,4.2,0.34,1.15,0.064,6.11
2.0,0.7,1.5,3.0,0.8,3600,0.8,80,71.2,5.16,0.48,1.2,0.064,4.48
2.0,0.7,1.5,4.5,0.4,1200,0.2,66,77.3,4.2,0.34,1.15,0.064,6.11
2.0,0.7,1.5,4.5,0.4,3600,0.8,80,71.2,5.16,0.48,1.2,0.064,4.48
2.0,0.7,1.5,4.5,0.6,1200,0.2,66,77.3,4.2,0.34,1.15,0.064,6.11
2.0,0.7,1.5,4.5,0.6,3600,0.8,80,71.2,5.16,0.48,1.2,0.064,4.48
2.0,0.7,1.5,4.5,0.8,1200,0.2,66,77.3,4.2,0.34,1.15,0.064,6.11
2.0,0.7,1.5,4.5,0.8,3600,0.8,80,71.2,5.16,0.48,1.2,0.064,4.48
2.0,0.7,1.5,3.0,0.4,3600,0.4,67,76.1,4.22,0.36,1.15,0.063,6.11
2.0,0.7,1.5,3.0,0.6,3600,0.4,67,76.1,4.22,0.36,1.15,0.063,6.11
2.0,0.7,1.5,3.0,0.8,3600,0.4,67,76.1,4.22,0.36,1.15,0.063,6.11
2.0,0.7,1.5,4.5,0.4,3600,0.4,67,76.1,4.22,0.36,1.15,0.063,6.11
2.0,0.7,1.5,4.5,0.6,3600,0.4,67,76.1,4.22,0.36,1.15,0.063,6.11
2.0,0.7,1.5,4.5,0.8,3600,0.4,67,76.1,4.22,0.36,1.15,0.063,6.11
2.0,1.5,2.5,3.0,0.4,14400,0.8,61,65.6,3.83,0.58,1.1,0.063,9.67
2.0,0.7,1.5,3.0,0.4,7200,0.4,65,76.9,4.01,0.34,1.14,0.062,6.11
2.0,0.7,1.5,3.0,0.6,7200,0.4,65,76.9,4.01,0.34,1.14,0.062,6.11
2.0,0.7,1.5,3.0,0.8,7200,0.4,65,76.9,4.01,0.34,1.14,0.062,6.11
2.0,0.7,1.5,4.5,0.4,7200,0.4,65,76.9,4.01,0.34,1.14,0.062,6.11
2.0,0.7,1.5,4.5,0.6,7200,0.4,65,76.9,4.01,0.34,1.14,0.062,6.11
2.0,0.7,1.5,4.5,0.8,7200,0.4,65,76.9,4.01,0.34,1.14,0.062,6.11
2.0,1.5,2.5,4.5,0.8,2400,0.2,60,68.3,3.7,0.51,1.1,0.062,10.94
2.0,1.5,2.5,4.5,0.8,3600,0.2,60,68.3,3.7,0.51,1.1,0.062,10.94
2.0,1.5,2.5,4.5,0.8,7200,0.2,60,68.3,3.7,0.51,1.1,0.062,10.94
2.0,1.5,2.5,4.5,0.8,14400,0.2,60,68.3,3.7,0.51,1.1,0.062,10.94
2.0,1.5,2.5,4.5,0.8,14400,0.4,60,68.3,3.7,0.51,1.1,0.062,10.94
2.0,1.5,2.5,4.5,0.8,,0.4,60,68.3,3.7,0.51,1.1,0.062,10.94
2.0,1.5,2.5,4.5,0.6,7200,0.8,69,65.2,4.24,0.59,1.11,0.061,10.67
2.0,0.7,2.5,3.0,0.4,1200,0.4,83,73.5,4.91,0.43,1.18,0.059,4.96
2.0,0.7,2.5,3.0,0.6,1200,0.4,83,73.5,4.91,0.43,1.18,0.059,4.96
2.0,0.7,2.5,3.0,0.8,1200,0.4,83,73.5,4.91,0.43,1.18,0.059,4.96
2.0,0.7,2.5,4.5,0.4,1200,0.4,83,73.5,4.91,0.43,1.18,0.059,4.96
2.0,0.7,2.5,4.5,0.6,1200,0.4,83,73.5,4.91,0.43,1.18,0.059,4.96
2.0,0.7,2.5,4.5,0.8,1200,0.4,83,73.5,4.91,0.43,1.18,0.059,4.96
3.0,1.5,2.5,4.5,0.6,2400,0.8,81,66.7,4.79,0.57,1.14,0.059,12.81
2.0,0.7,1.5,3.0,0.4,2400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.4,3600,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.4,7200,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.4,14400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.4,14400,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.4,,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.6,2400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.6,3600,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.6,7200,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.6,14400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.6,14400,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.6,,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.8,2400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.8,3600,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.8,7200,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.8,14400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.8,14400,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,3.0,0.8,,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.4,2400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.4,3600,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.4,7200,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.4,14400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.4,14400,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.4,,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.6,2400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.6,3600,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.6,7200,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.6,14400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.6,14400,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.6,,0.4,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.8,2400,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.8,3600,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
2.0,0.7,1.5,4.5,0.8,7200,0.2,63,77.8,3.59,0.32,1.13,0.057,6.11
