stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.4,14400,0.2,14,100.0,15.35,0.0,1535.0,1.096,0.0
5.0,1.5,2.5,3.0,0.4,,0.4,14,100.0,15.35,0.0,1535.0,1.096,0.0
5.0,1.5,2.5,4.5,0.4,14400,0.2,14,100.0,15.35,0.0,1535.0,1.096,0.0
5.0,1.5,2.5,4.5,0.4,,0.4,14,100.0,15.35,0.0,1535.0,1.096,0.0
5.0,1.5,2.5,3.0,0.6,14400,0.2,14,100.0,15.24,0.0,1524.0,1.089,0.0
5.0,1.5,2.5,3.0,0.6,,0.4,14,100.0,15.24,0.0,1524.0,1.089,0.0
5.0,1.5,2.5,4.5,0.6,14400,0.2,14,100.0,15.24,0.0,1524.0,1.089,0.0
5.0,1.5,2.5,4.5,0.6,,0.4,14,100.0,15.24,0.0,1524.0,1.089,0.0
5.0,1.5,2.5,3.0,0.8,14400,0.2,14,100.0,15.19,0.0,1519.0,1.085,0.0
5.0,1.5,2.5,3.0,0.8,,0.4,14,100.0,15.19,0.0,1519.0,1.085,0.0
5.0,1.5,2.5,4.5,0.8,14400,0.2,14,100.0,15.19,0.0,1519.0,1.085,0.0
5.0,1.5,2.5,4.5,0.8,,0.4,14,100.0,15.19,0.0,1519.0,1.085,0.0
5.0,1.5,2.5,3.0,0.4,7200,0.2,15,93.3,14.0,33.4,467.67,0.933,0.03
5.0,1.5,2.5,4.5,0.4,7200,0.2,15,93.3,14.0,33.4,467.67,0.933,0.03
5.0,1.5,2.5,3.0,0.8,14400,0.4,15,93.3,13.97,10.05,140.7,0.931,0.1
5.0,1.5,2.5,4.5,0.8,14400,0.4,15,93.3,13.97,10.05,140.7,0.931,0.1
5.0,1.5,2.5,3.0,0.6,7200,0.2,15,93.3,13.89,33.14,464.0,0.926,0.03
5.0,1.5,2.5,4.5,0.6,7200,0.2,15,93.3,13.89,33.14,464.0,0.926,0.03
5.0,1.5,2.5,3.0,0.4,3600,0.2,15,86.7,13.85,14.36,93.33,0.923,0.15
5.0,1.5,2.5,3.0,0.8,7200,0.2,15,93.3,13.84,33.02,462.33,0.923,0.03
5.0,1.5,2.5,4.5,0.4,3600,0.2,15,86.7,13.85,14.36,93.33,0.923,0.15
5.0,1.5,2.5,4.5,0.8,7200,0.2,15,93.3,13.84,33.02,462.33,0.923,0.03
5.0,1.5,2.5,3.0,0.6,3600,0.2,15,86.7,13.74,14.25,92.6,0.916,0.15
5.0,1.5,2.5,4.5,0.6,3600,0.2,15,86.7,13.74,14.25,92.6,0.916,0.15
5.0,1.5,2.5,3.0,0.8,3600,0.2,15,86.7,13.69,14.19,92.27,0.913,0.15
5.0,1.5,2.5,4.5,0.8,3600,0.2,15,86.7,13.69,14.19,92.27,0.913,0.15
5.0,1.5,2.5,3.0,0.4,14400,0.4,16,93.8,14.42,9.68,145.2,0.901,0.1
5.0,1.5,2.5,4.5,0.4,14400,0.4,16,93.8,14.42,9.68,145.2,0.901,0.1
5.0,1.5,2.5,3.0,0.6,14400,0.4,16,93.8,14.31,9.61,144.1,0.894,0.1
5.0,1.5,2.5,4.5,0.6,14400,0.4,16,93.8,14.31,9.61,144.1,0.894,0.1
5.0,1.5,2.5,3.0,0.4,7200,0.4,17,94.1,14.41,30.08,481.33,0.848,0.03
5.0,1.5,2.5,4.5,0.4,7200,0.4,17,94.1,14.41,30.08,481.33,0.848,0.03
5.0,1.5,2.5,3.0,0.6,7200,0.4,17,94.1,14.3,29.85,477.67,0.841,0.03
5.0,1.5,2.5,4.5,0.6,7200,0.4,17,94.1,14.3,29.85,477.67,0.841,0.03
5.0,1.5,2.5,3.0,0.8,7200,0.4,17,88.2,13.88,6.1,45.77,0.816,0.28
5.0,1.5,2.5,4.5,0.8,7200,0.4,17,88.2,13.88,6.1,45.77,0.816,0.28
5.0,1.5,2.5,3.0,0.4,2400,0.2,16,87.5,12.86,10.35,72.44,0.804,0.18
5.0,1.5,2.5,4.5,0.4,2400,0.2,16,87.5,12.86,10.35,72.44,0.804,0.18
5.0,1.5,2.5,3.0,0.6,2400,0.2,16,87.5,12.49,10.06,70.39,0.781,0.18
5.0,1.5,2.5,4.5,0.6,2400,0.2,16,87.5,12.49,10.06,70.39,0.781,0.18
5.0,1.5,2.5,3.0,0.8,2400,0.2,16,87.5,12.44,10.02,70.11,0.778,0.18
5.0,1.5,2.5,4.5,0.8,2400,0.2,16,87.5,12.44,10.02,70.11,0.778,0.18
5.0,1.5,2.5,3.0,0.8,3600,0.4,17,82.4,11.46,10.45,48.75,0.674,0.15
5.0,1.5,2.5,4.5,0.8,3600,0.4,17,82.4,11.46,10.45,48.75,0.674,0.15
5.0,1.5,2.5,3.0,0.4,3600,0.4,19,84.2,12.24,9.75,52.0,0.644,0.15
5.0,1.5,2.5,4.5,0.4,3600,0.4,19,84.2,12.24,9.75,52.0,0.644,0.15
5.0,1.5,2.5,3.0,0.6,3600,0.4,19,84.2,11.87,9.46,50.46,0.625,0.15
5.0,1.5,2.5,4.5,0.6,3600,0.4,19,84.2,11.87,9.46,50.46,0.625,0.15
5.0,1.5,2.5,3.0,0.4,1200,0.2,21,71.4,12.78,21.7,54.25,0.609,0.19
5.0,1.5,2.5,4.5,0.4,1200,0.2,21,71.4,12.78,21.7,54.25,0.609,0.19
5.0,1.5,2.5,3.0,0.6,1200,0.2,21,71.4,12.32,20.93,52.33,0.587,0.19
5.0,1.5,2.5,4.5,0.6,1200,0.2,21,71.4,12.32,20.93,52.33,0.587,0.19
3.0,1.5,2.5,3.0,0.4,14400,0.2,16,87.5,9.35,0.37,2.56,0.584,4.65
3.0,1.5,2.5,3.0,0.4,,0.4,16,87.5,9.35,0.37,2.56,0.584,4.65
3.0,1.5,2.5,4.5,0.4,14400,0.2,16,87.5,9.35,0.37,2.56,0.584,4.65
3.0,1.5,2.5,4.5,0.4,,0.4,16,87.5,9.35,0.37,2.56,0.584,4.65
3.0,1.5,2.5,3.0,0.6,14400,0.2,16,87.5,9.24,0.36,2.54,0.578,4.65
3.0,1.5,2.5,3.0,0.6,,0.4,16,87.5,9.24,0.36,2.54,0.578,4.65
3.0,1.5,2.5,4.5,0.6,14400,0.2,16,87.5,9.24,0.36,2.54,0.578,4.65
3.0,1.5,2.5,4.5,0.6,,0.4,16,87.5,9.24,0.36,2.54,0.578,4.65
3.0,1.5,2.5,3.0,0.8,14400,0.2,16,87.5,9.19,0.36,2.53,0.574,4.65
3.0,1.5,2.5,3.0,0.8,,0.4,16,87.5,9.19,0.36,2.53,0.574,4.65
3.0,1.5,2.5,4.5,0.8,14400,0.2,16,87.5,9.19,0.36,2.53,0.574,4.65
3.0,1.5,2.5,4.5,0.8,,0.4,16,87.5,9.19,0.36,2.53,0.574,4.65
5.0,1.5,2.5,3.0,0.8,1200,0.2,22,68.2,12.11,14.6,31.28,0.55,0.19
5.0,1.5,2.5,4.5,0.8,1200,0.2,22,68.2,12.11,14.6,31.28,0.55,0.19
5.0,1.0,1.5,3.0,0.4,14400,0.2,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,3.0,0.4,,0.4,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,3.0,0.6,14400,0.2,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,3.0,0.6,,0.4,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,3.0,0.8,14400,0.2,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,3.0,0.8,,0.4,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,4.5,0.4,14400,0.2,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,4.5,0.4,,0.4,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,4.5,0.6,14400,0.2,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,4.5,0.6,,0.4,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,4.5,0.8,14400,0.2,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,1.5,4.5,0.8,,0.4,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,2.5,3.0,0.4,14400,0.2,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,2.5,3.0,0.4,,0.4,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,2.5,3.0,0.6,14400,0.2,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,2.5,3.0,0.6,,0.4,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,2.5,3.0,0.8,14400,0.2,14,92.9,6.7,0.18,2.34,0.479,5.0
5.0,1.0,2.5,3.0,0.8,,0.4,14,92.9,6.7,0.18,2.34,0.479,5.0
