stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.8,7200,0.2,16,93.8,12.45,0.23,3.49,0.778,5.0
5.0,1.5,2.5,3.0,0.8,14400,0.2,16,93.8,12.45,0.23,3.49,0.778,5.0
5.0,1.5,2.5,3.0,0.8,,0.4,16,93.8,12.45,0.23,3.49,0.778,5.0
5.0,1.5,2.5,4.5,0.8,7200,0.2,16,93.8,12.0,0.23,3.4,0.75,5.0
5.0,1.5,2.5,4.5,0.8,14400,0.2,16,93.8,12.0,0.23,3.4,0.75,5.0
5.0,1.5,2.5,4.5,0.8,,0.4,16,93.8,12.0,0.23,3.4,0.75,5.0
5.0,1.5,2.5,3.0,0.8,3600,0.2,19,94.7,13.78,0.21,3.76,0.725,5.0
5.0,1.5,2.5,4.5,0.8,3600,0.2,19,94.7,13.33,0.2,3.67,0.702,5.0
5.0,1.5,2.5,3.0,0.8,14400,0.4,19,89.5,12.54,0.41,3.46,0.66,5.0
5.0,1.5,2.5,3.0,0.4,3600,0.2,20,95.0,12.83,0.19,3.57,0.642,5.0
5.0,1.5,2.5,4.5,0.4,3600,0.2,20,95.0,12.83,0.19,3.57,0.642,5.0
5.0,1.5,2.5,3.0,0.4,7200,0.2,16,93.8,10.23,0.2,3.05,0.639,5.0
5.0,1.5,2.5,3.0,0.4,14400,0.2,16,93.8,10.23,0.2,3.05,0.639,5.0
5.0,1.5,2.5,3.0,0.4,,0.4,16,93.8,10.23,0.2,3.05,0.639,5.0
5.0,1.5,2.5,4.5,0.4,7200,0.2,16,93.8,10.23,0.2,3.05,0.639,5.0
5.0,1.5,2.5,4.5,0.4,14400,0.2,16,93.8,10.23,0.2,3.05,0.639,5.0
5.0,1.5,2.5,4.5,0.4,,0.4,16,93.8,10.23,0.2,3.05,0.639,5.0
5.0,1.5,2.5,4.5,0.8,14400,0.4,19,89.5,12.09,0.4,3.37,0.636,5.0
4.0,1.5,2.5,3.0,0.8,7200,0.4,22,90.9,13.93,0.45,4.46,0.633,4.0
5.0,1.0,2.5,3.0,0.4,7200,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,3.0,0.4,14400,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,3.0,0.4,,0.4,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,3.0,0.6,7200,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,3.0,0.6,14400,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,3.0,0.6,,0.4,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,3.0,0.8,7200,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,3.0,0.8,14400,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,3.0,0.8,,0.4,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,4.5,0.4,7200,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,4.5,0.4,14400,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,4.5,0.4,,0.4,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,4.5,0.6,7200,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,4.5,0.6,14400,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,4.5,0.6,,0.4,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,4.5,0.8,7200,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,4.5,0.8,14400,0.2,16,93.8,9.85,0.2,2.97,0.616,5.0
5.0,1.0,2.5,4.5,0.8,,0.4,16,93.8,9.85,0.2,2.97,0.616,5.0
4.0,1.5,2.5,4.5,0.8,7200,0.4,22,90.9,13.48,0.43,4.34,0.613,4.0
5.0,1.5,2.5,3.0,0.8,7200,0.4,22,90.9,12.93,0.36,3.57,0.588,5.0
5.0,1.0,2.5,3.0,0.4,3600,0.2,20,95.0,11.72,0.18,3.34,0.586,5.0
