stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
4.0,1.5,2.5,3.0,0.4,,0.4,54,87.0,23.5,0.27,1.84,0.435,8.67
4.0,1.5,2.5,4.5,0.4,,0.4,54,87.0,23.5,0.27,1.84,0.435,8.67
4.0,1.5,2.5,3.0,0.6,14400,0.4,61,85.2,25.87,0.36,2.07,0.424,8.87
4.0,1.5,2.5,4.5,0.6,14400,0.4,61,85.2,25.87,0.36,2.07,0.424,8.87
4.0,1.5,2.5,3.0,0.4,14400,0.4,62,82.3,26.03,0.45,2.07,0.42,8.67
4.0,1.5,2.5,4.5,0.4,14400,0.4,62,82.3,26.03,0.45,2.07,0.42,8.67
4.0,1.5,2.5,3.0,0.4,7200,0.2,62,83.9,22.15,0.32,1.69,0.357,8.0
4.0,1.5,2.5,4.5,0.4,7200,0.2,62,83.9,22.15,0.32,1.69,0.357,8.0
4.0,1.5,2.5,3.0,0.4,14400,0.2,58,86.2,19.91,0.26,1.62,0.343,8.67
4.0,1.5,2.5,4.5,0.4,14400,0.2,58,86.2,19.91,0.26,1.62,0.343,8.67
4.0,1.5,2.5,3.0,0.4,3600,0.2,66,81.8,21.74,0.37,1.68,0.329,7.95
4.0,1.5,2.5,4.5,0.4,3600,0.2,66,81.8,21.74,0.37,1.68,0.329,7.95
4.0,1.5,2.5,3.0,0.8,14400,0.4,62,82.3,18.28,0.36,1.65,0.295,8.73
4.0,1.5,2.5,4.5,0.8,14400,0.4,62,82.3,18.28,0.36,1.65,0.295,8.73
4.0,1.5,2.5,3.0,0.4,2400,0.2,69,79.7,20.32,0.41,1.62,0.294,7.72
4.0,1.5,2.5,4.5,0.4,2400,0.2,69,79.7,20.32,0.41,1.62,0.294,7.72
3.0,1.5,2.5,3.0,0.4,14400,0.4,87,78.2,24.77,0.44,1.58,0.285,8.18
3.0,1.5,2.5,4.5,0.4,14400,0.4,87,78.2,24.77,0.44,1.58,0.285,8.18
4.0,1.0,1.5,3.0,0.4,14400,0.4,69,79.7,18.77,0.42,1.66,0.272,9.3
4.0,1.0,1.5,3.0,0.6,14400,0.4,69,79.7,18.77,0.42,1.66,0.272,9.3
4.0,1.0,1.5,3.0,0.8,14400,0.4,69,79.7,18.77,0.42,1.66,0.272,9.3
4.0,1.0,1.5,4.5,0.4,14400,0.4,69,79.7,18.77,0.42,1.66,0.272,9.3
4.0,1.0,1.5,4.5,0.6,14400,0.4,69,79.7,18.77,0.42,1.66,0.272,9.3
4.0,1.0,1.5,4.5,0.8,14400,0.4,69,79.7,18.77,0.42,1.66,0.272,9.3
4.0,1.5,2.5,3.0,0.6,14400,0.2,51,84.3,13.63,0.27,1.43,0.267,8.87
4.0,1.5,2.5,3.0,0.6,,0.4,51,84.3,13.63,0.27,1.43,0.267,8.87
4.0,1.5,2.5,4.5,0.6,14400,0.2,51,84.3,13.63,0.27,1.43,0.267,8.87
4.0,1.5,2.5,4.5,0.6,,0.4,51,84.3,13.63,0.27,1.43,0.267,8.87
4.0,1.5,2.5,3.0,0.6,7200,0.2,54,83.3,14.25,0.29,1.44,0.264,8.4
4.0,1.5,2.5,4.5,0.6,7200,0.2,54,83.3,14.25,0.29,1.44,0.264,8.4
4.0,1.5,2.5,3.0,0.8,7200,0.2,52,84.6,13.56,0.26,1.42,0.261,8.73
4.0,1.5,2.5,4.5,0.8,7200,0.2,52,84.6,13.56,0.26,1.42,0.261,8.73
4.0,1.0,2.5,3.0,0.4,14400,0.4,69,79.7,17.87,0.41,1.62,0.259,9.3
4.0,1.0,2.5,3.0,0.6,14400,0.4,69,79.7,17.87,0.41,1.62,0.259,9.3
4.0,1.0,2.5,3.0,0.8,14400,0.4,69,79.7,17.87,0.41,1.62,0.259,9.3
4.0,1.0,2.5,4.5,0.4,14400,0.4,69,79.7,17.87,0.41,1.62,0.259,9.3
4.0,1.0,2.5,4.5,0.6,14400,0.4,69,79.7,17.87,0.41,1.62,0.259,9.3
4.0,1.0,2.5,4.5,0.8,14400,0.4,69,79.7,17.87,0.41,1.62,0.259,9.3
3.0,1.5,2.5,3.0,0.6,7200,0.4,99,80.8,25.39,0.38,1.6,0.256,8.77
3.0,1.5,2.5,4.5,0.6,7200,0.4,99,80.8,25.39,0.38,1.6,0.256,8.77
4.0,1.0,1.5,3.0,0.4,,0.4,58,86.2,14.8,0.23,1.46,0.255,9.3
4.0,1.0,1.5,3.0,0.6,,0.4,58,86.2,14.8,0.23,1.46,0.255,9.3
4.0,1.0,1.5,3.0,0.8,,0.4,58,86.2,14.8,0.23,1.46,0.255,9.3
4.0,1.0,1.5,4.5,0.4,,0.4,58,86.2,14.8,0.23,1.46,0.255,9.3
4.0,1.0,1.5,4.5,0.6,,0.4,58,86.2,14.8,0.23,1.46,0.255,9.3
4.0,1.0,1.5,4.5,0.8,,0.4,58,86.2,14.8,0.23,1.46,0.255,9.3
3.0,1.5,2.5,3.0,0.8,7200,0.4,100,80.0,25.15,0.4,1.59,0.252,9.77
3.0,1.5,2.5,4.5,0.8,7200,0.4,100,80.0,25.15,0.4,1.59,0.252,9.77
4.0,1.0,1.5,3.0,0.4,7200,0.2,64,82.8,16.04,0.31,1.5,0.251,8.47
4.0,1.0,1.5,3.0,0.6,7200,0.2,64,82.8,16.04,0.31,1.5,0.251,8.47
4.0,1.0,1.5,3.0,0.8,7200,0.2,64,82.8,16.04,0.31,1.5,0.251,8.47
4.0,1.0,1.5,4.5,0.4,7200,0.2,64,82.8,16.04,0.31,1.5,0.251,8.47
4.0,1.0,1.5,4.5,0.6,7200,0.2,64,82.8,16.04,0.31,1.5,0.251,8.47
4.0,1.0,1.5,4.5,0.8,7200,0.2,64,82.8,16.04,0.31,1.5,0.251,8.47
4.0,1.0,1.5,3.0,0.4,14400,0.2,58,86.2,13.96,0.23,1.44,0.241,9.3
4.0,1.0,1.5,3.0,0.6,14400,0.2,58,86.2,13.96,0.23,1.44,0.241,9.3
4.0,1.0,1.5,3.0,0.8,14400,0.2,58,86.2,13.96,0.23,1.44,0.241,9.3
4.0,1.0,1.5,4.5,0.4,14400,0.2,58,86.2,13.96,0.23,1.44,0.241,9.3
4.0,1.0,1.5,4.5,0.6,14400,0.2,58,86.2,13.96,0.23,1.44,0.241,9.3
4.0,1.0,1.5,4.5,0.8,14400,0.2,58,86.2,13.96,0.23,1.44,0.241,9.3
4.0,1.5,2.5,3.0,0.8,14400,0.2,50,84.0,12.06,0.26,1.38,0.241,8.73
4.0,1.5,2.5,3.0,0.8,,0.4,50,84.0,12.06,0.26,1.38,0.241,8.73
4.0,1.5,2.5,4.5,0.8,14400,0.2,50,84.0,12.06,0.26,1.38,0.241,8.73
4.0,1.5,2.5,4.5,0.8,,0.4,50,84.0,12.06,0.26,1.38,0.241,8.73
4.0,1.5,2.5,3.0,0.6,2400,0.2,69,79.7,16.53,0.38,1.51,0.24,8.12
4.0,1.5,2.5,4.5,0.6,2400,0.2,69,79.7,16.53,0.38,1.51,0.24,8.12
4.0,1.0,2.5,3.0,0.4,7200,0.2,64,82.8,14.69,0.3,1.46,0.23,8.47
4.0,1.0,2.5,3.0,0.6,7200,0.2,64,82.8,14.69,0.3,1.46,0.23,8.47
4.0,1.0,2.5,3.0,0.8,7200,0.2,64,82.8,14.69,0.3,1.46,0.23,8.47
4.0,1.0,2.5,4.5,0.4,7200,0.2,64,82.8,14.69,0.3,1.46,0.23,8.47
4.0,1.0,2.5,4.5,0.6,7200,0.2,64,82.8,14.69,0.3,1.46,0.23,8.47
4.0,1.0,2.5,4.5,0.8,7200,0.2,64,82.8,14.69,0.3,1.46,0.23,8.47
3.0,1.5,2.5,3.0,0.6,14400,0.4,83,75.9,19.04,0.45,1.42,0.229,7.82
3.0,1.5,2.5,4.5,0.6,14400,0.4,83,75.9,19.04,0.45,1.42,0.229,7.82
4.0,1.0,2.5,3.0,0.4,,0.4,58,86.2,13.0,0.22,1.41,0.224,9.3
4.0,1.0,2.5,3.0,0.6,,0.4,58,86.2,13.0,0.22,1.41,0.224,9.3
4.0,1.0,2.5,3.0,0.8,,0.4,58,86.2,13.0,0.22,1.41,0.224,9.3
4.0,1.0,2.5,4.5,0.4,,0.4,58,86.2,13.0,0.22,1.41,0.224,9.3
4.0,1.0,2.5,4.5,0.6,,0.4,58,86.2,13.0,0.22,1.41,0.224,9.3
4.0,1.0,2.5,4.5,0.8,,0.4,58,86.2,13.0,0.22,1.41,0.224,9.3
3.0,1.5,2.5,3.0,0.8,14400,0.4,83,77.1,17.6,0.41,1.39,0.212,9.36
