stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.8,3600,0.2,53,92.5,21.28,0.17,2.06,0.402,10.0
5.0,1.5,2.5,4.5,0.8,3600,0.2,53,92.5,21.28,0.17,2.06,0.402,10.0
5.0,1.5,2.5,3.0,0.8,14400,0.2,46,91.3,18.3,0.18,1.92,0.398,10.0
5.0,1.5,2.5,3.0,0.8,,0.4,46,91.3,18.3,0.18,1.92,0.398,10.0
5.0,1.5,2.5,4.5,0.8,14400,0.2,46,91.3,18.3,0.18,1.92,0.398,10.0
5.0,1.5,2.5,4.5,0.8,,0.4,46,91.3,18.3,0.18,1.92,0.398,10.0
5.0,1.5,2.5,3.0,0.8,7200,0.2,47,89.4,17.65,0.22,1.88,0.376,10.0
5.0,1.5,2.5,4.5,0.8,7200,0.2,47,89.4,17.65,0.22,1.88,0.376,10.0
5.0,1.5,2.5,3.0,0.6,14400,0.2,45,91.1,16.63,0.18,1.83,0.37,10.0
5.0,1.5,2.5,3.0,0.6,,0.4,45,91.1,16.63,0.18,1.83,0.37,10.0
5.0,1.5,2.5,4.5,0.6,14400,0.2,45,91.1,16.63,0.18,1.83,0.37,10.0
5.0,1.5,2.5,4.5,0.6,,0.4,45,91.1,16.63,0.18,1.83,0.37,10.0
5.0,1.5,2.5,3.0,0.6,3600,0.2,53,92.5,19.0,0.16,1.95,0.358,10.0
5.0,1.5,2.5,4.5,0.6,3600,0.2,53,92.5,19.0,0.16,1.95,0.358,10.0
4.0,1.5,2.5,3.0,0.8,3600,0.2,65,89.2,22.45,0.22,1.8,0.345,10.45
4.0,1.5,2.5,4.5,0.8,3600,0.2,65,89.2,22.45,0.22,1.8,0.345,10.45
5.0,1.5,2.5,3.0,0.6,7200,0.2,48,87.5,16.25,0.26,1.81,0.339,10.0
5.0,1.5,2.5,4.5,0.6,7200,0.2,48,87.5,16.25,0.26,1.81,0.339,10.0
4.0,1.5,2.5,3.0,0.8,14400,0.2,58,87.9,19.47,0.23,1.7,0.336,10.45
4.0,1.5,2.5,3.0,0.8,,0.4,58,87.9,19.47,0.23,1.7,0.336,10.45
4.0,1.5,2.5,4.5,0.8,14400,0.2,58,87.9,19.47,0.23,1.7,0.336,10.45
4.0,1.5,2.5,4.5,0.8,,0.4,58,87.9,19.47,0.23,1.7,0.336,10.45
5.0,1.5,2.5,3.0,0.4,14400,0.2,46,89.1,15.4,0.2,1.62,0.335,10.0
5.0,1.5,2.5,3.0,0.4,,0.4,46,89.1,15.4,0.2,1.62,0.335,10.0
5.0,1.5,2.5,4.5,0.4,14400,0.2,46,89.1,15.4,0.2,1.62,0.335,10.0
5.0,1.5,2.5,4.5,0.4,,0.4,46,89.1,15.4,0.2,1.62,0.335,10.0
4.0,1.5,2.5,3.0,0.4,14400,0.2,59,86.4,19.41,0.25,1.61,0.329,10.05
4.0,1.5,2.5,3.0,0.4,,0.4,59,86.4,19.41,0.25,1.61,0.329,10.05
4.0,1.5,2.5,4.5,0.4,14400,0.2,59,86.4,19.41,0.25,1.61,0.329,10.05
4.0,1.5,2.5,4.5,0.4,,0.4,59,86.4,19.41,0.25,1.61,0.329,10.05
5.0,1.5,2.5,3.0,0.4,3600,0.2,56,91.1,18.22,0.17,1.73,0.325,10.0
5.0,1.5,2.5,4.5,0.4,3600,0.2,56,91.1,18.22,0.17,1.73,0.325,10.0
4.0,1.5,2.5,3.0,0.6,14400,0.2,57,87.7,18.4,0.23,1.66,0.323,10.25
4.0,1.5,2.5,3.0,0.6,,0.4,57,87.7,18.4,0.23,1.66,0.323,10.25
4.0,1.5,2.5,4.5,0.6,14400,0.2,57,87.7,18.4,0.23,1.66,0.323,10.25
4.0,1.5,2.5,4.5,0.6,,0.4,57,87.7,18.4,0.23,1.66,0.323,10.25
4.0,1.5,2.5,3.0,0.4,3600,0.2,69,88.4,22.23,0.22,1.69,0.322,10.05
4.0,1.5,2.5,4.5,0.4,3600,0.2,69,88.4,22.23,0.22,1.69,0.322,10.05
4.0,1.5,2.5,3.0,0.6,3600,0.2,65,89.2,20.77,0.21,1.74,0.32,10.25
4.0,1.5,2.5,4.5,0.6,3600,0.2,65,89.2,20.77,0.21,1.74,0.32,10.25
4.0,1.5,2.5,3.0,0.8,7200,0.2,59,86.4,18.82,0.26,1.67,0.319,10.45
4.0,1.5,2.5,4.5,0.8,7200,0.2,59,86.4,18.82,0.26,1.67,0.319,10.45
4.0,1.5,2.5,3.0,0.4,7200,0.2,63,84.1,19.57,0.3,1.61,0.311,10.05
4.0,1.5,2.5,4.5,0.4,7200,0.2,63,84.1,19.57,0.3,1.61,0.311,10.05
5.0,1.5,2.5,3.0,0.4,7200,0.2,50,86.0,15.56,0.26,1.62,0.311,10.0
5.0,1.5,2.5,4.5,0.4,7200,0.2,50,86.0,15.56,0.26,1.62,0.311,10.0
4.0,1.5,2.5,3.0,0.6,7200,0.2,60,85.0,18.02,0.29,1.64,0.3,10.25
4.0,1.5,2.5,4.5,0.6,7200,0.2,60,85.0,18.02,0.29,1.64,0.3,10.25
