stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.0,1.5,3.0,0.4,14400,0.4,99,90.9,36.96,0.18,1.82,0.373,14.1
5.0,1.0,1.5,3.0,0.6,14400,0.4,99,90.9,36.96,0.18,1.82,0.373,14.1
5.0,1.0,1.5,3.0,0.8,14400,0.4,99,90.9,36.96,0.18,1.82,0.373,14.1
5.0,1.0,1.5,4.5,0.4,14400,0.4,99,90.9,36.96,0.18,1.82,0.373,14.1
5.0,1.0,1.5,4.5,0.6,14400,0.4,99,90.9,36.96,0.18,1.82,0.373,14.1
5.0,1.0,1.5,4.5,0.8,14400,0.4,99,90.9,36.96,0.18,1.82,0.373,14.1
5.0,1.5,2.5,3.0,0.4,14400,0.4,96,90.6,35.46,0.18,1.79,0.369,13.65
5.0,1.5,2.5,4.5,0.4,14400,0.4,96,90.6,35.46,0.18,1.79,0.369,13.65
5.0,1.5,2.5,3.0,0.6,14400,0.4,100,88.0,35.59,0.24,1.78,0.356,13.65
5.0,1.5,2.5,4.5,0.6,14400,0.4,100,88.0,35.59,0.24,1.78,0.356,13.65
5.0,1.5,2.5,3.0,0.6,7200,0.4,106,88.7,37.42,0.23,1.82,0.353,13.65
5.0,1.5,2.5,4.5,0.6,7200,0.4,106,88.7,37.42,0.23,1.82,0.353,13.65
5.0,1.0,2.5,3.0,0.4,14400,0.4,99,90.9,33.36,0.17,1.74,0.337,14.1
5.0,1.0,2.5,3.0,0.6,14400,0.4,99,90.9,33.36,0.17,1.74,0.337,14.1
5.0,1.0,2.5,3.0,0.8,14400,0.4,99,90.9,33.36,0.17,1.74,0.337,14.1
5.0,1.0,2.5,4.5,0.4,14400,0.4,99,90.9,33.36,0.17,1.74,0.337,14.1
5.0,1.0,2.5,4.5,0.6,14400,0.4,99,90.9,33.36,0.17,1.74,0.337,14.1
5.0,1.0,2.5,4.5,0.8,14400,0.4,99,90.9,33.36,0.17,1.74,0.337,14.1
5.0,1.0,1.5,3.0,0.4,7200,0.4,103,90.3,34.53,0.19,1.77,0.335,14.1
5.0,1.0,1.5,3.0,0.6,7200,0.4,103,90.3,34.53,0.19,1.77,0.335,14.1
5.0,1.0,1.5,3.0,0.8,7200,0.4,103,90.3,34.53,0.19,1.77,0.335,14.1
5.0,1.0,1.5,4.5,0.4,7200,0.4,103,90.3,34.53,0.19,1.77,0.335,14.1
5.0,1.0,1.5,4.5,0.6,7200,0.4,103,90.3,34.53,0.19,1.77,0.335,14.1
