stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.4,1200,0.8,317,66.6,82.13,0.82,1.63,0.259,12.81
5.0,1.5,2.5,4.5,0.4,1200,0.8,317,66.6,81.23,0.81,1.62,0.256,13.26
5.0,1.5,2.5,3.0,0.6,1200,0.8,317,66.6,79.41,0.81,1.61,0.251,13.21
5.0,1.5,2.5,3.0,0.4,3600,0.8,238,77.3,59.34,0.4,1.37,0.249,17.03
5.0,1.5,2.5,4.5,0.6,1200,0.8,317,66.6,78.51,0.8,1.6,0.248,13.66
4.0,1.5,2.5,4.5,0.4,2400,0.4,248,79.0,60.12,0.35,1.33,0.242,20.66
5.0,1.5,2.5,4.5,0.4,3600,0.8,238,77.3,57.54,0.4,1.36,0.242,17.03
4.0,1.5,2.5,4.5,0.4,7200,0.8,244,78.7,58.9,0.36,1.34,0.241,16.85
5.0,1.5,2.5,3.0,0.4,7200,0.8,230,81.3,55.04,0.3,1.32,0.239,17.03
4.0,1.5,2.5,3.0,0.4,2400,0.4,248,79.0,58.77,0.35,1.33,0.237,20.66
4.0,1.5,2.5,4.5,0.4,3600,0.8,252,75.4,59.78,0.45,1.37,0.237,15.14
5.0,1.5,2.5,3.0,0.8,1200,0.8,316,66.5,74.78,0.79,1.57,0.237,13.87
5.0,1.5,2.5,3.0,0.6,3600,0.8,238,77.3,56.09,0.4,1.35,0.236,17.22
4.0,1.5,2.5,3.0,0.4,7200,0.8,244,78.7,57.1,0.36,1.33,0.234,16.85
5.0,1.5,2.5,4.5,0.8,1200,0.8,316,66.5,73.88,0.79,1.57,0.234,13.87
4.0,1.5,2.5,4.5,0.4,3600,0.4,243,80.2,56.05,0.32,1.3,0.231,20.66
5.0,1.5,2.5,3.0,0.4,1200,0.4,246,76.4,56.76,0.41,1.34,0.231,13.98
5.0,1.5,2.5,4.5,0.4,7200,0.8,230,81.3,53.24,0.3,1.31,0.231,17.03
4.0,1.5,2.5,3.0,0.4,3600,0.8,252,75.4,57.98,0.44,1.35,0.23,15.14
5.0,1.5,2.5,3.0,0.4,2400,0.4,234,81.6,53.92,0.29,1.3,0.23,17.03
4.0,1.5,2.5,4.5,0.6,3600,0.8,252,75.4,57.81,0.44,1.35,0.229,15.36
4.0,1.5,2.5,4.5,0.6,7200,0.8,244,78.7,55.84,0.36,1.32,0.229,17.05
5.0,1.5,2.5,3.0,0.4,2400,0.8,254,75.2,58.26,0.45,1.37,0.229,18.23
4.0,1.5,2.5,4.5,0.6,2400,0.4,248,79.0,56.62,0.35,1.31,0.228,20.86
5.0,1.5,2.5,4.5,0.6,3600,0.8,238,77.3,54.29,0.39,1.34,0.228,17.22
4.0,1.5,2.5,3.0,0.4,3600,0.4,243,80.2,54.7,0.32,1.3,0.225,20.66
5.0,1.5,2.5,4.5,0.4,2400,0.8,254,75.2,56.91,0.45,1.36,0.224,18.23
4.0,1.5,2.5,3.0,0.6,2400,0.4,248,79.0,55.27,0.35,1.31,0.223,20.86
5.0,1.5,2.5,4.5,0.4,1200,0.4,246,76.4,54.96,0.41,1.33,0.223,13.98
5.0,1.5,2.5,4.5,0.4,2400,0.4,234,81.6,52.12,0.29,1.29,0.223,17.03
4.0,1.5,2.5,3.0,0.6,3600,0.8,252,75.4,56.01,0.44,1.34,0.222,15.36
4.0,1.5,2.5,3.0,0.6,7200,0.8,244,78.7,54.04,0.35,1.31,0.221,17.05
5.0,1.0,1.5,3.0,0.4,1200,0.8,319,66.5,70.47,0.78,1.54,0.221,13.25
5.0,1.0,1.5,3.0,0.6,1200,0.8,319,66.5,70.47,0.78,1.54,0.221,13.25
5.0,1.0,1.5,3.0,0.8,1200,0.8,319,66.5,70.47,0.78,1.54,0.221,13.25
5.0,1.5,2.5,3.0,0.8,3600,0.8,238,77.3,52.57,0.39,1.33,0.221,18.02
5.0,1.5,2.5,3.0,0.6,7200,0.8,230,81.3,50.11,0.3,1.29,0.218,17.22
4.0,1.5,2.5,4.5,0.6,3600,0.4,243,80.2,52.35,0.32,1.28,0.215,20.86
4.0,1.5,2.5,4.5,0.4,2400,0.2,240,80.4,51.39,0.31,1.27,0.214,20.66
4.0,1.5,2.5,4.5,0.4,3600,0.2,240,80.4,51.39,0.31,1.27,0.214,20.66
4.0,1.5,2.5,4.5,0.4,7200,0.2,240,80.4,51.39,0.31,1.27,0.214,20.66
4.0,1.5,2.5,4.5,0.4,7200,0.4,240,80.4,51.39,0.31,1.27,0.214,20.66
4.0,1.5,2.5,4.5,0.4,14400,0.2,240,80.4,51.39,0.31,1.27,0.214,20.66
4.0,1.5,2.5,4.5,0.4,14400,0.4,240,80.4,51.39,0.31,1.27,0.214,20.66
4.0,1.5,2.5,4.5,0.4,,0.4,240,80.4,51.39,0.31,1.27,0.214,20.66
5.0,1.5,2.5,3.0,0.4,3600,0.4,229,83.0,48.85,0.26,1.26,0.213,17.03
5.0,1.5,2.5,3.0,0.6,2400,0.8,254,75.2,54.2,0.44,1.35,0.213,19.03
5.0,1.5,2.5,4.5,0.8,3600,0.8,238,77.3,50.77,0.39,1.32,0.213,18.02
5.0,1.5,2.5,3.0,0.6,1200,0.4,246,76.4,52.27,0.41,1.31,0.212,14.11
4.0,1.5,2.5,3.0,0.6,3600,0.4,243,80.2,51.0,0.31,1.28,0.21,20.86
4.0,1.5,2.5,4.5,0.4,1200,0.4,262,72.5,55.15,0.5,1.32,0.21,23.06
4.0,1.5,2.5,4.5,0.8,3600,0.8,253,75.5,53.05,0.43,1.32,0.21,17.16
5.0,1.5,2.5,4.5,0.6,7200,0.8,230,81.3,48.31,0.29,1.28,0.21,17.22
5.0,1.5,2.5,3.0,0.8,2400,0.8,254,75.2,52.97,0.44,1.34,0.209,19.83
4.0,1.5,2.5,3.0,0.4,2400,0.2,240,80.4,50.04,0.31,1.27,0.208,20.66
4.0,1.5,2.5,3.0,0.4,3600,0.2,240,80.4,50.04,0.31,1.27,0.208,20.66
4.0,1.5,2.5,3.0,0.4,7200,0.2,240,80.4,50.04,0.31,1.27,0.208,20.66
4.0,1.5,2.5,3.0,0.4,7200,0.4,240,80.4,50.04,0.31,1.27,0.208,20.66
4.0,1.5,2.5,3.0,0.4,14400,0.2,240,80.4,50.04,0.31,1.27,0.208,20.66
4.0,1.5,2.5,3.0,0.4,14400,0.4,240,80.4,50.04,0.31,1.27,0.208,20.66
4.0,1.5,2.5,3.0,0.4,,0.4,240,80.4,50.04,0.31,1.27,0.208,20.66
5.0,1.5,2.5,4.5,0.6,2400,0.8,254,75.2,52.85,0.44,1.34,0.208,19.03
5.0,1.5,2.5,3.0,0.6,2400,0.4,234,81.6,48.35,0.29,1.27,0.207,17.22
4.0,1.5,2.5,4.5,0.4,14400,0.8,241,80.1,49.67,0.31,1.26,0.206,20.66
4.0,1.5,2.5,4.5,0.8,7200,0.8,244,78.7,49.9,0.35,1.29,0.205,17.25
5.0,1.5,2.5,4.5,0.4,3600,0.4,229,83.0,47.05,0.26,1.25,0.205,17.03
5.0,1.5,2.5,4.5,0.6,1200,0.4,246,76.4,50.47,0.4,1.3,0.205,14.11
4.0,1.5,2.5,3.0,0.4,1200,0.4,262,72.5,53.35,0.5,1.31,0.204,23.06
4.0,1.5,2.5,3.0,0.8,3600,0.8,253,75.5,51.25,0.43,1.31,0.203,17.16
4.0,1.5,2.5,4.5,0.6,1200,0.4,262,72.5,53.13,0.5,1.31,0.203,23.06
5.0,1.5,2.5,3.0,0.8,7200,0.8,230,81.3,46.76,0.29,1.27,0.203,18.02
