stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.4,2400,0.2,179,89.4,78.54,0.22,1.83,0.439,15.53
5.0,1.5,2.5,3.0,0.4,3600,0.2,179,89.4,78.54,0.22,1.83,0.439,15.53
5.0,1.5,2.5,3.0,0.4,7200,0.2,179,89.4,78.54,0.22,1.83,0.439,15.53
5.0,1.5,2.5,3.0,0.4,14400,0.2,179,89.4,78.54,0.22,1.83,0.439,15.53
5.0,1.5,2.5,3.0,0.4,14400,0.4,179,89.4,78.54,0.22,1.83,0.439,15.53
5.0,1.5,2.5,3.0,0.4,,0.4,179,89.4,78.54,0.22,1.83,0.439,15.53
5.0,1.5,2.5,4.5,0.4,2400,0.2,179,89.4,78.09,0.22,1.82,0.436,15.53
5.0,1.5,2.5,4.5,0.4,3600,0.2,179,89.4,78.09,0.22,1.82,0.436,15.53
5.0,1.5,2.5,4.5,0.4,7200,0.2,179,89.4,78.09,0.22,1.82,0.436,15.53
5.0,1.5,2.5,4.5,0.4,14400,0.2,179,89.4,78.09,0.22,1.82,0.436,15.53
5.0,1.5,2.5,4.5,0.4,14400,0.4,179,89.4,78.09,0.22,1.82,0.436,15.53
5.0,1.5,2.5,4.5,0.4,,0.4,179,89.4,78.09,0.22,1.82,0.436,15.53
5.0,1.5,2.5,3.0,0.4,7200,0.4,179,88.8,77.83,0.23,1.82,0.435,15.53
5.0,1.5,2.5,4.5,0.4,7200,0.4,179,88.8,77.38,0.23,1.81,0.432,15.53
5.0,1.5,2.5,3.0,0.4,3600,0.4,182,87.9,76.12,0.25,1.79,0.418,15.53
5.0,1.5,2.5,4.5,0.4,3600,0.4,182,87.9,75.67,0.25,1.79,0.416,15.53
5.0,1.5,2.5,3.0,0.4,7200,0.8,200,86.0,80.65,0.3,1.87,0.403,13.47
5.0,1.5,2.5,4.5,0.4,7200,0.8,200,86.0,80.2,0.3,1.87,0.401,13.47
5.0,1.5,2.5,3.0,0.4,14400,0.8,184,86.4,73.39,0.28,1.76,0.399,15.53
5.0,1.5,2.5,3.0,0.4,1200,0.2,185,84.9,73.54,0.32,1.77,0.398,15.53
5.0,1.5,2.5,4.5,0.4,14400,0.8,184,86.4,72.94,0.28,1.75,0.396,15.53
5.0,1.5,2.5,4.5,0.4,1200,0.2,185,84.9,73.09,0.31,1.77,0.395,15.53
5.0,1.5,2.5,3.0,0.6,2400,0.2,179,89.4,67.22,0.2,1.71,0.376,15.93
5.0,1.5,2.5,3.0,0.6,3600,0.2,179,89.4,67.22,0.2,1.71,0.376,15.93
5.0,1.5,2.5,3.0,0.6,7200,0.2,179,89.4,67.22,0.2,1.71,0.376,15.93
5.0,1.5,2.5,3.0,0.6,14400,0.2,179,89.4,67.22,0.2,1.71,0.376,15.93
5.0,1.5,2.5,3.0,0.6,14400,0.4,179,89.4,67.22,0.2,1.71,0.376,15.93
5.0,1.5,2.5,3.0,0.6,,0.4,179,89.4,67.22,0.2,1.71,0.376,15.93
5.0,1.5,2.5,3.0,0.6,7200,0.4,179,88.8,66.71,0.21,1.7,0.373,15.93
5.0,1.5,2.5,4.5,0.6,2400,0.2,179,89.4,66.77,0.2,1.7,0.373,15.93
5.0,1.5,2.5,4.5,0.6,3600,0.2,179,89.4,66.77,0.2,1.7,0.373,15.93
5.0,1.5,2.5,4.5,0.6,7200,0.2,179,89.4,66.77,0.2,1.7,0.373,15.93
5.0,1.5,2.5,4.5,0.6,14400,0.2,179,89.4,66.77,0.2,1.7,0.373,15.93
5.0,1.5,2.5,4.5,0.6,14400,0.4,179,89.4,66.77,0.2,1.7,0.373,15.93
5.0,1.5,2.5,4.5,0.6,,0.4,179,89.4,66.77,0.2,1.7,0.373,15.93
5.0,1.5,2.5,4.5,0.6,7200,0.4,179,88.8,66.26,0.21,1.7,0.37,15.93
5.0,1.5,2.5,3.0,0.6,7200,0.8,200,86.0,73.05,0.29,1.79,0.365,13.05
5.0,1.5,2.5,3.0,0.6,3600,0.4,182,87.9,66.06,0.23,1.69,0.363,15.93
5.0,1.5,2.5,4.5,0.6,7200,0.8,200,86.0,72.6,0.29,1.78,0.363,13.05
5.0,1.5,2.5,4.5,0.6,3600,0.4,182,87.9,65.61,0.23,1.68,0.36,15.93
5.0,1.5,2.5,3.0,0.8,2400,0.2,178,89.3,63.33,0.2,1.67,0.356,16.33
5.0,1.5,2.5,3.0,0.8,3600,0.2,178,89.3,63.33,0.2,1.67,0.356,16.33
5.0,1.5,2.5,3.0,0.8,7200,0.2,178,89.3,63.33,0.2,1.67,0.356,16.33
5.0,1.5,2.5,3.0,0.8,7200,0.8,200,86.5,71.16,0.28,1.77,0.356,13.25
5.0,1.5,2.5,3.0,0.8,14400,0.2,178,89.3,63.33,0.2,1.67,0.356,16.33
5.0,1.5,2.5,3.0,0.8,14400,0.4,178,89.3,63.33,0.2,1.67,0.356,16.33
5.0,1.5,2.5,3.0,0.8,,0.4,178,89.3,63.33,0.2,1.67,0.356,16.33
5.0,1.5,2.5,3.0,0.8,7200,0.4,178,88.8,63.02,0.21,1.66,0.354,16.33
5.0,1.5,2.5,4.5,0.8,7200,0.8,200,86.5,70.71,0.28,1.77,0.354,13.25
5.0,1.5,2.5,4.5,0.8,2400,0.2,178,89.3,62.88,0.2,1.66,0.353,16.33
5.0,1.5,2.5,4.5,0.8,3600,0.2,178,89.3,62.88,0.2,1.66,0.353,16.33
5.0,1.5,2.5,4.5,0.8,7200,0.2,178,89.3,62.88,0.2,1.66,0.353,16.33
5.0,1.5,2.5,4.5,0.8,14400,0.2,178,89.3,62.88,0.2,1.66,0.353,16.33
5.0,1.5,2.5,4.5,0.8,14400,0.4,178,89.3,62.88,0.2,1.66,0.353,16.33
5.0,1.5,2.5,4.5,0.8,,0.4,178,89.3,62.88,0.2,1.66,0.353,16.33
5.0,1.0,1.5,3.0,0.4,7200,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.4,14400,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.4,14400,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.4,,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.6,7200,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.6,14400,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.6,14400,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.6,,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.8,7200,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.8,14400,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.8,14400,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,3.0,0.8,,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.4,7200,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.4,14400,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.4,14400,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.4,,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.6,7200,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.6,14400,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.6,14400,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.6,,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.8,7200,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.8,14400,0.2,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.8,14400,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.0,1.5,4.5,0.8,,0.4,180,89.4,63.4,0.2,1.67,0.352,15.5
5.0,1.5,2.5,4.5,0.8,7200,0.4,178,88.8,62.57,0.21,1.66,0.352,16.33
5.0,1.0,1.5,3.0,0.4,2400,0.2,181,89.0,63.31,0.21,1.67,0.35,15.5
5.0,1.0,1.5,3.0,0.4,3600,0.2,181,89.0,63.4,0.21,1.67,0.35,15.5
5.0,1.0,1.5,3.0,0.6,2400,0.2,181,89.0,63.31,0.21,1.67,0.35,15.5
5.0,1.0,1.5,3.0,0.6,3600,0.2,181,89.0,63.4,0.21,1.67,0.35,15.5
5.0,1.0,1.5,3.0,0.8,2400,0.2,181,89.0,63.31,0.21,1.67,0.35,15.5
5.0,1.0,1.5,3.0,0.8,3600,0.2,181,89.0,63.4,0.21,1.67,0.35,15.5
