stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,4.5,0.4,2400,0.4,179,84.4,56.28,0.27,1.43,0.314,13.94
5.0,1.5,2.5,3.0,0.4,2400,0.4,179,84.4,55.83,0.26,1.43,0.312,13.94
5.0,1.5,2.5,4.5,0.4,7200,0.8,179,84.4,55.69,0.26,1.43,0.311,13.94
5.0,1.5,2.5,4.5,0.4,2400,0.8,192,80.7,59.53,0.35,1.48,0.31,13.94
5.0,1.5,2.5,3.0,0.4,7200,0.8,179,84.4,55.24,0.26,1.42,0.309,13.94
5.0,1.5,2.5,3.0,0.4,2400,0.8,192,80.7,59.08,0.35,1.48,0.308,13.94
5.0,1.5,2.5,3.0,0.4,1200,0.8,214,77.1,64.46,0.47,1.6,0.301,14.03
5.0,1.5,2.5,3.0,0.6,2400,0.4,178,84.3,52.78,0.26,1.4,0.297,14.8
5.0,1.5,2.5,4.5,0.4,1200,0.8,214,77.1,63.56,0.47,1.59,0.297,14.03
5.0,1.5,2.5,4.5,0.6,2400,0.4,178,84.3,52.78,0.26,1.4,0.297,15.25
5.0,1.5,2.5,3.0,0.6,2400,0.8,191,80.6,56.39,0.35,1.46,0.295,14.74
5.0,1.5,2.5,4.5,0.6,2400,0.8,191,80.6,56.39,0.35,1.46,0.295,14.74
5.0,1.5,2.5,3.0,0.6,7200,0.8,178,84.3,52.19,0.26,1.4,0.293,14.8
5.0,1.5,2.5,4.5,0.6,7200,0.8,178,84.3,52.19,0.26,1.4,0.293,15.25
5.0,1.5,2.5,4.5,0.4,3600,0.4,179,84.9,52.18,0.25,1.39,0.292,13.94
5.0,1.5,2.5,3.0,0.6,1200,0.8,213,77.0,61.94,0.47,1.58,0.291,14.43
5.0,1.5,2.5,3.0,0.4,3600,0.4,179,84.9,51.73,0.25,1.38,0.289,13.94
5.0,1.5,2.5,4.5,0.4,2400,0.2,177,84.7,50.77,0.25,1.38,0.287,13.94
