stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
4.0,1.5,2.5,3.0,0.8,3600,0.2,48,95.8,28.51,0.2,4.56,0.594,6.14
4.0,1.5,2.5,4.5,0.8,3600,0.2,48,95.8,28.51,0.2,4.56,0.594,6.14
4.0,1.5,2.5,3.0,0.4,14400,0.2,42,92.9,24.45,0.23,3.04,0.582,6.43
4.0,1.5,2.5,3.0,0.4,,0.4,42,92.9,24.45,0.23,3.04,0.582,6.43
4.0,1.5,2.5,4.5,0.4,14400,0.2,42,92.9,24.45,0.23,3.04,0.582,6.43
4.0,1.5,2.5,4.5,0.4,,0.4,42,92.9,24.45,0.23,3.04,0.582,6.43
4.0,1.5,2.5,3.0,0.4,7200,0.2,43,93.0,24.62,0.23,3.05,0.573,6.43
4.0,1.5,2.5,4.5,0.4,7200,0.2,43,93.0,24.62,0.23,3.05,0.573,6.43
4.0,1.5,2.5,3.0,0.4,3600,0.2,44,93.2,24.78,0.22,3.07,0.563,6.43
4.0,1.5,2.5,4.5,0.4,3600,0.2,44,93.2,24.78,0.22,3.07,0.563,6.43
4.0,1.0,1.5,3.0,0.4,7200,0.2,48,87.5,26.05,0.45,3.12,0.543,6.2
4.0,1.0,1.5,3.0,0.6,7200,0.2,48,87.5,26.05,0.45,3.12,0.543,6.2
4.0,1.0,1.5,3.0,0.8,7200,0.2,48,87.5,26.05,0.45,3.12,0.543,6.2
4.0,1.0,1.5,4.5,0.4,7200,0.2,48,87.5,26.05,0.45,3.12,0.543,6.2
4.0,1.0,1.5,4.5,0.6,7200,0.2,48,87.5,26.05,0.45,3.12,0.543,6.2
4.0,1.0,1.5,4.5,0.8,7200,0.2,48,87.5,26.05,0.45,3.12,0.543,6.2
5.0,1.5,2.5,3.0,0.8,3600,0.2,46,95.7,24.65,0.16,3.47,0.536,8.65
