stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
4.0,1.5,2.5,4.5,0.4,3600,0.8,163,76.7,56.57,0.49,1.6,0.347,9.1
4.0,1.5,2.5,3.0,0.4,3600,0.8,163,76.7,54.77,0.48,1.58,0.336,9.1
4.0,1.5,2.5,4.5,0.6,3600,0.8,162,76.5,52.85,0.48,1.56,0.326,9.38
5.0,1.5,2.5,3.0,0.4,3600,0.8,156,78.2,49.47,0.42,1.51,0.317,11.22
5.0,1.5,2.5,4.5,0.4,3600,0.8,156,78.2,49.47,0.42,1.51,0.317,11.22
4.0,1.5,2.5,3.0,0.6,3600,0.8,162,76.5,51.05,0.47,1.54,0.315,9.38
4.0,1.5,2.5,4.5,0.4,7200,0.8,150,80.7,46.62,0.35,1.46,0.311,9.1
4.0,1.5,2.5,4.5,0.8,3600,0.8,162,76.5,50.05,0.47,1.53,0.309,10.18
4.0,1.5,2.5,3.0,0.4,2400,0.8,171,74.9,52.0,0.52,1.54,0.304,9.1
4.0,1.5,2.5,4.5,0.4,2400,0.8,171,74.9,52.0,0.52,1.54,0.304,9.1
4.0,1.5,2.5,3.0,0.4,7200,0.8,150,80.7,44.82,0.35,1.44,0.299,9.1
4.0,1.5,2.5,3.0,0.8,3600,0.8,162,76.5,48.25,0.46,1.51,0.298,10.18
4.0,1.5,2.5,4.5,0.6,7200,0.8,150,80.7,44.19,0.34,1.43,0.295,9.38
4.0,1.5,2.5,4.5,0.4,2400,0.2,149,81.9,43.67,0.31,1.4,0.293,9.1
4.0,1.5,2.5,4.5,0.4,3600,0.2,149,81.9,43.67,0.31,1.4,0.293,9.1
4.0,1.5,2.5,4.5,0.4,7200,0.2,149,81.9,43.67,0.31,1.4,0.293,9.1
4.0,1.5,2.5,4.5,0.4,7200,0.4,149,81.9,43.67,0.31,1.4,0.293,9.1
4.0,1.5,2.5,4.5,0.4,14400,0.2,149,81.9,43.67,0.31,1.4,0.293,9.1
4.0,1.5,2.5,4.5,0.4,14400,0.4,149,81.9,43.67,0.31,1.4,0.293,9.1
4.0,1.5,2.5,4.5,0.4,,0.4,149,81.9,43.67,0.31,1.4,0.293,9.1
5.0,1.5,2.5,3.0,0.6,3600,0.8,155,78.1,45.43,0.41,1.47,0.293,11.61
5.0,1.5,2.5,4.5,0.6,3600,0.8,155,78.1,45.43,0.41,1.47,0.293,11.61
5.0,1.5,2.5,3.0,0.4,7200,0.8,147,83.0,42.92,0.29,1.4,0.292,11.22
5.0,1.5,2.5,4.5,0.4,7200,0.8,147,83.0,42.92,0.29,1.4,0.292,11.22
5.0,1.5,2.5,4.5,0.4,2400,0.8,164,76.8,47.22,0.45,1.48,0.288,11.28
4.0,1.5,2.5,4.5,0.4,14400,0.8,149,81.9,42.65,0.31,1.39,0.286,9.1
5.0,1.5,2.5,3.0,0.4,2400,0.8,164,76.8,46.77,0.44,1.47,0.285,12.18
4.0,1.5,2.5,3.0,0.6,2400,0.8,170,74.7,48.28,0.51,1.5,0.284,9.38
4.0,1.5,2.5,4.5,0.4,1200,0.2,149,81.2,42.32,0.32,1.39,0.284,9.1
4.0,1.5,2.5,4.5,0.6,2400,0.8,170,74.7,48.28,0.51,1.5,0.284,9.38
4.0,1.5,2.5,3.0,0.6,7200,0.8,150,80.7,42.39,0.34,1.42,0.283,9.38
4.0,1.5,2.5,4.5,0.4,2400,0.4,154,80.5,43.43,0.34,1.4,0.282,9.1
4.0,1.5,2.5,3.0,0.4,2400,0.2,149,81.9,41.87,0.31,1.39,0.281,9.1
4.0,1.5,2.5,3.0,0.4,3600,0.2,149,81.9,41.87,0.31,1.39,0.281,9.1
4.0,1.5,2.5,3.0,0.4,7200,0.2,149,81.9,41.87,0.31,1.39,0.281,9.1
4.0,1.5,2.5,3.0,0.4,7200,0.4,149,81.9,41.87,0.31,1.39,0.281,9.1
4.0,1.5,2.5,3.0,0.4,14400,0.2,149,81.9,41.87,0.31,1.39,0.281,9.1
4.0,1.5,2.5,3.0,0.4,14400,0.4,149,81.9,41.87,0.31,1.39,0.281,9.1
4.0,1.5,2.5,3.0,0.4,,0.4,149,81.9,41.87,0.31,1.39,0.281,9.1
4.0,1.5,2.5,4.5,0.4,1200,0.4,165,73.9,46.03,0.51,1.45,0.279,9.98
4.0,1.5,2.5,4.5,0.4,3600,0.4,150,81.3,41.85,0.32,1.39,0.279,9.1
5.0,1.5,2.5,3.0,0.8,3600,0.8,155,78.1,42.83,0.4,1.44,0.276,11.3
5.0,1.5,2.5,4.5,0.8,3600,0.8,155,78.1,42.83,0.4,1.44,0.276,11.3
4.0,1.5,2.5,3.0,0.4,14400,0.8,149,81.9,40.85,0.31,1.38,0.274,9.1
5.0,1.5,2.5,3.0,0.6,7200,0.8,147,83.0,40.17,0.28,1.38,0.273,11.61
5.0,1.5,2.5,4.5,0.6,7200,0.8,147,83.0,40.17,0.28,1.38,0.273,11.61
4.0,1.5,2.5,3.0,0.4,1200,0.2,149,81.2,40.52,0.32,1.38,0.272,9.1
4.0,1.5,2.5,4.5,0.8,7200,0.8,150,80.7,40.79,0.34,1.4,0.272,10.18
4.0,1.5,2.5,4.5,0.6,2400,0.2,149,81.9,40.36,0.3,1.37,0.271,9.38
4.0,1.5,2.5,4.5,0.6,3600,0.2,149,81.9,40.36,0.3,1.37,0.271,9.38
4.0,1.5,2.5,4.5,0.6,7200,0.2,149,81.9,40.36,0.3,1.37,0.271,9.38
4.0,1.5,2.5,4.5,0.6,7200,0.4,149,81.9,40.36,0.3,1.37,0.271,9.38
4.0,1.5,2.5,4.5,0.6,14400,0.2,149,81.9,40.36,0.3,1.37,0.271,9.38
4.0,1.5,2.5,4.5,0.6,14400,0.4,149,81.9,40.36,0.3,1.37,0.271,9.38
4.0,1.5,2.5,4.5,0.6,,0.4,149,81.9,40.36,0.3,1.37,0.271,9.38
4.0,1.5,2.5,3.0,0.4,2400,0.4,154,80.5,41.63,0.33,1.38,0.27,9.1
5.0,1.5,2.5,3.0,0.4,2400,0.4,148,83.1,39.83,0.28,1.36,0.269,11.22
5.0,1.5,2.5,4.5,0.4,2400,0.4,148,83.1,39.83,0.28,1.36,0.269,11.22
4.0,1.5,2.5,3.0,0.4,1200,0.4,165,73.9,44.23,0.51,1.43,0.268,9.53
4.0,1.5,2.5,3.0,0.8,2400,0.8,170,74.7,45.48,0.5,1.48,0.268,10.18
4.0,1.5,2.5,4.5,0.8,2400,0.8,170,74.7,45.48,0.5,1.48,0.268,10.18
4.0,1.5,2.5,3.0,0.4,3600,0.4,150,81.3,40.05,0.31,1.37,0.267,9.1
5.0,1.5,2.5,4.5,0.4,1200,0.8,201,67.2,53.63,0.8,1.63,0.267,11.86
3.0,1.5,2.5,3.0,0.4,2400,0.2,165,77.6,43.92,0.4,1.4,0.266,15.59
3.0,1.5,2.5,3.0,0.4,3600,0.2,165,77.6,43.92,0.4,1.4,0.266,15.59
