stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.4,14400,0.8,159,82.4,15.45,0.24,1.13,0.097,26.3
5.0,1.5,2.5,4.5,0.4,14400,0.8,159,82.4,15.45,0.24,1.13,0.097,26.3
5.0,1.5,2.5,3.0,0.8,14400,0.8,157,82.2,13.86,0.24,1.12,0.088,26.43
5.0,1.5,2.5,4.5,0.8,14400,0.8,157,82.2,13.41,0.24,1.12,0.085,26.43
2.0,1.5,2.5,3.0,0.4,2400,0.4,286,66.1,21.6,0.58,1.13,0.076,20.61
2.0,1.5,2.5,4.5,0.4,2400,0.4,286,66.1,21.15,0.58,1.13,0.074,20.61
4.0,1.5,2.5,3.0,0.4,7200,0.8,225,75.6,16.09,0.36,1.12,0.072,28.82
4.0,1.5,2.5,4.5,0.4,7200,0.8,225,75.6,16.09,0.36,1.12,0.072,28.82
5.0,1.5,2.5,3.0,0.4,1200,0.4,192,77.1,13.09,0.33,1.12,0.068,24.94
5.0,1.5,2.5,4.5,0.4,1200,0.4,192,77.1,13.09,0.33,1.12,0.068,24.94
5.0,1.5,2.5,3.0,0.6,14400,0.8,158,82.3,10.35,0.23,1.09,0.066,26.7
5.0,1.5,2.5,4.5,0.6,14400,0.8,158,82.3,10.35,0.23,1.09,0.066,26.7
4.0,1.5,2.5,3.0,0.8,1200,0.4,239,74.5,14.95,0.38,1.12,0.063,24.23
4.0,1.5,2.5,4.5,0.8,1200,0.4,239,74.5,14.95,0.38,1.12,0.063,24.23
4.0,1.5,2.5,3.0,0.8,7200,0.8,221,75.6,13.48,0.36,1.1,0.061,28.28
4.0,1.5,2.5,4.5,0.8,7200,0.8,221,75.6,13.48,0.36,1.1,0.061,28.28
4.0,1.5,2.5,3.0,0.4,1200,0.4,235,75.3,14.1,0.36,1.11,0.06,24.25
4.0,1.5,2.5,4.5,0.4,1200,0.4,235,75.3,14.1,0.36,1.11,0.06,24.25
5.0,1.5,2.5,3.0,0.4,7200,0.8,194,76.8,11.39,0.33,1.09,0.059,26.3
5.0,1.5,2.5,4.5,0.4,7200,0.8,194,76.8,11.39,0.33,1.09,0.059,26.3
3.0,1.5,2.5,3.0,0.4,7200,0.8,250,71.2,14.2,0.44,1.1,0.057,27.75
3.0,1.5,2.5,4.5,0.4,7200,0.8,250,71.2,14.2,0.44,1.1,0.057,27.75
4.0,1.5,2.5,3.0,0.6,7200,0.8,225,75.6,12.71,0.35,1.09,0.056,28.26
4.0,1.5,2.5,4.5,0.6,7200,0.8,225,75.6,12.71,0.35,1.09,0.056,28.26
2.0,1.5,2.5,3.0,0.4,1200,0.2,267,65.5,14.22,0.57,1.08,0.053,22.96
2.0,1.5,2.5,3.0,0.8,2400,0.4,288,65.6,15.01,0.57,1.09,0.052,21.78
2.0,1.5,2.5,4.5,0.4,1200,0.2,267,65.5,13.77,0.57,1.08,0.052,22.96
3.0,1.5,2.5,3.0,0.4,3600,0.8,296,64.2,15.32,0.62,1.12,0.052,25.42
3.0,1.5,2.5,4.5,0.4,3600,0.8,296,64.2,15.32,0.62,1.12,0.052,25.42
2.0,1.5,2.5,4.5,0.8,2400,0.4,288,65.6,14.56,0.57,1.09,0.051,21.78
4.0,1.5,2.5,3.0,0.4,2400,0.8,301,69.4,15.27,0.5,1.13,0.051,25.73
