signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
45.0,4.0,1.5,2.5,4.5,0.4,14400,0.2,237,82.3,86.93,0.33,1.52,0.367,21.26,67.97,0.287,1.4
45.0,4.0,1.5,2.5,4.5,0.4,14400,0.4,237,82.3,86.93,0.33,1.52,0.367,21.26,67.97,0.287,1.4
45.0,4.0,1.5,2.5,4.5,0.4,,0.4,236,82.2,86.07,0.33,1.51,0.365,21.26,67.19,0.285,1.39
45.0,4.0,1.5,2.5,4.5,0.4,7200,0.2,237,82.3,85.5,0.32,1.51,0.361,21.26,66.54,0.281,1.39
45.0,4.0,1.5,2.5,4.5,0.4,7200,0.4,237,82.3,85.5,0.32,1.51,0.361,21.26,66.54,0.281,1.39
45.0,4.0,1.5,2.5,3.0,0.4,14400,0.2,237,82.3,84.97,0.32,1.51,0.359,21.43,66.01,0.279,1.39
45.0,4.0,1.5,2.5,3.0,0.4,14400,0.4,237,82.3,84.97,0.32,1.51,0.359,21.43,66.01,0.279,1.39
45.0,4.0,1.5,2.5,3.0,0.4,,0.4,236,82.2,83.7,0.32,1.5,0.355,21.43,64.82,0.275,1.38
45.0,4.0,1.5,2.5,3.0,0.4,7200,0.2,237,82.3,83.51,0.32,1.5,0.352,21.43,64.55,0.272,1.38
45.0,4.0,1.5,2.5,3.0,0.4,7200,0.4,237,82.3,83.51,0.32,1.5,0.352,21.43,64.55,0.272,1.38
45.0,4.0,1.5,2.5,4.5,0.4,3600,0.2,236,82.2,82.29,0.32,1.49,0.349,21.26,63.41,0.269,1.37
45.0,4.0,1.5,2.5,4.5,0.4,3600,0.4,236,82.2,82.29,0.32,1.49,0.349,21.26,63.41,0.269,1.37
45.0,4.0,1.5,2.5,4.5,0.4,14400,0.8,237,81.0,81.26,0.35,1.48,0.343,21.26,62.3,0.263,1.36
45.0,4.0,1.5,2.5,4.5,0.4,2400,0.4,238,81.9,81.38,0.33,1.48,0.342,21.26,62.34,0.262,1.36
45.0,4.0,1.5,2.5,3.0,0.4,3600,0.2,236,82.2,80.55,0.32,1.48,0.341,21.43,61.67,0.261,1.36
45.0,4.0,1.5,2.5,3.0,0.4,3600,0.4,236,82.2,80.55,0.32,1.48,0.341,21.43,61.67,0.261,1.36
