stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.4,14400,0.8,157,80.9,25.53,0.3,1.26,0.163,16.05
5.0,1.5,2.5,4.5,0.4,14400,0.8,157,80.9,25.53,0.3,1.26,0.163,16.05
5.0,1.5,2.5,3.0,0.6,14400,0.8,156,80.8,25.1,0.3,1.26,0.161,16.1
5.0,1.5,2.5,4.5,0.6,14400,0.8,156,80.8,25.1,0.3,1.26,0.161,16.1
5.0,1.5,2.5,3.0,0.8,14400,0.8,156,80.1,22.3,0.3,1.23,0.143,16.5
5.0,1.5,2.5,4.5,0.8,14400,0.8,156,80.1,22.3,0.3,1.23,0.143,16.5
5.0,1.5,2.5,3.0,0.4,7200,0.8,182,74.2,22.02,0.42,1.22,0.121,16.05
5.0,1.5,2.5,3.0,0.6,7200,0.8,181,74.0,21.9,0.43,1.22,0.121,16.1
5.0,1.5,2.5,4.5,0.4,7200,0.8,182,74.2,21.57,0.42,1.21,0.119,16.05
5.0,1.5,2.5,4.5,0.6,7200,0.8,181,74.0,21.45,0.43,1.21,0.119,16.1
4.0,1.5,2.5,3.0,0.4,7200,0.8,210,72.4,24.23,0.46,1.21,0.115,17.56
4.0,1.5,2.5,4.5,0.4,7200,0.8,210,72.4,23.78,0.46,1.21,0.113,17.56
5.0,1.5,2.5,3.0,0.8,7200,0.8,180,74.4,20.25,0.41,1.2,0.112,16.5
5.0,1.5,2.5,4.5,0.8,7200,0.8,180,74.4,19.8,0.41,1.2,0.11,16.5
4.0,1.5,2.5,3.0,0.6,7200,0.8,208,72.1,22.27,0.46,1.19,0.107,17.96
4.0,1.5,2.5,4.5,0.6,7200,0.8,208,72.1,21.82,0.46,1.19,0.105,17.96
4.0,1.5,2.5,3.0,0.8,2400,0.8,316,65.8,32.17,0.68,1.31,0.102,11.48
4.0,1.5,2.5,4.5,0.8,2400,0.8,316,65.8,31.27,0.67,1.3,0.099,11.48
5.0,1.5,2.5,3.0,0.4,2400,0.4,166,79.5,16.1,0.3,1.17,0.097,16.05
5.0,1.5,2.5,4.5,0.4,2400,0.4,166,79.5,16.1,0.3,1.17,0.097,16.05
4.0,1.5,2.5,3.0,0.8,7200,0.8,209,72.2,18.47,0.45,1.16,0.088,18.36
4.0,1.5,2.5,4.5,0.8,7200,0.8,209,72.2,18.02,0.44,1.16,0.086,18.36
4.0,1.5,2.5,3.0,0.6,2400,0.8,313,65.2,26.56,0.67,1.24,0.085,11.04
5.0,1.0,1.5,3.0,0.4,14400,0.8,159,81.8,13.53,0.25,1.14,0.085,16.4
5.0,1.0,1.5,3.0,0.6,14400,0.8,159,81.8,13.53,0.25,1.14,0.085,16.4
5.0,1.0,1.5,3.0,0.8,14400,0.8,159,81.8,13.53,0.25,1.14,0.085,16.4
5.0,1.0,1.5,4.5,0.4,14400,0.8,159,81.8,13.53,0.25,1.14,0.085,16.4
5.0,1.0,1.5,4.5,0.6,14400,0.8,159,81.8,13.53,0.25,1.14,0.085,16.4
5.0,1.0,1.5,4.5,0.8,14400,0.8,159,81.8,13.53,0.25,1.14,0.085,16.4
4.0,1.5,2.5,4.5,0.6,2400,0.8,313,65.2,25.66,0.66,1.24,0.082,11.04
4.0,1.5,2.5,3.0,0.6,3600,0.8,248,67.7,19.74,0.56,1.18,0.08,14.25
5.0,1.5,2.5,3.0,0.6,2400,0.4,165,80.0,13.01,0.28,1.14,0.079,16.1
5.0,1.5,2.5,4.5,0.6,2400,0.4,165,80.0,13.01,0.28,1.14,0.079,16.1
4.0,1.5,2.5,4.5,0.6,3600,0.8,248,67.7,19.29,0.56,1.18,0.078,14.25
5.0,1.5,2.5,3.0,0.8,3600,0.8,240,70.4,18.62,0.49,1.18,0.078,16.38
4.0,1.5,2.5,3.0,0.8,3600,0.8,250,68.0,19.1,0.55,1.18,0.076,14.45
5.0,1.5,2.5,4.5,0.8,3600,0.8,240,70.4,18.17,0.49,1.17,0.076,16.38
3.0,1.5,2.5,3.0,0.4,7200,0.8,258,68.6,19.37,0.52,1.14,0.075,19.19
4.0,1.5,2.5,4.5,0.8,3600,0.8,250,68.0,18.65,0.55,1.17,0.075,14.45
5.0,1.5,2.5,3.0,0.6,3600,0.8,241,70.1,18.11,0.5,1.17,0.075,16.18
3.0,1.5,2.5,4.5,0.4,7200,0.8,258,68.6,18.92,0.52,1.14,0.073,19.19
5.0,1.5,2.5,3.0,0.4,7200,0.2,131,84.0,9.5,0.21,1.09,0.073,16.05
5.0,1.5,2.5,3.0,0.4,14400,0.2,131,84.0,9.5,0.21,1.09,0.073,16.05
5.0,1.5,2.5,3.0,0.4,,0.4,131,84.0,9.5,0.21,1.09,0.073,16.05
5.0,1.5,2.5,4.5,0.4,7200,0.2,131,84.0,9.5,0.21,1.09,0.073,16.05
5.0,1.5,2.5,4.5,0.4,14400,0.2,131,84.0,9.5,0.21,1.09,0.073,16.05
5.0,1.5,2.5,4.5,0.4,,0.4,131,84.0,9.5,0.21,1.09,0.073,16.05
5.0,1.5,2.5,4.5,0.6,3600,0.8,241,70.1,17.66,0.5,1.17,0.073,16.18
3.0,1.5,2.5,3.0,0.6,2400,0.8,380,61.8,27.19,0.75,1.22,0.072,11.04
5.0,1.5,2.5,3.0,0.4,2400,0.2,134,82.8,9.71,0.23,1.09,0.072,16.05
5.0,1.5,2.5,4.5,0.4,2400,0.2,134,82.8,9.71,0.23,1.09,0.072,16.05
4.0,1.5,2.5,3.0,0.4,2400,0.8,316,64.9,22.33,0.65,1.21,0.071,10.84
4.0,1.5,2.5,3.0,0.4,3600,0.8,252,67.9,17.91,0.55,1.17,0.071,14.05
3.0,1.5,2.5,4.5,0.6,2400,0.8,380,61.8,26.74,0.75,1.22,0.07,11.04
5.0,1.5,2.5,3.0,0.8,2400,0.4,165,79.4,11.53,0.29,1.12,0.07,16.5
5.0,1.5,2.5,4.5,0.8,2400,0.4,165,79.4,11.53,0.29,1.12,0.07,16.5
4.0,1.5,2.5,4.5,0.4,3600,0.8,252,67.9,17.46,0.55,1.16,0.069,14.05
5.0,1.5,2.5,3.0,0.8,1200,0.4,225,73.8,15.42,0.41,1.16,0.069,17.29
3.0,1.5,2.5,3.0,0.4,14400,0.8,213,73.2,14.42,0.4,1.11,0.068,17.56
3.0,1.5,2.5,3.0,0.6,7200,0.8,258,68.6,17.58,0.52,1.13,0.068,20.61
3.0,1.5,2.5,4.5,0.4,14400,0.8,213,73.2,14.42,0.4,1.11,0.068,17.56
4.0,1.5,2.5,3.0,0.4,14400,0.8,181,76.8,12.22,0.33,1.1,0.068,17.66
4.0,1.5,2.5,4.5,0.4,2400,0.8,316,64.9,21.43,0.65,1.2,0.068,10.84
4.0,1.5,2.5,4.5,0.4,14400,0.8,181,76.8,12.22,0.33,1.1,0.068,17.66
3.0,1.5,2.5,3.0,0.8,2400,0.8,379,62.0,25.4,0.74,1.21,0.067,11.24
3.0,1.5,2.5,4.5,0.6,7200,0.8,258,68.6,17.13,0.51,1.13,0.066,20.61
3.0,1.5,2.5,4.5,0.8,2400,0.8,379,62.0,24.95,0.74,1.21,0.066,11.24
5.0,1.5,2.5,3.0,0.4,3600,0.4,157,78.3,10.29,0.3,1.1,0.066,16.05
5.0,1.5,2.5,4.5,0.4,3600,0.4,157,78.3,10.29,0.3,1.1,0.066,16.05
5.0,1.0,2.5,3.0,0.4,14400,0.8,159,81.8,10.38,0.25,1.11,0.065,16.4
5.0,1.0,2.5,3.0,0.6,14400,0.8,159,81.8,10.38,0.25,1.11,0.065,16.4
5.0,1.0,2.5,3.0,0.8,14400,0.8,159,81.8,10.38,0.25,1.11,0.065,16.4
5.0,1.0,2.5,4.5,0.4,14400,0.8,159,81.8,10.38,0.25,1.11,0.065,16.4
5.0,1.0,2.5,4.5,0.6,14400,0.8,159,81.8,10.38,0.25,1.11,0.065,16.4
5.0,1.0,2.5,4.5,0.8,14400,0.8,159,81.8,10.38,0.25,1.11,0.065,16.4
5.0,1.5,2.5,3.0,0.4,3600,0.2,133,82.7,8.69,0.23,1.08,0.065,16.05
5.0,1.5,2.5,3.0,0.4,14400,0.4,132,83.3,8.62,0.22,1.08,0.065,16.22
5.0,1.5,2.5,4.5,0.4,3600,0.2,133,82.7,8.69,0.23,1.08,0.065,16.05
5.0,1.5,2.5,4.5,0.4,14400,0.4,132,83.3,8.62,0.22,1.08,0.065,16.22
5.0,1.5,2.5,4.5,0.8,1200,0.4,225,73.8,14.52,0.41,1.15,0.065,17.29
5.0,1.5,2.5,3.0,0.4,1200,0.4,219,73.1,14.02,0.42,1.14,0.064,17.24
5.0,1.5,2.5,3.0,0.4,3600,0.8,244,70.1,15.65,0.49,1.15,0.064,16.33
5.0,1.0,1.5,3.0,0.4,14400,0.4,131,84.0,8.15,0.21,1.09,0.062,16.4
5.0,1.0,1.5,3.0,0.6,14400,0.4,131,84.0,8.15,0.21,1.09,0.062,16.4
5.0,1.0,1.5,3.0,0.8,14400,0.4,131,84.0,8.15,0.21,1.09,0.062,16.4
5.0,1.0,1.5,4.5,0.4,14400,0.4,131,84.0,8.15,0.21,1.09,0.062,16.4
5.0,1.0,1.5,4.5,0.6,14400,0.4,131,84.0,8.15,0.21,1.09,0.062,16.4
5.0,1.0,1.5,4.5,0.8,14400,0.4,131,84.0,8.15,0.21,1.09,0.062,16.4
5.0,1.5,2.5,4.5,0.4,3600,0.8,244,70.1,15.2,0.49,1.14,0.062,16.33
4.0,1.5,2.5,4.5,0.4,2400,0.2,163,79.1,9.93,0.28,1.08,0.061,19.02
4.0,1.5,2.5,4.5,0.4,7200,0.2,159,79.9,9.63,0.27,1.08,0.061,19.02
4.0,1.5,2.5,4.5,0.4,14400,0.2,159,79.9,9.63,0.27,1.08,0.061,19.02
4.0,1.5,2.5,4.5,0.4,,0.4,159,79.9,9.63,0.27,1.08,0.061,19.02
5.0,1.5,2.5,3.0,0.4,7200,0.4,135,82.2,8.26,0.23,1.08,0.061,16.1
5.0,1.5,2.5,4.5,0.4,7200,0.4,135,82.2,8.26,0.23,1.08,0.061,16.1
3.0,1.5,2.5,3.0,0.4,2400,0.8,383,61.9,22.98,0.73,1.19,0.06,10.84
5.0,1.5,2.5,3.0,0.6,2400,0.2,133,82.7,7.96,0.22,1.08,0.06,16.22
5.0,1.5,2.5,4.5,0.4,1200,0.4,219,73.1,13.12,0.42,1.13,0.06,17.24
5.0,1.5,2.5,4.5,0.6,2400,0.2,133,82.7,7.96,0.22,1.08,0.06,16.22
3.0,1.5,2.5,3.0,0.6,14400,0.8,212,73.1,12.44,0.4,1.09,0.059,15.98
3.0,1.5,2.5,4.5,0.4,2400,0.8,383,61.9,22.53,0.73,1.18,0.059,10.84
3.0,1.5,2.5,4.5,0.6,14400,0.8,212,73.1,12.44,0.4,1.09,0.059,15.98
5.0,1.5,2.5,3.0,0.4,1200,0.2,146,79.5,8.64,0.28,1.08,0.059,16.05
5.0,1.5,2.5,3.0,0.6,7200,0.2,129,83.7,7.57,0.21,1.07,0.059,16.22
5.0,1.5,2.5,3.0,0.6,14400,0.2,129,83.7,7.57,0.21,1.07,0.059,16.22
5.0,1.5,2.5,3.0,0.6,,0.4,129,83.7,7.57,0.21,1.07,0.059,16.22
5.0,1.5,2.5,4.5,0.4,1200,0.2,146,79.5,8.64,0.28,1.08,0.059,16.05
5.0,1.5,2.5,4.5,0.6,7200,0.2,129,83.7,7.57,0.21,1.07,0.059,16.22
5.0,1.5,2.5,4.5,0.6,14400,0.2,129,83.7,7.57,0.21,1.07,0.059,16.22
5.0,1.5,2.5,4.5,0.6,,0.4,129,83.7,7.57,0.21,1.07,0.059,16.22
3.0,1.5,2.5,3.0,0.8,7200,0.8,258,69.0,14.93,0.5,1.11,0.058,19.28
4.0,1.5,2.5,3.0,0.6,14400,0.8,179,76.5,10.31,0.33,1.08,0.058,18.26
4.0,1.5,2.5,4.5,0.6,14400,0.8,179,76.5,10.31,0.33,1.08,0.058,18.26
5.0,1.0,1.5,3.0,0.4,2400,0.2,131,84.7,7.45,0.19,1.08,0.057,16.5
5.0,1.0,1.5,3.0,0.6,2400,0.2,131,84.7,7.45,0.19,1.08,0.057,16.5
5.0,1.0,1.5,3.0,0.8,2400,0.2,131,84.7,7.45,0.19,1.08,0.057,16.5
5.0,1.0,1.5,4.5,0.4,2400,0.2,131,84.7,7.45,0.19,1.08,0.057,16.5
5.0,1.0,1.5,4.5,0.6,2400,0.2,131,84.7,7.45,0.19,1.08,0.057,16.5
5.0,1.0,1.5,4.5,0.8,2400,0.2,131,84.7,7.45,0.19,1.08,0.057,16.5
