signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
55.0,5.0,1.5,2.5,3.0,0.6,,0.4,36,94.4,27.47,0.22,3.75,0.763,5.0,24.59,0.683,3.42
55.0,5.0,1.5,2.5,4.5,0.6,,0.4,36,94.4,27.24,0.22,3.72,0.757,5.0,24.36,0.677,3.4
55.0,5.0,1.0,2.5,3.0,0.6,,0.4,36,94.4,26.45,0.21,3.65,0.735,5.0,23.57,0.655,3.32
55.0,5.0,1.0,2.5,4.5,0.6,,0.4,36,94.4,26.22,0.21,3.62,0.728,5.0,23.34,0.648,3.3
55.0,5.0,1.5,2.5,4.5,0.8,,0.4,34,94.1,24.61,0.22,3.46,0.724,5.0,21.89,0.644,3.15
55.0,5.0,1.0,1.5,3.0,0.6,,0.4,36,94.4,25.93,0.21,3.59,0.72,5.0,23.05,0.64,3.27
55.0,5.0,1.0,1.5,4.5,0.6,,0.4,36,94.4,25.71,0.21,3.57,0.714,5.0,22.82,0.634,3.25
55.0,5.0,1.5,2.5,3.0,0.8,,0.4,34,94.1,24.14,0.21,3.41,0.71,5.0,21.42,0.63,3.11
55.0,5.0,1.0,2.5,4.5,0.8,,0.4,34,94.1,24.04,0.21,3.4,0.707,5.0,21.32,0.627,3.1
50.0,5.0,1.5,2.5,3.0,0.4,,0.4,42,92.9,29.32,0.23,2.95,0.698,5.0,25.96,0.618,2.7
55.0,5.0,1.0,1.5,4.5,0.8,,0.4,34,94.1,23.74,0.21,3.37,0.698,5.0,21.02,0.618,3.07
50.0,5.0,1.5,2.5,4.5,0.4,,0.4,42,92.9,29.24,0.23,2.95,0.696,5.0,25.88,0.616,2.7
55.0,5.0,1.0,2.5,3.0,0.8,,0.4,34,94.1,23.57,0.21,3.36,0.693,5.0,20.85,0.613,3.05
55.0,5.0,0.7,2.5,3.0,0.6,,0.4,36,94.4,24.65,0.25,4.19,0.685,5.0,21.77,0.605,3.76
55.0,5.0,1.0,1.5,3.0,0.8,,0.4,34,94.1,23.26,0.21,3.33,0.684,5.0,20.54,0.604,3.02
55.0,5.0,0.7,2.5,4.5,0.6,,0.4,36,94.4,24.42,0.24,4.16,0.678,5.0,21.54,0.598,3.73
