signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
55.0,5.0,1.5,2.5,4.5,0.4,,0.4,39,97.4,39.45,0.23,8.89,1.012,5.0,36.33,0.931,8.15
55.0,5.0,1.5,2.5,3.0,0.4,,0.4,39,97.4,38.84,0.23,8.77,0.996,5.0,35.72,0.916,8.03
55.0,5.0,1.0,2.5,4.5,0.4,,0.4,39,97.4,38.38,0.23,8.68,0.984,5.0,35.26,0.904,7.94
55.0,5.0,1.0,2.5,3.0,0.4,,0.4,39,97.4,37.77,0.23,8.55,0.968,5.0,34.65,0.888,7.82
55.0,5.0,1.0,1.5,4.5,0.4,,0.4,39,97.4,36.76,0.22,8.35,0.943,5.0,33.65,0.863,7.62
55.0,4.0,1.5,2.5,4.5,0.4,,0.4,42,95.2,38.94,0.29,5.87,0.927,4.0,35.58,0.847,5.36
55.0,5.0,1.0,1.5,3.0,0.4,,0.4,39,97.4,36.15,0.22,8.23,0.927,5.0,33.03,0.847,7.5
55.0,5.0,0.7,2.5,4.5,0.4,,0.4,39,97.4,36.1,0.38,14.27,0.926,2.72,32.98,0.846,12.78
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.2,39,97.4,35.8,0.21,8.16,0.918,5.0,32.68,0.838,7.43
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.2,39,97.4,35.8,0.21,8.16,0.918,5.0,32.68,0.838,7.43
55.0,4.0,1.5,2.5,3.0,0.4,,0.4,42,95.2,38.33,0.29,5.79,0.913,4.0,34.97,0.833,5.29
55.0,5.0,0.7,2.5,3.0,0.4,,0.4,39,97.4,35.49,0.37,14.05,0.91,2.72,32.37,0.83,12.56
55.0,5.0,1.5,2.5,4.5,0.6,,0.4,39,97.4,35.4,0.21,8.08,0.908,5.0,32.28,0.828,7.36
55.0,4.0,1.0,2.5,4.5,0.4,,0.4,42,95.2,37.82,0.29,5.73,0.9,4.0,34.46,0.82,5.22
55.0,5.0,1.0,2.5,4.5,0.6,,0.4,39,97.4,35.06,0.21,8.01,0.899,5.0,31.94,0.819,7.29
55.0,5.0,1.5,2.5,3.0,0.6,,0.4,39,97.4,34.87,0.21,7.97,0.894,5.0,31.75,0.814,7.25
55.0,5.0,1.5,2.5,3.0,0.4,7200,0.2,40,97.5,35.72,0.21,8.14,0.893,5.0,32.52,0.813,7.4
55.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,40,97.5,35.72,0.21,8.14,0.893,5.0,32.52,0.813,7.4
55.0,5.0,1.0,1.5,3.0,0.4,14400,0.2,40,97.5,35.56,0.21,8.11,0.889,5.0,32.36,0.809,7.37
55.0,5.0,1.0,1.5,4.5,0.4,14400,0.2,40,97.5,35.56,0.21,8.11,0.889,5.0,32.36,0.809,7.37
55.0,5.0,1.0,2.5,3.0,0.4,14400,0.2,40,97.5,35.56,0.21,8.11,0.889,5.0,32.36,0.809,7.37
55.0,5.0,1.0,2.5,4.5,0.4,14400,0.2,40,97.5,35.56,0.21,8.11,0.889,5.0,32.36,0.809,7.37
