signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
55.0,5.0,1.5,2.5,4.5,0.4,,0.4,66,87.9,30.25,0.24,1.76,0.458,10.11,24.97,0.378,1.61
55.0,5.0,1.5,2.5,3.0,0.4,,0.4,66,87.9,30.03,0.24,1.75,0.455,10.11,24.75,0.375,1.61
55.0,5.0,1.5,2.5,3.0,0.4,3600,0.2,66,87.9,29.15,0.24,1.73,0.442,10.64,23.87,0.362,1.59
55.0,5.0,1.5,2.5,3.0,0.4,3600,0.4,66,87.9,29.15,0.24,1.73,0.442,10.64,23.87,0.362,1.59
55.0,5.0,1.5,2.5,4.5,0.4,2400,0.2,66,87.9,29.19,0.24,1.73,0.442,10.64,23.91,0.362,1.59
55.0,5.0,1.5,2.5,4.5,0.4,3600,0.2,66,87.9,29.19,0.24,1.73,0.442,10.64,23.91,0.362,1.59
55.0,5.0,1.5,2.5,4.5,0.4,3600,0.4,66,87.9,29.19,0.24,1.73,0.442,10.64,23.91,0.362,1.59
55.0,5.0,1.5,2.5,3.0,0.4,2400,0.2,66,87.9,29.08,0.24,1.73,0.441,10.64,23.8,0.361,1.59
55.0,5.0,1.5,2.5,3.0,0.4,7200,0.2,66,87.9,29.09,0.24,1.73,0.441,10.64,23.81,0.361,1.59
55.0,5.0,1.5,2.5,3.0,0.4,7200,0.4,66,87.9,29.09,0.24,1.73,0.441,10.64,23.81,0.361,1.59
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.2,66,87.9,29.09,0.24,1.73,0.441,10.64,23.81,0.361,1.59
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.4,66,87.9,29.09,0.24,1.73,0.441,10.64,23.81,0.361,1.59
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.8,66,87.9,29.09,0.24,1.73,0.441,10.64,23.81,0.361,1.59
55.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,66,87.9,29.13,0.24,1.73,0.441,10.64,23.85,0.361,1.59
55.0,5.0,1.5,2.5,4.5,0.4,7200,0.4,66,87.9,29.13,0.24,1.73,0.441,10.64,23.85,0.361,1.59
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.2,66,87.9,29.13,0.24,1.73,0.441,10.64,23.85,0.361,1.59
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.4,66,87.9,29.13,0.24,1.73,0.441,10.64,23.85,0.361,1.59
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.8,66,87.9,29.13,0.24,1.73,0.441,10.64,23.85,0.361,1.59
55.0,5.0,1.5,2.5,3.0,0.8,,0.4,66,87.9,28.9,0.24,1.72,0.438,11.26,23.62,0.358,1.58
55.0,5.0,1.5,2.5,4.5,0.8,2400,0.4,68,86.8,29.71,0.27,1.74,0.437,11.57,24.27,0.357,1.59
55.0,5.0,1.5,2.5,3.0,0.8,14400,0.2,66,87.9,28.8,0.24,1.72,0.436,11.44,23.52,0.356,1.58
55.0,5.0,1.5,2.5,3.0,0.8,14400,0.4,66,87.9,28.8,0.24,1.72,0.436,11.44,23.52,0.356,1.58
55.0,5.0,1.5,2.5,3.0,0.8,14400,0.8,66,87.9,28.8,0.24,1.72,0.436,11.44,23.52,0.356,1.58
55.0,5.0,1.5,2.5,4.5,0.4,2400,0.4,69,85.5,30.07,0.3,1.75,0.436,10.77,24.55,0.356,1.6
55.0,5.0,1.5,2.5,4.5,0.8,,0.4,66,87.9,28.8,0.24,1.72,0.436,11.26,23.52,0.356,1.58
55.0,5.0,1.5,2.5,4.5,0.8,14400,0.2,66,87.9,28.69,0.24,1.72,0.435,11.44,23.41,0.355,1.58
55.0,5.0,1.5,2.5,4.5,0.8,14400,0.4,66,87.9,28.69,0.24,1.72,0.435,11.44,23.41,0.355,1.58
55.0,5.0,1.5,2.5,4.5,0.8,14400,0.8,66,87.9,28.69,0.24,1.72,0.435,11.44,23.41,0.355,1.58
55.0,5.0,1.5,2.5,3.0,0.4,2400,0.4,69,85.5,29.95,0.3,1.74,0.434,10.77,24.43,0.354,1.6
55.0,5.0,1.5,2.5,4.5,0.8,2400,0.2,66,87.9,28.64,0.24,1.72,0.434,11.44,23.36,0.354,1.57
55.0,5.0,1.5,2.5,3.0,0.8,2400,0.4,68,86.8,29.4,0.26,1.73,0.432,11.57,23.96,0.352,1.59
40.0,5.0,1.5,2.5,4.5,0.4,3600,0.4,228,86.0,98.32,0.27,1.68,0.431,28.47,80.08,0.351,1.54
55.0,5.0,1.5,2.5,4.5,0.4,1200,0.4,76,81.6,32.78,0.43,1.92,0.431,5.68,26.7,0.351,1.73
55.0,5.0,1.5,2.5,3.0,0.4,1200,0.4,76,81.6,32.66,0.43,1.92,0.43,5.68,26.58,0.35,1.73
55.0,5.0,1.5,2.5,4.5,0.8,3600,0.2,66,87.9,28.39,0.24,1.71,0.43,11.44,23.11,0.35,1.57
55.0,5.0,1.5,2.5,4.5,0.8,3600,0.4,66,87.9,28.39,0.24,1.71,0.43,11.44,23.11,0.35,1.57
45.0,5.0,1.5,2.5,4.5,0.4,,0.4,171,86.5,73.37,0.25,1.64,0.429,26.32,59.69,0.349,1.51
55.0,5.0,1.5,2.5,3.0,0.8,2400,0.2,66,87.9,28.33,0.24,1.71,0.429,11.44,23.05,0.349,1.57
45.0,5.0,1.5,2.5,3.0,0.4,,0.4,172,86.6,73.54,0.25,1.64,0.428,25.45,59.78,0.348,1.51
55.0,5.0,1.5,2.5,3.0,0.8,3600,0.2,66,87.9,28.25,0.24,1.71,0.428,11.44,22.97,0.348,1.57
55.0,5.0,1.5,2.5,3.0,0.8,3600,0.4,66,87.9,28.25,0.24,1.71,0.428,11.44,22.97,0.348,1.57
40.0,5.0,1.5,2.5,3.0,0.4,3600,0.4,228,86.0,97.23,0.27,1.67,0.426,28.47,78.99,0.346,1.53
40.0,5.0,1.5,2.5,4.5,0.4,7200,0.8,229,85.6,97.01,0.28,1.64,0.424,28.31,78.69,0.344,1.51
45.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,172,86.6,72.87,0.25,1.63,0.424,27.25,59.11,0.344,1.51
45.0,5.0,1.5,2.5,4.5,0.4,7200,0.4,172,86.6,72.87,0.25,1.63,0.424,27.25,59.11,0.344,1.51
55.0,5.0,1.5,2.5,4.5,0.4,1200,0.2,69,85.5,29.24,0.29,1.73,0.424,10.7,23.72,0.344,1.58
45.0,5.0,1.5,2.5,4.5,0.4,7200,0.8,175,84.6,74.08,0.3,1.67,0.423,27.09,60.08,0.343,1.53
