signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
45.0,5.0,1.5,2.5,4.5,0.4,,0.4,80,87.5,30.41,0.23,1.61,0.38,7.96,24.01,0.3,1.47
45.0,5.0,1.5,2.5,4.5,0.6,,0.4,80,87.5,29.9,0.23,1.6,0.374,7.82,23.5,0.294,1.46
50.0,4.0,1.5,2.5,3.0,0.4,,0.4,61,83.6,22.82,0.31,1.57,0.374,12.26,17.94,0.294,1.44
50.0,4.0,1.5,2.5,4.5,0.4,,0.4,61,83.6,22.6,0.31,1.57,0.37,12.26,17.72,0.291,1.43
55.0,5.0,1.5,2.5,3.0,0.4,,0.4,44,86.4,16.34,0.24,1.54,0.371,12.27,12.82,0.291,1.42
55.0,5.0,1.5,2.5,4.5,0.4,,0.4,44,86.4,16.24,0.24,1.54,0.369,12.27,12.72,0.289,1.42
45.0,5.0,1.5,2.5,3.0,0.4,,0.4,78,87.2,28.73,0.23,1.57,0.368,7.96,22.49,0.288,1.44
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.8,42,85.7,15.46,0.27,1.62,0.368,12.17,12.1,0.288,1.47
45.0,5.0,1.5,2.5,3.0,0.6,,0.4,78,87.2,28.65,0.23,1.57,0.367,7.78,22.41,0.287,1.44
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.8,42,85.7,15.41,0.27,1.62,0.367,12.17,12.05,0.287,1.47
55.0,5.0,0.7,2.5,3.0,0.4,,0.4,44,86.4,16.11,0.27,1.7,0.366,10.63,12.59,0.286,1.53
55.0,5.0,0.7,2.5,4.5,0.4,,0.4,44,86.4,16.01,0.27,1.69,0.364,10.63,12.49,0.284,1.53
50.0,4.0,1.5,2.5,3.0,0.6,,0.4,62,83.9,22.3,0.3,1.56,0.36,12.7,17.34,0.28,1.42
50.0,4.0,1.5,2.5,4.5,0.6,,0.4,62,83.9,22.02,0.3,1.55,0.355,12.7,17.06,0.275,1.42
45.0,5.0,1.0,2.5,4.5,0.6,,0.4,80,87.5,27.88,0.22,1.56,0.348,8.02,21.48,0.268,1.42
45.0,5.0,1.0,2.5,4.5,0.4,,0.4,80,87.5,27.49,0.22,1.55,0.344,8.16,21.09,0.264,1.42
55.0,5.0,0.7,1.5,3.0,0.4,,0.4,44,86.4,15.08,0.26,1.65,0.343,10.47,11.56,0.263,1.49
55.0,5.0,0.7,1.5,4.5,0.4,,0.4,44,86.4,14.98,0.26,1.65,0.34,10.47,11.46,0.26,1.48
45.0,5.0,1.0,2.5,3.0,0.6,,0.4,78,87.2,26.38,0.22,1.53,0.338,7.98,20.14,0.258,1.4
55.0,4.0,1.5,2.5,3.0,0.4,,0.4,54,83.3,18.12,0.3,1.5,0.336,12.26,13.8,0.256,1.38
55.0,4.0,1.5,2.5,4.5,0.4,,0.4,54,83.3,18.02,0.3,1.5,0.334,12.26,13.7,0.254,1.37
55.0,5.0,0.7,2.5,3.0,0.6,,0.4,44,86.4,14.63,0.26,1.63,0.332,10.87,11.11,0.253,1.47
45.0,5.0,1.0,2.5,3.0,0.4,,0.4,78,87.2,25.72,0.22,1.51,0.33,8.16,19.48,0.25,1.38
55.0,5.0,0.7,2.5,4.5,0.6,,0.4,44,86.4,14.42,0.26,1.62,0.328,10.87,10.9,0.248,1.46
45.0,5.0,1.0,1.5,4.5,0.4,,0.4,80,87.5,25.99,0.22,1.52,0.325,8.52,19.59,0.245,1.39
50.0,4.0,1.5,2.5,4.5,0.4,14400,0.2,61,83.6,19.82,0.29,1.5,0.325,12.16,14.94,0.245,1.37
50.0,4.0,1.5,2.5,3.0,0.4,14400,0.2,61,83.6,19.77,0.29,1.49,0.324,12.16,14.89,0.244,1.37
45.0,5.0,1.0,1.5,4.5,0.6,,0.4,80,87.5,25.49,0.22,1.51,0.319,8.37,19.09,0.239,1.38
50.0,4.0,1.0,2.5,3.0,0.6,,0.4,62,83.9,19.64,0.29,1.49,0.317,13.02,14.68,0.237,1.36
