signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
55.0,5.0,1.5,2.5,4.5,0.8,,0.4,51,92.2,32.73,0.22,2.64,0.642,9.43,28.65,0.562,2.41
55.0,5.0,1.5,2.5,3.0,0.8,,0.4,52,92.3,32.85,0.22,2.64,0.632,9.43,28.69,0.552,2.41
55.0,5.0,1.5,2.5,3.0,0.4,,0.4,53,92.5,33.29,0.22,2.66,0.628,9.13,29.05,0.548,2.43
55.0,5.0,1.5,2.5,4.5,0.4,,0.4,53,92.5,33.29,0.22,2.66,0.628,9.13,29.05,0.548,2.43
55.0,5.0,1.0,2.5,4.5,0.8,,0.4,51,92.2,31.99,0.22,2.6,0.627,9.26,27.91,0.547,2.37
55.0,5.0,1.5,2.5,3.0,0.4,7200,0.2,53,92.5,33.07,0.22,2.65,0.624,9.13,28.83,0.544,2.42
55.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,53,92.5,33.07,0.22,2.65,0.624,9.13,28.83,0.544,2.42
55.0,5.0,1.0,2.5,3.0,0.8,,0.4,52,92.3,32.4,0.22,2.62,0.623,9.26,28.24,0.543,2.39
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.2,53,92.5,33.03,0.22,2.65,0.623,9.13,28.79,0.543,2.42
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.2,53,92.5,33.03,0.22,2.65,0.623,9.13,28.79,0.543,2.42
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.4,54,90.7,33.05,0.27,2.64,0.612,9.13,28.73,0.532,2.4
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.4,54,90.7,33.05,0.27,2.64,0.612,9.13,28.73,0.532,2.4
55.0,5.0,1.5,2.5,3.0,0.6,,0.4,53,92.5,32.32,0.21,2.62,0.61,9.33,28.08,0.53,2.38
55.0,5.0,1.5,2.5,4.5,0.6,,0.4,53,92.5,32.31,0.21,2.62,0.61,9.33,28.07,0.53,2.38
55.0,5.0,1.5,2.5,3.0,0.4,3600,0.2,54,90.7,32.72,0.27,2.63,0.606,9.13,28.4,0.526,2.39
55.0,5.0,1.5,2.5,3.0,0.8,14400,0.2,52,92.3,31.52,0.21,2.58,0.606,9.43,27.36,0.526,2.35
55.0,5.0,1.5,2.5,4.5,0.4,3600,0.2,54,90.7,32.72,0.27,2.63,0.606,9.13,28.4,0.526,2.39
55.0,5.0,1.5,2.5,4.5,0.8,14400,0.2,52,92.3,31.44,0.21,2.57,0.605,9.43,27.28,0.525,2.34
55.0,5.0,1.0,2.5,3.0,0.4,,0.4,53,92.5,31.93,0.21,2.6,0.602,9.08,27.7,0.523,2.36
55.0,5.0,1.0,2.5,4.5,0.4,,0.4,53,92.5,31.93,0.21,2.6,0.602,9.08,27.7,0.523,2.36
