signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
55.0,5.0,1.5,2.5,4.5,0.4,7200,0.8,95,87.4,53.48,0.3,2.04,0.563,7.4,45.88,0.483,1.88
55.0,5.0,1.5,2.5,4.5,0.6,7200,0.8,95,87.4,53.1,0.29,2.04,0.559,7.4,45.5,0.479,1.87
55.0,5.0,1.5,2.5,4.5,0.4,,0.4,93,88.2,51.82,0.26,1.94,0.557,7.4,44.38,0.477,1.79
55.0,5.0,1.5,2.5,3.0,0.4,7200,0.8,95,87.4,52.48,0.29,2.02,0.552,7.77,44.88,0.472,1.86
55.0,5.0,1.5,2.5,3.0,0.6,7200,0.8,95,87.4,52.49,0.29,2.02,0.553,7.77,44.89,0.472,1.86
55.0,5.0,1.5,2.5,4.5,0.8,7200,0.8,95,87.4,52.19,0.29,2.02,0.549,7.4,44.59,0.469,1.85
55.0,5.0,1.5,2.5,3.0,0.4,,0.4,93,88.2,50.82,0.26,1.92,0.546,7.77,43.38,0.466,1.78
55.0,5.0,1.5,2.5,4.5,0.6,,0.4,93,88.2,50.8,0.26,1.92,0.546,7.4,43.36,0.466,1.78
55.0,5.0,1.5,2.5,4.5,0.8,,0.4,93,88.2,50.7,0.26,1.92,0.545,7.4,43.26,0.465,1.77
55.0,4.0,1.5,2.5,4.5,0.4,,0.4,97,85.6,52.39,0.33,1.94,0.54,9.2,44.63,0.46,1.78
55.0,4.0,1.5,2.5,4.5,0.6,7200,0.8,99,84.8,53.44,0.36,2.0,0.54,8.67,45.52,0.46,1.84
55.0,5.0,1.5,2.5,3.0,0.6,,0.4,93,88.2,50.18,0.26,1.91,0.54,7.77,42.74,0.46,1.76
55.0,5.0,1.5,2.5,3.0,0.8,7200,0.8,95,87.4,51.16,0.29,2.0,0.539,7.77,43.56,0.459,1.83
55.0,4.0,1.5,2.5,4.5,0.6,,0.4,97,85.6,52.21,0.33,1.93,0.538,10.2,44.45,0.458,1.78
55.0,4.0,1.5,2.5,4.5,0.4,7200,0.8,99,84.8,53.21,0.36,2.0,0.537,8.12,45.29,0.457,1.83
55.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,93,88.2,49.93,0.26,1.91,0.537,7.4,42.49,0.457,1.76
55.0,5.0,1.5,2.5,4.5,0.4,7200,0.4,93,88.2,49.93,0.26,1.91,0.537,7.4,42.49,0.457,1.76
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.2,93,88.2,49.99,0.26,1.91,0.538,7.4,42.55,0.457,1.76
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.4,93,88.2,49.99,0.26,1.91,0.538,7.4,42.55,0.457,1.76
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.8,93,88.2,49.99,0.26,1.91,0.538,7.4,42.55,0.457,1.76
