signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
50.0,5.0,1.5,2.5,4.5,0.6,,0.4,70,90.0,35.47,0.22,2.01,0.507,9.69,29.87,0.427,1.84
50.0,5.0,1.0,2.5,4.5,0.6,,0.4,70,90.0,34.38,0.22,1.98,0.491,10.11,28.78,0.411,1.81
55.0,5.0,1.5,2.5,4.5,0.6,,0.4,58,89.7,26.6,0.22,1.89,0.459,10.0,21.96,0.379,1.72
50.0,5.0,1.0,1.5,4.5,0.6,,0.4,70,90.0,31.78,0.21,1.91,0.454,10.35,26.17,0.374,1.74
55.0,5.0,1.5,2.5,3.0,0.6,,0.4,58,89.7,26.21,0.22,1.87,0.452,10.0,21.57,0.372,1.71
50.0,5.0,1.5,2.5,3.0,0.6,,0.4,73,89.0,32.81,0.22,1.82,0.449,9.69,26.96,0.369,1.66
55.0,5.0,1.0,2.5,4.5,0.6,,0.4,58,89.7,25.92,0.22,1.86,0.447,10.0,21.28,0.367,1.7
55.0,5.0,1.0,2.5,3.0,0.6,,0.4,58,89.7,25.53,0.21,1.85,0.44,10.0,20.89,0.36,1.69
50.0,5.0,1.0,2.5,3.0,0.6,,0.4,73,89.0,31.56,0.22,1.79,0.432,10.11,25.72,0.352,1.63
55.0,5.0,1.0,2.5,3.0,0.4,14400,0.2,59,89.8,24.92,0.21,1.83,0.422,10.0,20.2,0.342,1.66
55.0,5.0,1.0,2.5,3.0,0.4,,0.4,58,89.7,24.49,0.21,1.82,0.422,10.0,19.85,0.342,1.65
55.0,5.0,1.0,2.5,4.5,0.4,14400,0.2,59,89.8,24.92,0.21,1.83,0.422,10.0,20.2,0.342,1.66
55.0,5.0,1.0,2.5,4.5,0.4,,0.4,58,89.7,24.45,0.21,1.82,0.422,10.0,19.81,0.342,1.65
55.0,5.0,1.5,2.5,3.0,0.4,,0.4,58,89.7,24.46,0.21,1.82,0.422,10.0,19.82,0.342,1.65
55.0,5.0,1.5,2.5,4.5,0.4,,0.4,58,89.7,24.42,0.21,1.81,0.421,10.0,19.78,0.341,1.65
55.0,5.0,1.0,2.5,3.0,0.4,7200,0.2,59,89.8,24.71,0.21,1.82,0.419,10.0,19.99,0.339,1.66
55.0,5.0,1.0,2.5,4.5,0.4,7200,0.2,59,89.8,24.71,0.21,1.82,0.419,10.0,19.99,0.339,1.66
55.0,5.0,1.0,2.5,3.0,0.6,14400,0.2,59,89.8,24.65,0.21,1.82,0.418,10.0,19.93,0.338,1.65
55.0,5.0,1.0,2.5,4.5,0.6,14400,0.2,59,89.8,24.65,0.21,1.82,0.418,10.0,19.93,0.338,1.65
55.0,5.0,1.0,1.5,4.5,0.6,,0.4,58,89.7,24.21,0.21,1.81,0.417,10.0,19.57,0.337,1.64
50.0,5.0,0.7,2.5,4.5,0.6,,0.4,70,90.0,29.1,0.21,1.89,0.416,11.19,23.5,0.336,1.71
50.0,5.0,1.0,2.5,4.5,0.8,,0.4,68,89.7,28.27,0.21,1.81,0.416,10.69,22.83,0.336,1.64
55.0,5.0,1.0,2.5,3.0,0.4,14400,0.4,60,90.0,24.96,0.2,1.83,0.416,10.0,20.16,0.336,1.66
55.0,5.0,1.0,2.5,4.5,0.4,14400,0.4,60,90.0,24.96,0.2,1.83,0.416,10.0,20.16,0.336,1.66
55.0,5.0,1.0,2.5,3.0,0.6,14400,0.4,60,90.0,24.9,0.2,1.83,0.415,10.0,20.1,0.335,1.66
55.0,5.0,1.0,2.5,4.5,0.6,14400,0.4,60,90.0,24.9,0.2,1.83,0.415,10.0,20.1,0.335,1.66
55.0,5.0,1.0,2.5,3.0,0.4,7200,0.4,61,88.5,25.1,0.24,1.83,0.411,10.0,20.22,0.332,1.66
55.0,5.0,1.0,2.5,4.5,0.4,7200,0.4,61,88.5,25.1,0.24,1.83,0.411,10.0,20.22,0.332,1.66
55.0,5.0,1.0,1.5,3.0,0.6,,0.4,58,89.7,23.82,0.21,1.79,0.411,10.0,19.18,0.331,1.63
55.0,5.0,1.5,2.5,3.0,0.6,14400,0.4,60,90.0,24.66,0.2,1.82,0.411,10.0,19.86,0.331,1.65
55.0,5.0,1.5,2.5,4.5,0.6,14400,0.4,60,90.0,24.66,0.2,1.82,0.411,10.0,19.86,0.331,1.65
55.0,5.0,1.5,2.5,4.5,0.8,,0.4,58,89.7,23.82,0.21,1.79,0.411,10.0,19.18,0.331,1.63
55.0,5.0,1.0,2.5,4.5,0.8,,0.4,58,89.7,23.71,0.21,1.79,0.409,10.0,19.07,0.329,1.63
55.0,5.0,1.0,2.5,3.0,0.4,3600,0.2,60,90.0,24.48,0.2,1.82,0.408,10.0,19.68,0.328,1.64
55.0,5.0,1.0,2.5,4.5,0.4,3600,0.2,60,90.0,24.48,0.2,1.82,0.408,10.0,19.68,0.328,1.64
55.0,5.0,1.0,2.5,4.5,0.8,14400,0.2,59,89.8,24.1,0.2,1.8,0.408,10.0,19.38,0.328,1.64
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.2,59,89.8,24.05,0.2,1.8,0.408,10.0,19.33,0.328,1.63
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.2,59,89.8,24.05,0.2,1.8,0.408,10.0,19.33,0.328,1.63
55.0,5.0,1.0,1.5,3.0,0.4,7200,0.2,59,89.8,24.04,0.2,1.8,0.407,10.0,19.32,0.327,1.63
55.0,5.0,1.0,1.5,4.5,0.4,7200,0.2,59,89.8,24.04,0.2,1.8,0.407,10.0,19.32,0.327,1.63
55.0,5.0,1.0,2.5,3.0,0.8,14400,0.2,59,89.8,24.01,0.2,1.8,0.407,10.0,19.29,0.327,1.63
50.0,5.0,1.5,2.5,4.5,0.8,,0.4,68,89.7,27.6,0.21,1.79,0.406,10.19,22.16,0.326,1.62
55.0,5.0,1.0,2.5,4.5,0.8,14400,0.4,60,90.0,24.35,0.2,1.81,0.406,10.0,19.55,0.326,1.64
55.0,5.0,1.5,2.5,3.0,0.6,14400,0.2,59,89.8,23.93,0.2,1.8,0.406,10.0,19.21,0.326,1.63
55.0,5.0,1.5,2.5,3.0,0.8,,0.4,58,89.7,23.55,0.21,1.78,0.406,10.0,18.91,0.326,1.62
55.0,5.0,1.5,2.5,4.5,0.6,14400,0.2,59,89.8,23.93,0.2,1.8,0.406,10.0,19.21,0.326,1.63
55.0,5.0,1.0,1.5,3.0,0.4,14400,0.2,59,89.8,23.9,0.2,1.8,0.405,10.0,19.18,0.325,1.63
55.0,5.0,1.0,1.5,4.5,0.4,14400,0.2,59,89.8,23.9,0.2,1.8,0.405,10.0,19.18,0.325,1.63
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.4,60,90.0,24.31,0.2,1.81,0.405,10.0,19.51,0.325,1.64
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.4,60,90.0,24.31,0.2,1.81,0.405,10.0,19.51,0.325,1.64
55.0,5.0,1.0,2.5,3.0,0.8,14400,0.4,60,90.0,24.27,0.2,1.81,0.404,10.0,19.47,0.324,1.64
55.0,5.0,1.0,2.5,3.0,0.8,,0.4,58,89.7,23.45,0.21,1.78,0.404,10.0,18.8,0.324,1.62
55.0,5.0,1.0,1.5,3.0,0.4,3600,0.2,60,90.0,24.14,0.2,1.8,0.402,10.0,19.34,0.322,1.63
55.0,5.0,1.0,1.5,3.0,0.6,14400,0.2,59,89.8,23.7,0.2,1.79,0.402,10.0,18.98,0.322,1.62
55.0,5.0,1.0,1.5,4.5,0.4,3600,0.2,60,90.0,24.14,0.2,1.8,0.402,10.0,19.34,0.322,1.63
55.0,5.0,1.0,1.5,4.5,0.6,14400,0.2,59,89.8,23.7,0.2,1.79,0.402,10.0,18.98,0.322,1.62
55.0,5.0,1.0,1.5,4.5,0.8,14400,0.2,59,89.8,23.73,0.2,1.79,0.402,10.0,19.01,0.322,1.62
55.0,5.0,1.0,2.5,3.0,0.6,7200,0.2,59,89.8,23.69,0.2,1.79,0.402,10.0,18.97,0.322,1.62
55.0,5.0,1.0,2.5,4.5,0.6,7200,0.2,59,89.8,23.69,0.2,1.79,0.402,10.0,18.97,0.322,1.62
55.0,5.0,1.0,1.5,3.0,0.8,14400,0.2,59,89.8,23.64,0.2,1.79,0.401,10.0,18.92,0.321,1.62
55.0,5.0,1.5,2.5,3.0,0.4,7200,0.2,59,89.8,23.65,0.2,1.79,0.401,10.0,18.93,0.321,1.62
55.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,59,89.8,23.65,0.2,1.79,0.401,10.0,18.93,0.321,1.62
55.0,5.0,1.0,1.5,3.0,0.4,7200,0.4,61,88.5,24.43,0.23,1.81,0.4,10.0,19.55,0.32,1.64
55.0,5.0,1.0,1.5,4.5,0.4,7200,0.4,61,88.5,24.43,0.23,1.81,0.4,10.0,19.55,0.32,1.64
55.0,5.0,1.0,1.5,4.5,0.8,14400,0.4,60,90.0,23.98,0.2,1.8,0.4,10.0,19.18,0.32,1.63
55.0,5.0,1.0,1.5,3.0,0.4,14400,0.4,60,90.0,23.94,0.2,1.8,0.399,10.0,19.13,0.319,1.63
55.0,5.0,1.0,1.5,3.0,0.6,14400,0.4,60,90.0,23.95,0.2,1.8,0.399,10.0,19.15,0.319,1.63
55.0,5.0,1.0,1.5,4.5,0.4,14400,0.4,60,90.0,23.94,0.2,1.8,0.399,10.0,19.13,0.319,1.63
55.0,5.0,1.0,1.5,4.5,0.6,14400,0.4,60,90.0,23.95,0.2,1.8,0.399,10.0,19.15,0.319,1.63
55.0,5.0,1.0,2.5,3.0,0.6,3600,0.2,60,90.0,23.95,0.2,1.8,0.399,10.0,19.15,0.319,1.63
55.0,5.0,1.0,2.5,4.5,0.6,3600,0.2,60,90.0,23.95,0.2,1.8,0.399,10.0,19.15,0.319,1.63
45.0,5.0,1.5,2.5,3.0,0.6,3600,0.4,103,87.4,41.04,0.26,1.81,0.398,11.97,32.8,0.318,1.63
45.0,5.0,1.5,2.5,4.5,0.6,3600,0.4,103,87.4,41.04,0.26,1.81,0.398,11.97,32.8,0.318,1.63
55.0,5.0,1.0,1.5,3.0,0.8,14400,0.4,60,90.0,23.9,0.2,1.8,0.398,10.0,19.1,0.318,1.63
45.0,5.0,1.5,2.5,3.0,0.4,3600,0.4,103,87.4,40.9,0.26,1.81,0.397,11.59,32.66,0.317,1.63
45.0,5.0,1.5,2.5,4.5,0.4,3600,0.4,103,87.4,40.9,0.26,1.81,0.397,11.59,32.66,0.317,1.63
55.0,5.0,1.0,1.5,3.0,0.4,,0.4,58,89.7,23.01,0.2,1.77,0.397,10.0,18.37,0.317,1.6
55.0,5.0,1.0,1.5,4.5,0.4,,0.4,58,89.7,22.97,0.2,1.77,0.396,10.0,18.33,0.316,1.6
55.0,5.0,1.5,2.5,3.0,0.6,7200,0.4,61,88.5,24.17,0.23,1.8,0.396,10.0,19.3,0.316,1.63
55.0,5.0,1.5,2.5,4.5,0.6,7200,0.4,61,88.5,24.17,0.23,1.8,0.396,10.0,19.3,0.316,1.63
55.0,5.0,1.0,1.5,3.0,0.6,3600,0.2,60,90.0,23.68,0.2,1.79,0.395,10.0,18.88,0.315,1.62
55.0,5.0,1.0,1.5,4.5,0.6,3600,0.2,60,90.0,23.68,0.2,1.79,0.395,10.0,18.88,0.315,1.62
55.0,5.0,1.0,2.5,3.0,0.6,7200,0.4,61,88.5,24.08,0.23,1.8,0.395,10.0,19.2,0.315,1.63
55.0,5.0,1.0,2.5,4.5,0.6,7200,0.4,61,88.5,24.08,0.23,1.8,0.395,10.0,19.2,0.315,1.63
55.0,5.0,1.5,2.5,3.0,0.6,7200,0.2,59,89.8,23.33,0.2,1.78,0.395,10.0,18.61,0.315,1.61
55.0,5.0,1.5,2.5,4.5,0.6,7200,0.2,59,89.8,23.33,0.2,1.78,0.395,10.0,18.61,0.315,1.61
55.0,3.0,1.5,2.5,3.0,0.4,,0.4,72,83.3,28.39,0.36,1.79,0.394,8.78,22.63,0.314,1.61
