stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.4,3600,0.4,119,84.0,33.41,0.3,1.6,0.281,12.67
5.0,1.5,2.5,4.5,0.4,3600,0.4,119,84.0,33.41,0.3,1.6,0.281,12.67
5.0,1.5,2.5,3.0,0.4,14400,0.8,122,85.2,33.39,0.27,1.55,0.274,12.2
5.0,1.5,2.5,4.5,0.4,14400,0.8,122,85.2,33.39,0.27,1.55,0.274,12.2
5.0,1.5,2.5,3.0,0.4,7200,0.4,101,86.1,27.27,0.23,1.45,0.27,13.09
5.0,1.5,2.5,4.5,0.4,7200,0.4,101,86.1,27.27,0.23,1.45,0.27,13.09
5.0,1.5,2.5,3.0,0.6,14400,0.8,122,86.1,32.61,0.25,1.54,0.267,11.42
5.0,1.5,2.5,4.5,0.6,14400,0.8,122,86.1,32.61,0.25,1.54,0.267,11.42
5.0,1.5,2.5,3.0,0.4,14400,0.4,100,87.0,26.13,0.21,1.4,0.261,12.67
5.0,1.5,2.5,4.5,0.4,14400,0.4,100,87.0,26.13,0.21,1.4,0.261,12.67
5.0,1.5,2.5,3.0,0.4,7200,0.2,99,86.9,25.74,0.21,1.4,0.26,12.67
5.0,1.5,2.5,3.0,0.4,14400,0.2,99,86.9,25.74,0.21,1.4,0.26,12.67
5.0,1.5,2.5,3.0,0.4,,0.4,99,86.9,25.74,0.21,1.4,0.26,12.67
5.0,1.5,2.5,4.5,0.4,7200,0.2,99,86.9,25.74,0.21,1.4,0.26,12.67
5.0,1.5,2.5,4.5,0.4,14400,0.2,99,86.9,25.74,0.21,1.4,0.26,12.67
5.0,1.5,2.5,4.5,0.4,,0.4,99,86.9,25.74,0.21,1.4,0.26,12.67
5.0,1.5,2.5,3.0,0.6,3600,0.4,118,83.9,30.13,0.29,1.54,0.255,11.89
5.0,1.5,2.5,4.5,0.6,3600,0.4,118,83.9,30.13,0.29,1.54,0.255,11.89
5.0,1.5,2.5,3.0,0.4,3600,0.2,104,84.6,26.28,0.26,1.4,0.253,12.67
5.0,1.5,2.5,4.5,0.4,3600,0.2,104,84.6,26.28,0.26,1.4,0.253,12.67
5.0,1.5,2.5,3.0,0.8,14400,0.8,122,86.1,30.69,0.24,1.5,0.252,11.62
5.0,1.5,2.5,4.5,0.8,14400,0.8,122,86.1,30.69,0.24,1.5,0.252,11.62
5.0,1.5,2.5,3.0,0.4,2400,0.2,108,83.3,26.77,0.28,1.41,0.248,13.11
5.0,1.5,2.5,3.0,0.6,7200,0.4,100,86.0,24.78,0.23,1.41,0.248,12.41
5.0,1.5,2.5,3.0,0.8,3600,0.4,115,84.3,28.57,0.28,1.51,0.248,12.6
5.0,1.5,2.5,4.5,0.4,2400,0.2,108,83.3,26.77,0.28,1.41,0.248,13.11
5.0,1.5,2.5,4.5,0.6,7200,0.4,100,86.0,24.78,0.23,1.41,0.248,12.41
