signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
50.0,5.0,1.5,2.5,4.5,0.8,,0.4,107,92.5,80.64,0.24,3.02,0.754,10.0,72.08,0.674,2.77
50.0,5.0,1.5,2.5,3.0,0.8,,0.4,107,92.5,79.86,0.24,3.0,0.746,10.0,71.3,0.666,2.75
50.0,5.0,1.5,2.5,4.5,0.8,14400,0.2,108,92.6,80.13,0.24,3.0,0.742,10.0,71.49,0.662,2.76
50.0,5.0,1.5,2.5,4.5,0.8,14400,0.4,108,92.6,80.13,0.24,3.0,0.742,10.0,71.49,0.662,2.76
50.0,5.0,1.5,2.5,4.5,0.4,,0.4,109,92.7,80.68,0.24,3.02,0.74,10.0,71.96,0.66,2.77
50.0,5.0,1.5,2.5,3.0,0.4,,0.4,109,92.7,80.26,0.24,3.01,0.736,10.0,71.54,0.656,2.76
50.0,5.0,1.5,2.5,3.0,0.8,14400,0.2,108,92.6,79.52,0.24,2.99,0.736,10.0,70.88,0.656,2.74
50.0,5.0,1.5,2.5,3.0,0.8,14400,0.4,108,92.6,79.52,0.24,2.99,0.736,10.0,70.88,0.656,2.74
50.0,5.0,1.5,2.5,4.5,0.4,14400,0.2,109,92.7,80.14,0.24,3.0,0.735,10.0,71.42,0.655,2.76
50.0,5.0,1.5,2.5,4.5,0.4,14400,0.4,109,92.7,80.14,0.24,3.0,0.735,10.0,71.42,0.655,2.76
50.0,5.0,1.5,2.5,3.0,0.4,14400,0.2,109,92.7,79.74,0.24,2.99,0.732,10.0,71.02,0.652,2.75
50.0,5.0,1.5,2.5,3.0,0.4,14400,0.4,109,92.7,79.74,0.24,2.99,0.732,10.0,71.02,0.652,2.75
50.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,109,92.7,79.65,0.24,2.99,0.731,10.0,70.92,0.651,2.75
50.0,5.0,1.5,2.5,4.5,0.4,7200,0.4,109,92.7,79.65,0.24,2.99,0.731,10.0,70.92,0.651,2.75
50.0,5.0,1.5,2.5,3.0,0.4,7200,0.2,109,92.7,79.2,0.24,2.98,0.727,10.0,70.48,0.647,2.73
50.0,5.0,1.5,2.5,3.0,0.4,7200,0.4,109,92.7,79.2,0.24,2.98,0.727,10.0,70.48,0.647,2.73
50.0,5.0,1.5,2.5,4.5,0.6,,0.4,109,92.7,78.96,0.24,2.97,0.724,10.0,70.24,0.644,2.73
50.0,5.0,1.5,2.5,4.5,0.8,7200,0.2,108,92.6,78.05,0.24,2.95,0.723,10.0,69.41,0.643,2.71
50.0,5.0,1.5,2.5,4.5,0.8,7200,0.4,108,92.6,78.05,0.24,2.95,0.723,10.0,69.41,0.643,2.71
50.0,5.0,1.5,2.5,3.0,0.6,,0.4,109,92.7,78.32,0.23,2.96,0.719,10.0,69.6,0.639,2.71
50.0,5.0,1.5,2.5,3.0,0.8,7200,0.2,108,92.6,77.68,0.24,2.94,0.719,10.0,69.04,0.639,2.7
