signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
50.0,5.0,1.5,2.5,4.5,0.8,,0.4,59,93.2,43.25,0.23,3.16,0.733,5.0,38.53,0.653,2.9
50.0,5.0,1.5,2.5,3.0,0.8,,0.4,59,93.2,42.32,0.23,3.12,0.717,5.0,37.6,0.637,2.85
50.0,5.0,1.0,2.5,4.5,0.8,,0.4,59,93.2,41.27,0.22,3.06,0.699,5.0,36.55,0.62,2.8
50.0,5.0,1.0,2.5,3.0,0.8,,0.4,59,93.2,40.34,0.22,3.02,0.684,5.0,35.62,0.604,2.75
50.0,5.0,1.5,2.5,4.5,0.6,,0.4,62,91.9,42.39,0.24,2.7,0.684,5.0,37.43,0.604,2.47
50.0,5.0,1.5,2.5,3.0,0.6,,0.4,62,91.9,41.73,0.23,2.67,0.673,5.0,36.77,0.593,2.45
50.0,5.0,1.0,1.5,4.5,0.8,,0.4,59,93.2,39.57,0.22,2.98,0.671,5.0,34.85,0.591,2.72
50.0,5.0,0.7,2.5,4.5,0.8,,0.4,59,93.2,39.23,0.26,3.54,0.665,5.0,34.51,0.585,3.19
50.0,5.0,1.0,1.5,3.0,0.8,,0.4,59,93.2,38.64,0.21,2.93,0.655,5.0,33.92,0.575,2.67
50.0,5.0,0.7,2.5,3.0,0.8,,0.4,59,93.2,38.3,0.25,3.48,0.649,5.0,33.58,0.569,3.13
50.0,5.0,0.7,2.5,4.5,0.6,,0.4,62,91.9,39.91,0.28,3.2,0.644,5.0,34.95,0.564,2.88
50.0,5.0,1.0,2.5,4.5,0.6,,0.4,62,91.9,39.91,0.23,2.6,0.644,5.0,34.95,0.564,2.38
50.0,5.0,0.7,1.5,4.5,0.8,,0.4,59,93.2,37.53,0.25,3.43,0.636,5.0,32.81,0.556,3.08
50.0,5.0,0.7,2.5,3.0,0.6,,0.4,62,91.9,39.25,0.28,3.16,0.633,5.0,34.29,0.553,2.85
50.0,5.0,1.0,2.5,3.0,0.6,,0.4,62,91.9,39.25,0.23,2.57,0.633,5.0,34.29,0.553,2.35
50.0,5.0,0.7,1.5,3.0,0.8,,0.4,59,93.2,36.6,0.25,3.37,0.62,5.0,31.88,0.54,3.02
50.0,5.0,0.7,1.5,4.5,0.6,,0.4,62,91.9,37.73,0.27,3.08,0.609,5.0,32.76,0.528,2.77
50.0,5.0,1.0,1.5,4.5,0.6,,0.4,62,91.9,37.72,0.22,2.51,0.608,5.0,32.76,0.528,2.29
50.0,5.0,0.7,1.5,3.0,0.6,,0.4,62,91.9,37.07,0.27,3.04,0.598,5.0,32.11,0.518,2.73
50.0,5.0,1.0,1.5,3.0,0.6,,0.4,62,91.9,37.07,0.22,2.48,0.598,5.0,32.11,0.518,2.26
50.0,5.0,1.5,2.5,3.0,0.4,3600,0.2,63,90.5,37.24,0.26,2.49,0.591,6.77,32.2,0.511,2.26
50.0,5.0,1.5,2.5,3.0,0.6,3600,0.2,62,90.3,36.65,0.26,2.46,0.591,7.17,31.69,0.511,2.24
50.0,5.0,1.5,2.5,4.5,0.4,3600,0.2,63,90.5,37.24,0.26,2.49,0.591,6.77,32.2,0.511,2.26
50.0,5.0,1.5,2.5,4.5,0.6,3600,0.2,62,90.3,36.65,0.26,2.46,0.591,7.17,31.69,0.511,2.24
50.0,5.0,1.5,2.5,3.0,0.6,2400,0.2,64,89.1,37.08,0.3,2.48,0.579,7.17,31.96,0.499,2.24
50.0,5.0,1.5,2.5,4.5,0.6,2400,0.2,64,89.1,37.08,0.3,2.48,0.579,7.17,31.96,0.499,2.24
50.0,5.0,0.7,2.5,3.0,0.4,,0.4,62,90.3,35.77,0.29,2.71,0.577,5.0,30.81,0.497,2.44
50.0,5.0,0.7,2.5,4.5,0.4,,0.4,62,90.3,35.71,0.29,2.71,0.576,5.0,30.75,0.496,2.44
50.0,5.0,1.5,2.5,3.0,0.4,2400,0.2,65,89.2,37.38,0.3,2.49,0.575,6.77,32.18,0.495,2.25
50.0,5.0,1.5,2.5,3.0,0.4,,0.4,62,90.3,35.62,0.23,2.19,0.575,6.43,30.66,0.495,2.01
50.0,5.0,1.5,2.5,4.5,0.4,2400,0.2,65,89.2,37.38,0.3,2.49,0.575,6.77,32.18,0.495,2.25
50.0,5.0,1.5,2.5,3.0,0.8,3600,0.2,63,90.5,36.19,0.26,2.44,0.574,6.56,31.15,0.494,2.22
50.0,5.0,1.5,2.5,4.5,0.4,,0.4,62,90.3,35.56,0.23,2.19,0.574,6.43,30.6,0.494,2.0
50.0,5.0,1.5,2.5,4.5,0.8,3600,0.2,63,90.5,36.19,0.26,2.44,0.574,6.56,31.15,0.494,2.22
50.0,5.0,1.5,2.5,3.0,0.6,7200,0.4,69,88.4,39.28,0.34,2.56,0.569,7.17,33.76,0.489,2.31
50.0,5.0,1.5,2.5,4.5,0.6,7200,0.4,69,88.4,39.28,0.34,2.56,0.569,7.17,33.76,0.489,2.31
50.0,5.0,1.5,2.5,3.0,0.8,2400,0.2,65,89.2,36.86,0.3,2.47,0.567,6.56,31.66,0.487,2.23
50.0,5.0,1.5,2.5,4.5,0.8,2400,0.2,65,89.2,36.86,0.3,2.47,0.567,6.56,31.66,0.487,2.23
50.0,5.0,1.5,2.5,3.0,0.4,7200,0.4,70,88.6,39.23,0.33,2.56,0.56,6.77,33.63,0.48,2.3
