signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
45.0,5.0,1.5,2.5,4.5,0.6,,0.4,110,90.9,66.48,0.23,2.33,0.604,9.34,57.68,0.524,2.14
45.0,5.0,1.5,2.5,3.0,0.6,,0.4,110,90.9,65.5,0.23,2.31,0.595,9.34,56.7,0.515,2.12
45.0,5.0,1.5,2.5,4.5,0.6,14400,0.2,112,91.1,64.75,0.22,2.29,0.578,9.51,55.79,0.498,2.1
45.0,5.0,1.5,2.5,3.0,0.6,14400,0.2,112,91.1,64.62,0.22,2.29,0.577,9.51,55.66,0.497,2.1
45.0,5.0,1.0,2.5,4.5,0.6,,0.4,110,90.9,62.66,0.23,2.25,0.57,9.31,53.86,0.49,2.06
45.0,5.0,1.5,2.5,4.5,0.6,14400,0.4,114,89.5,64.48,0.27,2.28,0.566,9.51,55.36,0.486,2.08
45.0,5.0,1.5,2.5,3.0,0.6,14400,0.4,114,89.5,64.36,0.27,2.28,0.565,9.51,55.24,0.485,2.08
45.0,5.0,1.0,2.5,3.0,0.6,,0.4,110,90.9,61.68,0.22,2.23,0.561,9.31,52.88,0.481,2.04
45.0,5.0,1.5,2.5,3.0,0.6,7200,0.2,112,91.1,62.51,0.22,2.25,0.558,9.34,53.55,0.478,2.05
45.0,5.0,1.5,2.5,4.5,0.6,7200,0.2,112,91.1,62.41,0.22,2.25,0.557,9.34,53.45,0.477,2.05
50.0,5.0,1.5,2.5,4.5,0.6,14400,0.2,74,90.5,41.11,0.23,2.17,0.556,11.29,35.19,0.476,1.99
50.0,5.0,1.5,2.5,3.0,0.6,14400,0.2,74,90.5,40.89,0.23,2.17,0.553,11.29,34.97,0.473,1.98
45.0,5.0,1.5,2.5,3.0,0.6,3600,0.2,115,90.4,63.46,0.24,2.27,0.552,9.34,54.26,0.472,2.06
45.0,5.0,1.5,2.5,4.5,0.6,3600,0.2,115,90.4,63.46,0.24,2.27,0.552,9.34,54.26,0.472,2.06
50.0,5.0,1.5,2.5,4.5,0.6,14400,0.4,75,89.3,41.13,0.26,2.17,0.548,11.29,35.13,0.468,1.98
45.0,5.0,1.5,2.5,3.0,0.8,,0.4,114,91.2,62.31,0.22,2.25,0.547,9.54,53.19,0.467,2.05
