signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
40.0,5.0,1.5,2.5,4.5,0.4,,0.4,158,92.4,116.75,0.24,2.95,0.739,8.66,104.11,0.659,2.71
40.0,5.0,1.5,2.5,3.0,0.4,,0.4,159,92.5,117.16,0.24,2.95,0.737,8.66,104.44,0.657,2.71
40.0,5.0,1.5,2.5,3.0,0.4,14400,0.2,160,92.5,115.44,0.24,2.92,0.722,8.66,102.64,0.642,2.68
40.0,5.0,1.5,2.5,3.0,0.4,14400,0.4,160,92.5,115.44,0.24,2.92,0.722,8.66,102.64,0.642,2.68
40.0,5.0,1.5,2.5,4.5,0.4,14400,0.2,159,92.5,114.59,0.24,2.91,0.721,8.66,101.87,0.641,2.67
40.0,5.0,1.5,2.5,4.5,0.4,14400,0.4,159,92.5,114.59,0.24,2.91,0.721,8.66,101.87,0.641,2.67
40.0,5.0,1.5,2.5,3.0,0.4,7200,0.2,160,92.5,115.25,0.24,2.92,0.72,8.66,102.45,0.64,2.68
40.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,159,92.5,114.39,0.24,2.91,0.719,8.66,101.67,0.639,2.67
40.0,5.0,1.5,2.5,4.5,0.6,,0.4,154,92.9,110.03,0.23,3.0,0.714,8.78,97.71,0.634,2.75
40.0,5.0,1.5,2.5,3.0,0.4,7200,0.4,163,92.0,116.11,0.25,2.93,0.712,8.66,103.07,0.632,2.68
40.0,5.0,1.5,2.5,4.5,0.4,7200,0.4,162,92.0,115.25,0.25,2.91,0.711,8.66,102.29,0.631,2.67
40.0,5.0,1.5,2.5,3.0,0.6,,0.4,155,92.9,109.72,0.23,3.0,0.708,8.78,97.33,0.628,2.74
40.0,5.0,1.5,2.5,4.5,0.6,7200,0.2,159,92.5,112.19,0.23,2.87,0.706,8.67,99.47,0.626,2.63
40.0,5.0,1.5,2.5,3.0,0.6,7200,0.2,160,92.5,112.47,0.23,2.87,0.703,8.67,99.67,0.623,2.63
40.0,5.0,1.5,2.5,4.5,0.8,7200,0.2,159,92.5,111.63,0.23,2.86,0.702,8.67,98.91,0.622,2.62
40.0,5.0,1.5,2.5,4.5,0.6,7200,0.4,162,92.0,113.62,0.25,2.89,0.701,8.67,100.66,0.621,2.64
40.0,5.0,1.5,2.5,4.5,0.6,14400,0.2,159,92.5,111.36,0.23,2.86,0.7,8.67,98.64,0.62,2.62
40.0,5.0,1.5,2.5,4.5,0.6,14400,0.4,159,92.5,111.36,0.23,2.86,0.7,8.67,98.64,0.62,2.62
40.0,5.0,1.5,2.5,3.0,0.6,7200,0.4,163,92.0,113.9,0.25,2.89,0.699,8.67,100.86,0.619,2.65
40.0,5.0,1.5,2.5,3.0,0.6,14400,0.2,160,92.5,111.7,0.23,2.86,0.698,8.67,98.9,0.618,2.62
40.0,5.0,1.5,2.5,3.0,0.6,14400,0.4,160,92.5,111.7,0.23,2.86,0.698,8.67,98.9,0.618,2.62
40.0,5.0,1.5,2.5,3.0,0.4,14400,0.8,165,89.7,114.47,0.35,3.03,0.694,8.66,101.27,0.614,2.75
40.0,5.0,1.5,2.5,3.0,0.8,7200,0.2,160,92.5,110.98,0.23,2.85,0.694,8.67,98.18,0.614,2.61
40.0,5.0,1.5,2.5,4.5,0.4,14400,0.8,164,89.6,113.61,0.35,3.02,0.693,8.66,100.49,0.613,2.74
40.0,5.0,1.5,2.5,4.5,0.8,7200,0.4,162,92.0,112.27,0.25,2.87,0.693,8.67,99.31,0.613,2.62
40.0,5.0,1.0,2.5,4.5,0.4,,0.4,158,92.4,108.42,0.23,2.81,0.686,8.86,95.78,0.606,2.57
40.0,5.0,1.5,2.5,3.0,0.8,7200,0.4,163,92.0,111.62,0.25,2.85,0.685,8.67,98.58,0.605,2.61
40.0,5.0,1.0,2.5,3.0,0.4,,0.4,159,92.5,108.8,0.23,2.81,0.684,8.86,96.08,0.604,2.58
40.0,5.0,1.5,2.5,4.5,0.8,14400,0.2,158,92.4,107.73,0.23,2.8,0.682,8.67,95.09,0.602,2.56
40.0,5.0,1.5,2.5,4.5,0.8,14400,0.4,158,92.4,107.73,0.23,2.8,0.682,8.67,95.09,0.602,2.56
40.0,5.0,1.5,2.5,4.5,0.8,,0.4,153,92.8,103.85,0.22,2.89,0.679,8.9,91.61,0.599,2.64
40.0,5.0,1.5,2.5,3.0,0.8,14400,0.2,159,92.5,107.46,0.23,2.79,0.676,8.67,94.74,0.596,2.55
40.0,5.0,1.5,2.5,3.0,0.8,14400,0.4,159,92.5,107.46,0.23,2.79,0.676,8.67,94.74,0.596,2.55
40.0,5.0,1.5,2.5,3.0,0.4,3600,0.2,158,91.8,106.65,0.24,2.64,0.675,8.66,94.01,0.595,2.42
40.0,5.0,1.5,2.5,4.5,0.4,3600,0.2,158,91.8,106.54,0.24,2.64,0.674,8.66,93.9,0.594,2.42
40.0,5.0,1.5,2.5,4.5,0.6,14400,0.8,160,90.0,107.81,0.33,2.93,0.674,8.67,95.01,0.594,2.66
40.0,5.0,1.0,2.5,4.5,0.6,,0.4,154,92.9,103.64,0.22,2.88,0.673,8.98,91.32,0.593,2.63
40.0,5.0,1.5,2.5,3.0,0.6,14400,0.8,161,90.1,108.18,0.32,2.93,0.672,8.67,95.3,0.592,2.66
40.0,5.0,1.5,2.5,3.0,0.4,2400,0.2,158,91.8,105.95,0.24,2.63,0.671,8.66,93.31,0.591,2.41
40.0,5.0,1.5,2.5,4.5,0.4,2400,0.2,158,91.8,105.9,0.24,2.63,0.67,8.66,93.26,0.59,2.41
40.0,5.0,1.0,2.5,3.0,0.6,,0.4,155,92.9,103.39,0.22,2.88,0.667,8.98,90.99,0.587,2.63
40.0,5.0,1.5,2.5,3.0,0.8,,0.4,154,92.9,102.73,0.22,2.87,0.667,8.9,90.41,0.587,2.62
40.0,5.0,1.5,2.5,3.0,0.6,3600,0.2,156,91.7,103.14,0.24,2.59,0.661,8.67,90.66,0.581,2.37
40.0,5.0,1.0,1.5,4.5,0.6,,0.4,154,92.9,101.54,0.22,2.85,0.659,8.82,89.22,0.579,2.6
40.0,5.0,1.5,2.5,4.5,0.6,3600,0.2,156,91.7,102.86,0.23,2.58,0.659,8.67,90.38,0.579,2.37
40.0,5.0,1.0,1.5,4.5,0.4,,0.4,158,92.4,103.5,0.22,2.73,0.655,8.77,90.86,0.575,2.49
40.0,5.0,1.0,1.5,3.0,0.4,,0.4,159,92.5,103.88,0.22,2.73,0.653,8.77,91.16,0.573,2.5
40.0,5.0,1.0,1.5,3.0,0.6,,0.4,155,92.9,101.28,0.22,2.84,0.653,8.82,88.88,0.573,2.59
40.0,5.0,1.5,2.5,3.0,0.6,2400,0.2,156,91.7,101.53,0.23,2.56,0.651,8.67,89.05,0.571,2.35
40.0,5.0,1.0,2.5,3.0,0.4,14400,0.2,161,92.5,104.65,0.22,2.74,0.65,8.95,91.77,0.57,2.51
40.0,5.0,1.0,2.5,3.0,0.4,14400,0.4,161,92.5,104.65,0.22,2.74,0.65,8.95,91.77,0.57,2.51
40.0,5.0,1.0,2.5,4.5,0.4,14400,0.2,160,92.5,103.83,0.22,2.73,0.649,8.95,91.03,0.569,2.49
40.0,5.0,1.0,2.5,4.5,0.4,14400,0.4,160,92.5,103.83,0.22,2.73,0.649,8.95,91.03,0.569,2.49
40.0,5.0,1.5,2.5,4.5,0.6,2400,0.2,156,91.7,101.28,0.23,2.56,0.649,8.67,88.8,0.569,2.34
40.0,5.0,1.5,2.5,3.0,0.8,3600,0.2,156,91.7,100.72,0.23,2.55,0.646,8.67,88.24,0.566,2.34
40.0,5.0,1.5,2.5,4.5,0.8,14400,0.8,159,89.9,102.7,0.32,2.84,0.646,8.67,89.98,0.566,2.57
40.0,5.0,1.0,2.5,4.5,0.8,,0.4,153,92.8,98.6,0.22,2.79,0.644,9.1,86.36,0.564,2.55
40.0,5.0,1.5,2.5,4.5,0.8,3600,0.2,156,91.7,100.23,0.23,2.54,0.643,8.67,87.75,0.563,2.33
40.0,5.0,1.0,1.5,4.5,0.8,,0.4,153,92.8,98.27,0.22,2.79,0.642,8.87,86.03,0.562,2.54
40.0,5.0,1.0,2.5,3.0,0.4,14400,0.8,162,90.1,103.46,0.31,2.85,0.639,8.95,90.5,0.559,2.58
40.0,5.0,1.5,2.5,3.0,0.8,14400,0.8,160,90.0,102.22,0.31,2.83,0.639,8.67,89.42,0.559,2.56
40.0,5.0,1.0,2.5,4.5,0.4,14400,0.8,161,90.1,102.64,0.31,2.83,0.638,8.95,89.76,0.557,2.57
40.0,5.0,1.5,2.5,3.0,0.4,1200,0.2,162,90.1,103.18,0.28,2.58,0.637,8.66,90.22,0.557,2.36
40.0,5.0,1.5,2.5,4.5,0.4,1200,0.2,162,90.1,103.2,0.28,2.58,0.637,8.66,90.24,0.557,2.36
40.0,5.0,1.0,2.5,3.0,0.4,7200,0.2,161,92.5,102.25,0.22,2.7,0.635,8.95,89.37,0.555,2.47
40.0,5.0,1.0,2.5,4.5,0.6,14400,0.2,161,92.5,102.21,0.22,2.7,0.635,8.95,89.33,0.555,2.47
40.0,5.0,1.0,2.5,4.5,0.6,14400,0.4,161,92.5,102.21,0.22,2.7,0.635,8.95,89.33,0.555,2.47
40.0,5.0,1.0,2.5,3.0,0.8,,0.4,154,92.9,97.6,0.21,2.77,0.634,9.1,85.28,0.554,2.53
40.0,5.0,1.0,2.5,4.5,0.4,7200,0.2,160,92.5,101.44,0.22,2.69,0.634,8.95,88.64,0.554,2.45
40.0,5.0,0.7,2.5,4.5,0.4,,0.4,158,92.4,100.02,0.24,2.97,0.633,8.98,87.38,0.553,2.69
40.0,5.0,1.0,2.5,3.0,0.6,14400,0.2,162,92.6,102.61,0.22,2.71,0.633,8.95,89.65,0.553,2.47
40.0,5.0,1.0,2.5,3.0,0.6,14400,0.4,162,92.6,102.61,0.22,2.71,0.633,8.95,89.65,0.553,2.47
40.0,5.0,1.5,2.5,3.0,0.8,2400,0.2,156,91.7,98.68,0.23,2.52,0.633,8.67,86.2,0.553,2.31
40.0,5.0,1.0,1.5,3.0,0.4,14400,0.2,161,92.5,101.72,0.22,2.7,0.632,8.95,88.84,0.552,2.46
40.0,5.0,1.0,1.5,3.0,0.4,14400,0.4,161,92.5,101.72,0.22,2.7,0.632,8.95,88.84,0.552,2.46
40.0,5.0,1.0,1.5,3.0,0.8,,0.4,154,92.9,97.27,0.21,2.77,0.632,8.87,84.95,0.552,2.52
40.0,5.0,0.7,2.5,3.0,0.4,,0.4,159,92.5,100.28,0.24,2.97,0.631,8.98,87.56,0.551,2.69
40.0,5.0,1.0,1.5,4.5,0.4,14400,0.2,160,92.5,100.9,0.22,2.68,0.631,8.95,88.1,0.551,2.45
40.0,5.0,1.0,1.5,4.5,0.4,14400,0.4,160,92.5,100.9,0.22,2.68,0.631,8.95,88.1,0.551,2.45
40.0,5.0,1.5,2.5,4.5,0.8,2400,0.2,156,91.7,98.23,0.23,2.51,0.63,8.67,85.75,0.55,2.3
40.0,5.0,1.0,2.5,3.0,0.4,7200,0.4,164,92.1,103.21,0.23,2.71,0.629,8.95,90.09,0.549,2.47
40.0,5.0,1.0,2.5,4.5,0.4,7200,0.4,163,92.0,102.39,0.23,2.7,0.628,8.95,89.35,0.548,2.46
40.0,5.0,1.0,1.5,4.5,0.6,14400,0.2,161,92.5,100.78,0.22,2.68,0.626,8.95,87.9,0.546,2.44
40.0,5.0,1.0,1.5,4.5,0.6,14400,0.4,161,92.5,100.78,0.22,2.68,0.626,8.95,87.9,0.546,2.44
40.0,5.0,1.5,2.5,3.0,0.6,1200,0.2,160,90.0,100.1,0.28,2.54,0.626,8.67,87.3,0.546,2.31
