stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.5,2.5,3.0,0.4,3600,0.8,176,77.8,31.66,0.37,1.3,0.18,14.62
5.0,1.5,2.5,4.5,0.4,3600,0.8,176,77.8,30.31,0.37,1.29,0.172,14.62
5.0,0.7,1.5,3.0,0.4,1200,0.4,200,83.5,32.05,0.28,1.39,0.16,12.58
5.0,0.7,1.5,3.0,0.6,1200,0.4,200,83.5,32.05,0.28,1.39,0.16,12.58
5.0,0.7,1.5,3.0,0.8,1200,0.4,200,83.5,32.05,0.28,1.39,0.16,12.58
3.0,0.7,1.5,3.0,0.4,1200,0.4,226,80.1,35.68,0.35,1.42,0.158,16.0
3.0,0.7,1.5,3.0,0.6,1200,0.4,226,80.1,35.68,0.35,1.42,0.158,16.0
3.0,0.7,1.5,3.0,0.8,1200,0.4,226,80.1,35.68,0.35,1.42,0.158,16.0
3.0,0.7,1.5,3.0,0.4,2400,0.4,218,83.9,33.64,0.26,1.36,0.154,15.09
3.0,0.7,1.5,3.0,0.6,2400,0.4,218,83.9,33.64,0.26,1.36,0.154,15.09
3.0,0.7,1.5,3.0,0.8,2400,0.4,218,83.9,33.64,0.26,1.36,0.154,15.09
5.0,1.5,2.5,3.0,0.4,1200,0.2,141,83.7,20.97,0.23,1.19,0.149,28.95
5.0,0.7,1.5,4.5,0.4,1200,0.4,200,83.5,29.35,0.27,1.36,0.147,12.58
5.0,0.7,1.5,4.5,0.6,1200,0.4,200,83.5,29.35,0.27,1.36,0.147,12.58
5.0,0.7,1.5,4.5,0.8,1200,0.4,200,83.5,29.35,0.27,1.36,0.147,12.58
3.0,0.7,1.5,4.5,0.4,1200,0.4,226,80.1,32.98,0.34,1.38,0.146,16.0
3.0,0.7,1.5,4.5,0.6,1200,0.4,226,80.1,32.98,0.34,1.38,0.146,16.0
3.0,0.7,1.5,4.5,0.8,1200,0.4,226,80.1,32.98,0.34,1.38,0.146,16.0
5.0,0.7,1.5,3.0,0.4,1200,0.2,180,88.9,26.36,0.16,1.29,0.146,20.59
5.0,0.7,1.5,3.0,0.6,1200,0.2,180,88.9,26.36,0.16,1.29,0.146,20.59
5.0,0.7,1.5,3.0,0.8,1200,0.2,180,88.9,26.36,0.16,1.29,0.146,20.59
2.0,1.5,2.5,3.0,0.4,3600,0.8,222,66.2,32.19,0.66,1.29,0.145,14.22
3.0,0.7,1.5,3.0,0.4,7200,0.8,215,83.7,30.48,0.26,1.32,0.142,15.09
3.0,0.7,1.5,3.0,0.6,7200,0.8,215,83.7,30.48,0.26,1.32,0.142,15.09
3.0,0.7,1.5,3.0,0.8,7200,0.8,215,83.7,30.48,0.26,1.32,0.142,15.09
5.0,0.7,1.5,3.0,0.4,2400,0.4,188,87.8,26.66,0.18,1.29,0.142,19.32
5.0,0.7,1.5,3.0,0.6,2400,0.4,188,87.8,26.66,0.18,1.29,0.142,19.32
5.0,0.7,1.5,3.0,0.8,2400,0.4,188,87.8,26.66,0.18,1.29,0.142,19.32
5.0,1.5,2.5,4.5,0.4,1200,0.2,141,83.7,20.07,0.23,1.18,0.142,28.95
2.0,0.7,1.5,3.0,0.4,2400,0.4,237,78.1,33.3,0.38,1.35,0.141,9.81
2.0,0.7,1.5,3.0,0.6,2400,0.4,237,78.1,33.3,0.38,1.35,0.141,9.81
2.0,0.7,1.5,3.0,0.8,2400,0.4,237,78.1,33.3,0.38,1.35,0.141,9.81
2.0,1.5,2.5,3.0,0.4,7200,0.8,205,68.8,28.63,0.56,1.24,0.14,10.22
2.0,1.5,2.5,4.5,0.4,3600,0.8,222,66.2,30.84,0.65,1.27,0.139,14.22
3.0,1.5,2.5,3.0,0.4,7200,0.8,188,76.6,25.98,0.37,1.21,0.138,12.09
3.0,1.5,2.5,3.0,0.4,3600,0.8,206,72.3,28.13,0.47,1.24,0.137,13.23
5.0,1.5,2.5,3.0,0.4,1200,0.8,221,68.3,30.29,0.63,1.37,0.137,15.64
5.0,1.5,2.5,3.0,0.4,7200,0.8,156,82.7,21.34,0.25,1.18,0.137,20.44
3.0,0.7,1.5,4.5,0.4,2400,0.4,218,83.9,29.59,0.25,1.32,0.136,15.09
3.0,0.7,1.5,4.5,0.6,2400,0.4,218,83.9,29.59,0.25,1.32,0.136,15.09
3.0,0.7,1.5,4.5,0.8,2400,0.4,218,83.9,29.59,0.25,1.32,0.136,15.09
5.0,1.5,2.5,3.0,0.4,2400,0.8,183,75.4,24.92,0.4,1.24,0.136,17.41
2.0,1.5,2.5,4.5,0.4,7200,0.8,205,68.8,27.73,0.56,1.23,0.135,10.22
5.0,1.5,2.5,3.0,0.6,3600,0.8,176,77.8,23.69,0.35,1.23,0.135,15.22
2.0,1.5,2.5,3.0,0.4,1200,0.2,200,68.5,26.61,0.56,1.22,0.133,10.51
3.0,1.5,2.5,3.0,0.4,2400,0.4,187,76.5,24.92,0.37,1.2,0.133,11.7
3.0,1.5,2.5,4.5,0.4,7200,0.8,188,76.6,25.08,0.37,1.21,0.133,12.09
5.0,1.5,2.5,4.5,0.4,1200,0.8,221,68.3,29.39,0.63,1.35,0.133,15.64
2.0,0.7,1.5,3.0,0.4,7200,0.8,234,77.8,30.78,0.38,1.32,0.132,9.81
2.0,0.7,1.5,3.0,0.6,7200,0.8,234,77.8,30.78,0.38,1.32,0.132,9.81
2.0,0.7,1.5,3.0,0.8,7200,0.8,234,77.8,30.78,0.38,1.32,0.132,9.81
2.0,0.7,1.5,3.0,0.4,7200,0.4,230,78.3,30.04,0.36,1.31,0.131,9.81
2.0,0.7,1.5,3.0,0.6,7200,0.4,230,78.3,30.04,0.36,1.31,0.131,9.81
2.0,0.7,1.5,3.0,0.8,7200,0.4,230,78.3,30.04,0.36,1.31,0.131,9.81
5.0,1.5,2.5,4.5,0.4,2400,0.8,183,75.4,24.02,0.4,1.23,0.131,17.41
5.0,1.5,2.5,4.5,0.4,7200,0.8,156,82.7,20.44,0.25,1.18,0.131,20.44
2.0,0.7,1.5,3.0,0.4,2400,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.4,3600,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.4,7200,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.4,14400,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.4,14400,0.4,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.4,,0.4,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.6,2400,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.6,3600,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.6,7200,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.6,14400,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.6,14400,0.4,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.6,,0.4,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.8,2400,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.8,3600,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.8,7200,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.8,14400,0.2,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.8,14400,0.4,228,78.5,29.62,0.36,1.3,0.13,10.09
2.0,0.7,1.5,3.0,0.8,,0.4,228,78.5,29.62,0.36,1.3,0.13,10.09
