signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
55.0,5.0,1.5,2.5,3.0,0.4,2400,0.2,49,89.8,21.06,0.21,1.84,0.43,7.24,17.14,0.35,1.67
55.0,5.0,1.5,2.5,4.5,0.4,2400,0.2,49,89.8,21.06,0.21,1.84,0.43,7.24,17.14,0.35,1.67
55.0,5.0,1.0,2.5,3.0,0.4,14400,0.8,52,84.6,22.24,0.38,2.08,0.428,9.06,18.08,0.348,1.85
55.0,5.0,1.0,2.5,4.5,0.4,14400,0.8,52,84.6,22.24,0.38,2.08,0.428,9.06,18.08,0.348,1.85
55.0,5.0,1.0,1.5,3.0,0.4,14400,0.8,52,84.6,22.21,0.38,2.08,0.427,9.06,18.05,0.347,1.85
55.0,5.0,1.0,1.5,4.5,0.4,14400,0.8,52,84.6,22.21,0.38,2.08,0.427,9.06,18.05,0.347,1.85
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.2,48,89.6,20.47,0.21,1.82,0.426,7.24,16.63,0.346,1.65
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.2,48,89.6,20.47,0.21,1.82,0.426,7.24,16.63,0.346,1.65
55.0,5.0,1.5,2.5,3.0,0.4,3600,0.2,48,89.6,20.35,0.21,1.81,0.424,7.24,16.51,0.344,1.65
55.0,5.0,1.5,2.5,3.0,0.4,,0.4,48,89.6,20.37,0.21,1.81,0.424,7.46,16.53,0.344,1.65
55.0,5.0,1.5,2.5,4.5,0.4,3600,0.2,48,89.6,20.35,0.21,1.81,0.424,7.24,16.51,0.344,1.65
55.0,5.0,1.5,2.5,4.5,0.4,,0.4,48,89.6,20.37,0.21,1.81,0.424,7.46,16.53,0.344,1.65
55.0,5.0,1.0,2.5,3.0,0.4,14400,0.2,48,89.6,20.16,0.21,1.81,0.42,7.97,16.32,0.34,1.64
55.0,5.0,1.0,2.5,4.5,0.4,14400,0.2,48,89.6,20.16,0.21,1.81,0.42,7.97,16.32,0.34,1.64
55.0,5.0,1.0,1.5,3.0,0.4,14400,0.2,48,89.6,20.13,0.21,1.81,0.419,7.97,16.29,0.339,1.64
55.0,5.0,1.0,1.5,4.5,0.4,14400,0.2,48,89.6,20.13,0.21,1.81,0.419,7.97,16.29,0.339,1.64
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.8,52,84.6,21.62,0.37,2.05,0.416,10.09,17.46,0.336,1.82
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.8,52,84.6,21.62,0.37,2.05,0.416,10.09,17.46,0.336,1.82
55.0,5.0,1.5,2.5,3.0,0.4,7200,0.2,48,89.6,19.93,0.21,1.8,0.415,7.24,16.09,0.335,1.63
55.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,48,89.6,19.93,0.21,1.8,0.415,7.24,16.09,0.335,1.63
55.0,5.0,1.0,1.5,3.0,0.4,7200,0.2,48,89.6,19.76,0.21,1.79,0.412,7.97,15.92,0.332,1.63
55.0,5.0,1.0,1.5,4.5,0.4,7200,0.2,48,89.6,19.76,0.21,1.79,0.412,7.97,15.92,0.332,1.63
55.0,5.0,1.0,1.5,3.0,0.4,3600,0.2,48,89.6,19.67,0.21,1.79,0.41,7.97,15.83,0.33,1.62
55.0,5.0,1.0,1.5,4.5,0.4,3600,0.2,48,89.6,19.67,0.21,1.79,0.41,7.97,15.83,0.33,1.62
55.0,5.0,1.0,1.5,3.0,0.8,14400,0.8,52,84.6,21.23,0.37,2.03,0.408,9.06,17.07,0.328,1.81
55.0,5.0,1.0,1.5,4.5,0.8,14400,0.8,52,84.6,21.23,0.37,2.03,0.408,9.06,17.07,0.328,1.81
55.0,5.0,1.0,1.5,3.0,0.4,,0.4,48,89.6,19.48,0.21,1.78,0.406,7.59,15.64,0.326,1.62
55.0,5.0,1.0,1.5,4.5,0.4,,0.4,48,89.6,19.48,0.21,1.78,0.406,7.59,15.64,0.326,1.62
55.0,5.0,1.0,2.5,3.0,0.4,3600,0.2,48,89.6,19.47,0.21,1.78,0.406,7.97,15.63,0.326,1.62
55.0,5.0,1.0,2.5,3.0,0.4,14400,0.4,49,87.8,19.89,0.25,1.79,0.406,8.24,15.97,0.326,1.62
55.0,5.0,1.0,2.5,4.5,0.4,3600,0.2,48,89.6,19.47,0.21,1.78,0.406,7.97,15.63,0.326,1.62
55.0,5.0,1.0,2.5,4.5,0.4,14400,0.4,49,87.8,19.89,0.25,1.79,0.406,8.24,15.97,0.326,1.62
55.0,5.0,1.0,1.5,3.0,0.4,14400,0.4,49,87.8,19.86,0.25,1.79,0.405,8.24,15.94,0.325,1.62
55.0,5.0,1.0,1.5,4.5,0.4,14400,0.4,49,87.8,19.86,0.25,1.79,0.405,8.24,15.94,0.325,1.62
55.0,5.0,1.0,1.5,3.0,0.8,7200,0.2,48,89.6,19.38,0.21,1.78,0.404,7.97,15.54,0.324,1.61
55.0,5.0,1.0,1.5,4.5,0.8,7200,0.2,48,89.6,19.38,0.21,1.78,0.404,7.97,15.54,0.324,1.61
55.0,5.0,1.0,2.5,3.0,0.4,7200,0.2,48,89.6,19.4,0.21,1.78,0.404,7.97,15.56,0.324,1.61
55.0,5.0,1.0,2.5,4.5,0.4,7200,0.2,48,89.6,19.4,0.21,1.78,0.404,7.97,15.56,0.324,1.61
55.0,5.0,1.5,2.5,3.0,0.4,1200,0.2,61,88.5,24.54,0.26,1.98,0.402,8.12,19.66,0.322,1.76
55.0,5.0,1.5,2.5,4.5,0.4,1200,0.2,61,88.5,24.54,0.26,1.98,0.402,8.12,19.66,0.322,1.76
55.0,5.0,1.0,2.5,3.0,0.4,,0.4,48,89.6,19.26,0.21,1.77,0.401,7.86,15.42,0.321,1.61
55.0,5.0,1.0,2.5,4.5,0.4,,0.4,48,89.6,19.26,0.21,1.77,0.401,7.86,15.42,0.321,1.61
55.0,5.0,1.0,1.5,3.0,0.8,14400,0.2,48,89.6,19.15,0.21,1.77,0.399,7.97,15.31,0.319,1.6
55.0,5.0,1.0,1.5,4.5,0.8,14400,0.2,48,89.6,19.15,0.21,1.77,0.399,7.97,15.31,0.319,1.6
55.0,5.0,1.0,1.5,3.0,0.6,14400,0.8,52,84.6,20.7,0.36,2.01,0.398,9.06,16.54,0.318,1.78
55.0,5.0,1.0,1.5,4.5,0.6,14400,0.8,52,84.6,20.7,0.36,2.01,0.398,9.06,16.54,0.318,1.78
55.0,5.0,1.0,1.5,3.0,0.8,3600,0.2,48,89.6,19.05,0.2,1.76,0.397,7.97,15.21,0.317,1.6
55.0,5.0,1.0,1.5,4.5,0.8,3600,0.2,48,89.6,19.05,0.2,1.76,0.397,7.97,15.21,0.317,1.6
55.0,5.0,1.5,2.5,3.0,0.4,14400,0.4,49,87.8,19.47,0.25,1.77,0.397,8.25,15.55,0.317,1.61
55.0,5.0,1.5,2.5,4.5,0.4,14400,0.4,49,87.8,19.47,0.25,1.77,0.397,8.25,15.55,0.317,1.61
55.0,5.0,1.0,1.5,3.0,0.6,7200,0.2,48,89.6,18.98,0.2,1.76,0.395,7.97,15.14,0.315,1.6
55.0,5.0,1.0,1.5,4.5,0.6,7200,0.2,48,89.6,18.98,0.2,1.76,0.395,7.97,15.14,0.315,1.6
55.0,5.0,0.7,2.5,3.0,0.4,14400,0.2,54,92.6,21.3,0.17,2.07,0.394,8.52,16.98,0.314,1.84
55.0,5.0,0.7,2.5,4.5,0.4,14400,0.2,54,92.6,21.3,0.17,2.07,0.394,8.52,16.98,0.314,1.84
55.0,5.0,0.7,1.5,3.0,0.4,14400,0.2,54,92.6,21.21,0.16,2.06,0.393,8.52,16.89,0.313,1.83
55.0,5.0,0.7,1.5,3.0,0.4,,0.4,48,89.6,18.88,0.22,1.92,0.393,7.83,15.04,0.313,1.72
55.0,5.0,0.7,1.5,4.5,0.4,14400,0.2,54,92.6,21.21,0.16,2.06,0.393,8.52,16.89,0.313,1.83
55.0,5.0,0.7,1.5,4.5,0.4,,0.4,48,89.6,18.88,0.22,1.92,0.393,7.83,15.04,0.313,1.72
55.0,5.0,1.0,1.5,3.0,0.6,3600,0.2,48,89.6,18.88,0.2,1.76,0.393,7.97,15.04,0.313,1.59
55.0,5.0,1.0,1.5,4.5,0.6,3600,0.2,48,89.6,18.88,0.2,1.76,0.393,7.97,15.04,0.313,1.59
55.0,5.0,1.0,1.5,3.0,0.4,2400,0.2,49,89.8,19.16,0.2,1.77,0.391,7.97,15.24,0.311,1.6
55.0,5.0,1.0,1.5,4.5,0.4,2400,0.2,49,89.8,19.16,0.2,1.77,0.391,7.97,15.24,0.311,1.6
55.0,5.0,1.0,2.5,3.0,0.6,14400,0.8,52,84.6,20.36,0.36,1.99,0.392,9.06,16.2,0.311,1.76
55.0,5.0,1.0,2.5,4.5,0.6,14400,0.8,52,84.6,20.36,0.36,1.99,0.392,9.06,16.2,0.311,1.76
55.0,5.0,0.7,2.5,3.0,0.4,,0.4,48,89.6,18.66,0.22,1.91,0.389,8.1,14.82,0.309,1.71
55.0,5.0,0.7,2.5,4.5,0.4,,0.4,48,89.6,18.66,0.22,1.91,0.389,8.1,14.82,0.309,1.71
55.0,5.0,1.0,2.5,3.0,0.4,2400,0.2,49,89.8,19.08,0.2,1.76,0.389,7.97,15.16,0.309,1.6
55.0,5.0,1.0,2.5,4.5,0.4,2400,0.2,49,89.8,19.08,0.2,1.76,0.389,7.97,15.16,0.309,1.6
55.0,5.0,1.0,1.5,3.0,0.6,14400,0.2,48,89.6,18.62,0.2,1.74,0.388,7.97,14.78,0.308,1.58
55.0,5.0,1.0,1.5,4.5,0.6,14400,0.2,48,89.6,18.62,0.2,1.74,0.388,7.97,14.78,0.308,1.58
55.0,5.0,1.0,1.5,3.0,0.8,14400,0.4,49,87.8,18.88,0.24,1.75,0.385,8.24,14.96,0.305,1.58
55.0,5.0,1.0,1.5,4.5,0.8,14400,0.4,49,87.8,18.88,0.24,1.75,0.385,8.24,14.96,0.305,1.58
55.0,5.0,1.0,2.5,3.0,0.6,3600,0.2,48,89.6,18.43,0.2,1.74,0.384,7.97,14.59,0.304,1.57
55.0,5.0,1.0,2.5,4.5,0.6,3600,0.2,48,89.6,18.43,0.2,1.74,0.384,7.97,14.59,0.304,1.57
55.0,5.0,0.7,2.5,3.0,0.4,14400,0.4,55,90.9,21.04,0.2,2.04,0.383,8.78,16.64,0.303,1.81
55.0,5.0,0.7,2.5,4.5,0.4,14400,0.4,55,90.9,21.04,0.2,2.04,0.383,8.78,16.64,0.303,1.81
55.0,5.0,1.0,1.5,3.0,0.8,2400,0.2,49,89.8,18.74,0.2,1.75,0.382,7.97,14.82,0.303,1.58
55.0,5.0,1.0,1.5,4.5,0.8,2400,0.2,49,89.8,18.74,0.2,1.75,0.382,7.97,14.82,0.303,1.58
55.0,5.0,0.7,1.5,3.0,0.4,14400,0.4,55,90.9,20.95,0.2,2.04,0.381,8.78,16.55,0.301,1.8
55.0,5.0,0.7,1.5,4.5,0.4,14400,0.4,55,90.9,20.95,0.2,2.04,0.381,8.78,16.55,0.301,1.8
55.0,5.0,1.0,2.5,3.0,0.6,7200,0.2,48,89.6,18.27,0.2,1.73,0.381,7.97,14.43,0.301,1.57
55.0,5.0,1.0,2.5,3.0,0.6,14400,0.2,48,89.6,18.27,0.2,1.73,0.381,7.97,14.43,0.301,1.57
55.0,5.0,1.0,2.5,3.0,0.8,14400,0.8,52,84.6,19.83,0.36,1.96,0.381,9.06,15.67,0.301,1.74
55.0,5.0,1.0,2.5,4.5,0.6,7200,0.2,48,89.6,18.27,0.2,1.73,0.381,7.97,14.43,0.301,1.57
55.0,5.0,1.0,2.5,4.5,0.6,14400,0.2,48,89.6,18.27,0.2,1.73,0.381,7.97,14.43,0.301,1.57
55.0,5.0,1.0,2.5,4.5,0.8,14400,0.8,52,84.6,19.83,0.36,1.96,0.381,9.06,15.67,0.301,1.74
55.0,5.0,1.0,1.5,3.0,0.6,2400,0.2,49,89.8,18.64,0.2,1.75,0.38,7.97,14.72,0.3,1.58
55.0,5.0,1.0,1.5,4.5,0.6,2400,0.2,49,89.8,18.64,0.2,1.75,0.38,7.97,14.72,0.3,1.58
55.0,5.0,1.0,2.5,3.0,0.8,3600,0.2,48,89.6,18.13,0.2,1.73,0.378,7.97,14.29,0.298,1.56
55.0,5.0,1.0,2.5,4.5,0.8,3600,0.2,48,89.6,18.13,0.2,1.73,0.378,7.97,14.29,0.298,1.56
55.0,5.0,1.0,1.5,3.0,0.6,14400,0.4,49,87.8,18.35,0.24,1.73,0.374,8.24,14.43,0.295,1.56
55.0,5.0,1.0,1.5,4.5,0.6,14400,0.4,49,87.8,18.35,0.24,1.73,0.374,8.24,14.43,0.295,1.56
55.0,5.0,1.0,2.5,3.0,0.6,2400,0.2,49,89.8,18.35,0.2,1.73,0.374,7.97,14.43,0.294,1.57
55.0,5.0,1.0,2.5,4.5,0.6,2400,0.2,49,89.8,18.35,0.2,1.73,0.374,7.97,14.43,0.294,1.57
