signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
45.0,5.0,1.5,2.5,4.5,0.4,,0.4,161,89.4,72.71,0.22,1.86,0.452,10.05,59.83,0.372,1.69
45.0,5.0,1.5,2.5,4.5,0.4,14400,0.2,162,89.5,72.53,0.22,1.85,0.448,10.2,59.57,0.368,1.69
45.0,5.0,1.5,2.5,4.5,0.4,14400,0.4,162,89.5,72.53,0.22,1.85,0.448,10.2,59.57,0.368,1.69
45.0,5.0,1.5,2.5,3.0,0.4,,0.4,161,89.4,71.83,0.22,1.85,0.446,10.05,58.96,0.366,1.68
45.0,5.0,1.5,2.5,4.5,0.4,14400,0.8,166,88.6,73.92,0.24,1.86,0.445,10.24,60.64,0.365,1.7
45.0,5.0,1.5,2.5,3.0,0.4,14400,0.2,162,89.5,71.72,0.22,1.84,0.443,10.2,58.76,0.363,1.68
45.0,5.0,1.5,2.5,3.0,0.4,14400,0.4,162,89.5,71.72,0.22,1.84,0.443,10.2,58.76,0.363,1.68
45.0,5.0,1.5,2.5,4.5,0.4,7200,0.2,162,89.5,71.78,0.22,1.84,0.443,10.07,58.82,0.363,1.68
45.0,5.0,1.5,2.5,4.5,0.4,7200,0.4,164,89.0,72.32,0.23,1.85,0.441,10.07,59.2,0.361,1.68
45.0,5.0,1.5,2.5,3.0,0.4,7200,0.2,162,89.5,71.26,0.22,1.84,0.44,10.07,58.3,0.36,1.68
45.0,5.0,1.5,2.5,3.0,0.4,14400,0.8,166,88.6,73.11,0.24,1.85,0.44,10.24,59.83,0.36,1.69
45.0,5.0,1.5,2.5,4.5,0.4,3600,0.2,162,89.5,71.2,0.22,1.84,0.44,10.21,58.24,0.359,1.67
45.0,5.0,1.5,2.5,3.0,0.4,7200,0.4,164,89.0,71.8,0.23,1.84,0.438,10.07,58.68,0.358,1.68
45.0,5.0,1.5,2.5,4.5,0.4,2400,0.2,162,89.5,70.79,0.21,1.83,0.437,10.4,57.83,0.357,1.67
45.0,5.0,1.5,2.5,3.0,0.4,3600,0.2,162,89.5,70.67,0.21,1.83,0.436,10.21,57.71,0.356,1.67
45.0,5.0,1.5,2.5,3.0,0.4,2400,0.2,162,89.5,70.26,0.21,1.83,0.434,10.4,57.3,0.354,1.66
45.0,5.0,1.0,2.5,4.5,0.4,,0.4,161,89.4,68.76,0.21,1.81,0.427,11.19,55.88,0.347,1.65
45.0,5.0,1.5,2.5,4.5,0.4,3600,0.4,163,87.7,69.38,0.26,1.86,0.426,11.85,56.34,0.346,1.68
45.0,5.0,1.0,2.5,3.0,0.4,,0.4,161,89.4,67.89,0.21,1.8,0.422,11.19,55.01,0.342,1.64
45.0,5.0,1.5,2.5,3.0,0.4,3600,0.4,163,87.7,68.85,0.26,1.85,0.422,11.85,55.81,0.342,1.68
45.0,5.0,1.5,2.5,4.5,0.4,1200,0.2,163,89.6,68.61,0.21,1.81,0.421,12.11,55.57,0.341,1.64
45.0,5.0,1.0,1.5,4.5,0.4,,0.4,161,89.4,67.38,0.21,1.79,0.419,11.95,54.5,0.339,1.63
45.0,5.0,1.0,2.5,4.5,0.4,14400,0.2,160,89.4,66.87,0.21,1.79,0.418,11.94,54.07,0.338,1.63
45.0,5.0,1.0,2.5,4.5,0.4,14400,0.4,160,89.4,66.87,0.21,1.79,0.418,11.94,54.07,0.338,1.63
45.0,5.0,1.5,2.5,3.0,0.4,1200,0.2,163,89.6,68.09,0.21,1.8,0.418,12.11,55.05,0.338,1.64
45.0,5.0,1.5,2.5,4.5,0.6,,0.4,162,89.5,67.73,0.21,1.8,0.418,11.19,54.77,0.338,1.63
45.0,5.0,1.0,1.5,3.0,0.4,,0.4,161,89.4,66.51,0.21,1.78,0.413,11.95,53.63,0.333,1.62
45.0,5.0,1.0,2.5,3.0,0.4,14400,0.2,160,89.4,66.06,0.21,1.78,0.413,11.94,53.26,0.333,1.62
45.0,5.0,1.0,2.5,3.0,0.4,14400,0.4,160,89.4,66.06,0.21,1.78,0.413,11.94,53.26,0.333,1.62
45.0,5.0,1.0,1.5,4.5,0.4,14400,0.2,160,89.4,65.97,0.21,1.78,0.412,12.56,53.17,0.332,1.62
45.0,5.0,1.0,1.5,4.5,0.4,14400,0.4,160,89.4,65.97,0.21,1.78,0.412,12.56,53.17,0.332,1.62
45.0,5.0,1.0,1.5,3.0,0.4,14400,0.2,160,89.4,65.16,0.21,1.77,0.407,12.56,52.36,0.327,1.61
45.0,5.0,1.0,1.5,3.0,0.4,14400,0.4,160,89.4,65.16,0.21,1.77,0.407,12.56,52.36,0.327,1.61
45.0,5.0,1.5,2.5,3.0,0.6,,0.4,162,89.5,66.0,0.21,1.78,0.407,11.19,53.04,0.327,1.61
45.0,5.0,1.0,1.5,4.5,0.6,,0.4,162,89.5,65.79,0.21,1.77,0.406,12.84,52.83,0.326,1.61
45.0,5.0,1.0,2.5,4.5,0.4,7200,0.2,159,89.3,64.47,0.21,1.76,0.405,12.57,51.75,0.325,1.6
45.0,5.0,1.0,2.5,4.5,0.4,7200,0.4,161,88.8,65.11,0.22,1.76,0.404,11.93,52.23,0.324,1.6
45.0,5.0,1.0,2.5,4.5,0.4,14400,0.8,168,87.5,67.73,0.26,1.79,0.403,12.3,54.29,0.323,1.62
45.0,5.0,1.5,2.5,4.5,0.4,2400,0.4,169,85.8,68.1,0.3,1.84,0.403,11.52,54.58,0.323,1.66
45.0,5.0,1.0,1.5,4.5,0.4,7200,0.2,159,89.3,63.94,0.21,1.75,0.402,13.27,51.22,0.322,1.59
45.0,5.0,1.0,2.5,3.0,0.4,7200,0.2,159,89.3,63.94,0.21,1.75,0.402,12.57,51.22,0.322,1.59
45.0,5.0,1.5,2.5,4.5,0.6,14400,0.2,162,89.5,65.2,0.21,1.77,0.402,11.16,52.24,0.322,1.6
45.0,5.0,1.5,2.5,4.5,0.6,14400,0.4,162,89.5,65.2,0.21,1.77,0.402,11.16,52.24,0.322,1.6
45.0,5.0,1.0,1.5,4.5,0.4,7200,0.4,161,88.8,64.58,0.22,1.76,0.401,12.63,51.7,0.321,1.6
45.0,5.0,1.0,2.5,3.0,0.4,7200,0.4,161,88.8,64.58,0.22,1.76,0.401,11.93,51.7,0.321,1.6
45.0,5.0,1.0,2.5,4.5,0.6,,0.4,162,89.5,64.97,0.21,1.76,0.401,12.74,52.01,0.321,1.6
45.0,5.0,1.5,2.5,3.0,0.4,2400,0.4,169,85.8,67.58,0.3,1.83,0.4,11.52,54.06,0.32,1.65
45.0,5.0,1.5,2.5,4.5,0.6,3600,0.2,162,89.5,64.86,0.21,1.76,0.4,10.92,51.9,0.32,1.6
45.0,5.0,1.5,2.5,4.5,0.6,7200,0.2,162,89.5,64.78,0.21,1.76,0.4,10.91,51.82,0.32,1.6
45.0,5.0,1.5,2.5,4.5,0.6,7200,0.4,162,89.5,64.78,0.21,1.76,0.4,10.91,51.82,0.32,1.6
45.0,5.0,1.0,1.5,3.0,0.4,7200,0.2,159,89.3,63.41,0.21,1.75,0.399,13.27,50.69,0.319,1.59
45.0,5.0,1.0,1.5,4.5,0.4,14400,0.8,168,87.5,66.99,0.25,1.78,0.399,12.79,53.55,0.319,1.61
45.0,5.0,1.0,1.5,3.0,0.4,7200,0.4,161,88.8,64.05,0.22,1.75,0.398,12.63,51.17,0.318,1.59
45.0,5.0,1.0,2.5,3.0,0.4,14400,0.8,168,87.5,66.92,0.25,1.78,0.398,12.3,53.48,0.318,1.61
45.0,5.0,1.5,2.5,3.0,0.6,3600,0.2,162,89.5,64.44,0.21,1.76,0.398,10.92,51.48,0.318,1.6
45.0,5.0,1.5,2.5,4.5,0.6,2400,0.2,162,89.5,64.46,0.21,1.76,0.398,10.98,51.5,0.318,1.6
45.0,5.0,1.5,2.5,4.5,0.6,3600,0.4,161,88.2,64.05,0.24,1.79,0.398,12.27,51.17,0.318,1.62
45.0,5.0,1.0,1.5,3.0,0.6,,0.4,162,89.5,64.06,0.21,1.75,0.395,12.84,51.1,0.315,1.59
45.0,5.0,1.5,2.5,3.0,0.6,2400,0.2,162,89.5,64.03,0.21,1.75,0.395,10.98,51.07,0.315,1.59
45.0,5.0,1.5,2.5,3.0,0.6,3600,0.4,161,88.2,63.63,0.24,1.79,0.395,12.27,50.75,0.315,1.62
45.0,5.0,1.5,2.5,3.0,0.6,7200,0.2,162,89.5,63.98,0.21,1.75,0.395,10.91,51.02,0.315,1.59
45.0,5.0,1.5,2.5,3.0,0.6,7200,0.4,162,89.5,63.98,0.21,1.75,0.395,10.91,51.02,0.315,1.59
45.0,5.0,1.0,1.5,3.0,0.4,14400,0.8,168,87.5,66.19,0.25,1.77,0.394,12.79,52.75,0.314,1.6
45.0,5.0,1.5,2.5,4.5,0.4,1200,0.4,196,79.6,77.16,0.54,2.11,0.394,8.71,61.48,0.314,1.84
