stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
4.0,0.7,1.5,3.0,0.4,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,1.5,3.0,0.6,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,1.5,3.0,0.8,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,1.5,4.5,0.4,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,1.5,4.5,0.6,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,1.5,4.5,0.8,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,2.5,3.0,0.4,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,2.5,3.0,0.6,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,2.5,3.0,0.8,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,2.5,4.5,0.4,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,2.5,4.5,0.6,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,0.7,2.5,4.5,0.8,3600,0.4,102,77.5,18.42,0.66,2.27,0.181,8.25
4.0,1.5,2.5,3.0,0.4,7200,0.4,52,75.0,8.44,0.47,1.41,0.162,13.35
4.0,1.5,2.5,4.5,0.4,7200,0.4,52,75.0,8.44,0.47,1.41,0.162,13.35
4.0,1.5,2.5,3.0,0.8,3600,0.2,40,87.5,6.34,0.19,1.32,0.158,12.86
4.0,1.5,2.5,4.5,0.8,3600,0.2,40,87.5,6.34,0.19,1.32,0.158,12.86
5.0,0.7,1.5,3.0,0.4,1200,0.2,91,78.0,14.14,0.53,1.87,0.155,10.15
5.0,0.7,1.5,3.0,0.6,1200,0.2,91,78.0,14.14,0.53,1.87,0.155,10.15
5.0,0.7,1.5,3.0,0.8,1200,0.2,91,78.0,14.14,0.53,1.87,0.155,10.15
5.0,0.7,1.5,4.5,0.4,1200,0.2,91,78.0,14.14,0.53,1.87,0.155,10.15
5.0,0.7,1.5,4.5,0.6,1200,0.2,91,78.0,14.14,0.53,1.87,0.155,10.15
5.0,0.7,1.5,4.5,0.8,1200,0.2,91,78.0,14.14,0.53,1.87,0.155,10.15
5.0,0.7,1.5,3.0,0.4,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,1.5,3.0,0.6,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,1.5,3.0,0.8,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,1.5,4.5,0.4,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,1.5,4.5,0.6,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,1.5,4.5,0.8,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,2.5,3.0,0.4,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,2.5,3.0,0.6,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,2.5,3.0,0.8,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,2.5,4.5,0.4,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,2.5,4.5,0.6,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
5.0,0.7,2.5,4.5,0.8,3600,0.4,98,77.6,15.1,0.54,1.88,0.154,9.94
4.0,1.5,2.5,3.0,0.4,2400,0.2,50,74.0,7.58,0.48,1.37,0.152,11.45
4.0,1.5,2.5,4.5,0.4,2400,0.2,50,74.0,7.58,0.48,1.37,0.152,11.45
4.0,0.7,1.5,3.0,0.4,1200,0.2,93,77.4,13.77,0.52,1.8,0.148,8.15
4.0,0.7,1.5,3.0,0.6,1200,0.2,93,77.4,13.77,0.52,1.8,0.148,8.15
4.0,0.7,1.5,3.0,0.8,1200,0.2,93,77.4,13.77,0.52,1.8,0.148,8.15
4.0,0.7,1.5,4.5,0.4,1200,0.2,93,77.4,13.77,0.52,1.8,0.148,8.15
4.0,0.7,1.5,4.5,0.6,1200,0.2,93,77.4,13.77,0.52,1.8,0.148,8.15
4.0,0.7,1.5,4.5,0.8,1200,0.2,93,77.4,13.77,0.52,1.8,0.148,8.15
5.0,0.7,2.5,3.0,0.4,1200,0.2,91,78.0,13.42,0.51,1.82,0.147,10.15
5.0,0.7,2.5,3.0,0.6,1200,0.2,91,78.0,13.42,0.51,1.82,0.147,10.15
5.0,0.7,2.5,3.0,0.8,1200,0.2,91,78.0,13.42,0.51,1.82,0.147,10.15
5.0,0.7,2.5,4.5,0.4,1200,0.2,91,78.0,13.42,0.51,1.82,0.147,10.15
5.0,0.7,2.5,4.5,0.6,1200,0.2,91,78.0,13.42,0.51,1.82,0.147,10.15
5.0,0.7,2.5,4.5,0.8,1200,0.2,91,78.0,13.42,0.51,1.82,0.147,10.15
4.0,0.7,2.5,3.0,0.4,1200,0.2,93,77.4,13.05,0.51,1.75,0.14,8.15
4.0,0.7,2.5,3.0,0.6,1200,0.2,93,77.4,13.05,0.51,1.75,0.14,8.15
4.0,0.7,2.5,3.0,0.8,1200,0.2,93,77.4,13.05,0.51,1.75,0.14,8.15
4.0,0.7,2.5,4.5,0.4,1200,0.2,93,77.4,13.05,0.51,1.75,0.14,8.15
4.0,0.7,2.5,4.5,0.6,1200,0.2,93,77.4,13.05,0.51,1.75,0.14,8.15
4.0,0.7,2.5,4.5,0.8,1200,0.2,93,77.4,13.05,0.51,1.75,0.14,8.15
