stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
3.0,1.5,2.5,3.0,0.6,2400,0.2,98,83.7,40.78,0.38,1.96,0.416,5.54
3.0,1.5,2.5,4.5,0.6,2400,0.2,98,83.7,40.78,0.38,1.96,0.416,5.54
3.0,1.5,2.5,3.0,0.6,7200,0.2,90,84.4,36.58,0.34,1.87,0.406,5.54
3.0,1.5,2.5,3.0,0.6,14400,0.2,90,84.4,36.58,0.34,1.87,0.406,5.54
3.0,1.5,2.5,3.0,0.6,,0.4,90,84.4,36.58,0.34,1.87,0.406,5.54
3.0,1.5,2.5,4.5,0.6,7200,0.2,90,84.4,36.58,0.34,1.87,0.406,5.54
3.0,1.5,2.5,4.5,0.6,14400,0.2,90,84.4,36.58,0.34,1.87,0.406,5.54
3.0,1.5,2.5,4.5,0.6,,0.4,90,84.4,36.58,0.34,1.87,0.406,5.54
3.0,1.5,2.5,3.0,0.6,3600,0.2,90,84.4,35.34,0.34,1.84,0.393,5.54
3.0,1.5,2.5,4.5,0.6,3600,0.2,90,84.4,35.34,0.34,1.84,0.393,5.54
3.0,1.5,2.5,3.0,0.4,2400,0.2,97,82.5,37.74,0.39,1.83,0.389,6.56
3.0,1.5,2.5,4.5,0.4,2400,0.2,97,82.5,37.74,0.39,1.83,0.389,6.56
3.0,1.5,2.5,3.0,0.6,14400,0.4,92,82.6,35.23,0.39,1.83,0.383,5.54
3.0,1.5,2.5,4.5,0.6,14400,0.4,92,82.6,35.23,0.39,1.83,0.383,5.54
3.0,1.5,2.5,3.0,0.4,7200,0.2,89,83.1,33.74,0.35,1.75,0.379,6.56
3.0,1.5,2.5,3.0,0.4,14400,0.2,89,83.1,33.74,0.35,1.75,0.379,6.56
3.0,1.5,2.5,3.0,0.4,,0.4,89,83.1,33.74,0.35,1.75,0.379,6.56
3.0,1.5,2.5,4.5,0.4,7200,0.2,89,83.1,33.74,0.35,1.75,0.379,6.56
3.0,1.5,2.5,4.5,0.4,14400,0.2,89,83.1,33.74,0.35,1.75,0.379,6.56
3.0,1.5,2.5,4.5,0.4,,0.4,89,83.1,33.74,0.35,1.75,0.379,6.56
