stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
3.0,1.5,2.5,3.0,0.6,7200,0.8,165,71.5,31.99,0.66,1.65,0.194,10.65
3.0,1.5,2.5,4.5,0.6,7200,0.8,165,71.5,31.99,0.66,1.65,0.194,10.65
3.0,1.5,2.5,3.0,0.4,7200,0.8,165,71.5,31.74,0.65,1.64,0.192,10.65
3.0,1.5,2.5,4.5,0.4,7200,0.8,165,71.5,31.74,0.65,1.64,0.192,10.65
3.0,1.5,2.5,3.0,0.8,7200,0.8,169,69.8,25.66,0.64,1.48,0.152,10.65
3.0,1.5,2.5,4.5,0.8,7200,0.8,169,69.8,25.66,0.64,1.48,0.152,10.65
3.0,1.0,1.5,3.0,0.4,7200,0.8,175,70.3,24.81,0.62,1.46,0.142,10.65
3.0,1.0,1.5,3.0,0.6,7200,0.8,175,70.3,24.81,0.62,1.46,0.142,10.65
3.0,1.0,1.5,3.0,0.8,7200,0.8,175,70.3,24.81,0.62,1.46,0.142,10.65
3.0,1.0,1.5,4.5,0.4,7200,0.8,175,70.3,24.81,0.62,1.46,0.142,10.65
3.0,1.0,1.5,4.5,0.6,7200,0.8,175,70.3,24.81,0.62,1.46,0.142,10.65
3.0,1.0,1.5,4.5,0.8,7200,0.8,175,70.3,24.81,0.62,1.46,0.142,10.65
3.0,1.0,2.5,3.0,0.4,7200,0.8,175,70.3,21.66,0.59,1.4,0.124,11.1
3.0,1.0,2.5,3.0,0.6,7200,0.8,175,70.3,21.66,0.59,1.4,0.124,11.1
3.0,1.0,2.5,3.0,0.8,7200,0.8,175,70.3,21.66,0.59,1.4,0.124,11.1
3.0,1.0,2.5,4.5,0.4,7200,0.8,175,70.3,21.66,0.59,1.4,0.124,11.1
3.0,1.0,2.5,4.5,0.6,7200,0.8,175,70.3,21.66,0.59,1.4,0.124,11.1
3.0,1.0,2.5,4.5,0.8,7200,0.8,175,70.3,21.66,0.59,1.4,0.124,11.1
3.0,1.5,2.5,3.0,0.4,2400,0.2,100,75.0,9.7,0.38,1.14,0.097,11.42
3.0,1.5,2.5,4.5,0.4,2400,0.2,100,75.0,9.7,0.38,1.14,0.097,11.42
3.0,1.5,2.5,3.0,0.4,3600,0.2,98,76.5,9.08,0.35,1.13,0.093,11.54
3.0,1.5,2.5,3.0,0.4,7200,0.2,97,76.3,9.0,0.35,1.13,0.093,11.54
3.0,1.5,2.5,3.0,0.4,14400,0.2,97,76.3,9.0,0.35,1.13,0.093,11.54
